file_name,file_path,file_type,parse_status,pages,extracted_title,matched_evidence_id,matched_source_accession,matched_title,match_score,top100_table_kind,intervention_terms,duration_terms,cfu_terms,sample_size_terms,outcome_terms,text_excerpt,error
bmfh-37-067.pdf,F:\workspace\codex\strain mix codex\bmfh-37-067.pdf,pdf,ok,9,"Effects of Bifidobacterium breve B-3 on body fat reductions in pre-obese adults: a randomized, double-blind, placebo-controlled trial Junichi MINAMI 1*, Noriyuki IWABUCHI 1, Miyuki TANAKA1, Koji YAMAUCHI1, Jin-zhong XIAO2, Fumiaki ABE1 and Naoki SAKANE 3 1Food Ingredients & Techn",PMID:30094122,30094122,"Effects of Bifidobacterium breve B-3 on body fat reductions in pre-obese adults: a randomized, double-blind, placebo-controlled trial.",0.652,priority,Bifidobacterium breve B-3 on body fat reductions in pre-obese adults; Bifidobacterium breve B-3 has been shown to exert anti-obesity effects in high-fat diet-induced; probiotic strain B. breve B-3 has potential as a functional food ingredient to reduce bod; Bifidobacterium breve; Bifidobacterium was found to be significantly lower in obese subjects than in lean subjects; probiotic bifidobacterial strain is the best candidate to exert anti-obesity effects; Bifidobacterium spp. are known to be species- or even strain-specific; Bifidobacterium breve B-3 is one of the promising anti-obesogenic strains. We previously report,12 weeks,(2 × 10 10 CFU/day) daily for 12; units (CFU)/ day reduced bod; 10 billion CFU per capsule). The; 20 billion CFU/day for the B-3 g; required CFU during the interv,4 participants; 80 participants,body fat; microbiota; BMI; visceral fat; HDL; cholesterol; insulin; body weight; glucose; adiposity; body mass index; fat mass,"Effects of Bifidobacterium breve B-3 on body fat reductions in pre-obese adults: a randomized, double-blind, placebo-controlled trial Junichi MINAMI 1*, Noriyuki IWABUCHI 1, Miyuki TANAKA1, Koji YAMAUCHI1, Jin-zhong XIAO2, Fumiaki ABE1 and Naoki SAKANE 3 1Food Ingredients & Technology Institute, Morinaga Milk Industry Co., Ltd., 5-1-83 Higashihara, Zama-shi, Kanagawa 252-8583, Japan 2Next Generation Science Institute, Morinaga Milk Industry Co., Ltd., 5-1-83 Higashihara, Zama-shi, Kanagawa 252-8583, Japan 3Division of Preventive Medicine, Clinical Research Institute, National Hospital Organization Kyoto Medical Center, 1-1 Mukaihata-cho, Fukakusa, Fushimi-ku, Kyoto 612-8555, Japan Received January 12, 2018; Accepted April 20, 2018; Published online in J-STAGE May 8, 2018 Accumulating evidence suggests a relationship between the gut microbiota and the development of obesity, indicating th",
Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus po(科研通-ablesci.com).pdf,F:\workspace\codex\strain mix codex\Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus po(科研通-ablesci.com).pdf,pdf,ok,9,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial",PMID:40451504,40451504,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial.",1.000,priority,Akkermansia muciniphilia postbio tic with y ogurt containing Lact obacillus r hamnosus post; Akkermansia muciniphila Lactobacillus rhamnosus summary Objective; Akkermansia muciniphila postbiotic-fortified yog urt; Lactobacillus rhamnosus postbiotic-fortified y ogurt; Lactobacillus rhamnosus -fortified yogurt did not demonstrat e an y beneficial impact on the; Akkermansia muciniphila postbiotic may ha ve fav orable effects on w eight management and l; Akkermansia muciniphila and Lacticaseibacillus rhamnosus; Akkermansia muciniphila and Lacti - caseibacillus rhamnosus,3 months; 8 weeks,,n = 22; 7 participants; 66 participants,glucose; body fat; BMI,"Randomized Contro lled T rial Comparing the effects of y ogurt containing Akkermansia muciniphilia postbio tic with y ogurt containing Lact obacillus r hamnosus postbio tic on body composition, biochemical indices, appetit e, and depr ession scor es in o v erwe ight or obese adults: A r andomized, double-blind, control led clinical trial Erfaneh Aalipanah a , b , Moein Askarpour g , Mohammad Hadi Eskandari e , Mort eza Zar e c , Mandana F amouri f , Alir eza Bedelta v ana f , Mohammad Ali Mohsen pour a , b , Zahra Sohrab i c , d , * a Department of Clinical Nutrition, School of Nutrition and Food Sciences, Shir az Univ ersity of Medical Sciences, Shir az, Ir an b Student Resear ch Committee, Shir az Univ ersity of Medical Sciences, Shir az, Ir an c Nutrition Resear ch Center , School of Nutrition and Food Sciences, Shir az Univ ersity of Medical Sciences, Shir az, Ir an d Department of C",
cureus-0017-00000082613.pdf,F:\workspace\codex\strain mix codex\cureus-0017-00000082613.pdf,pdf,ok,17,"Review began 03/26/2025 Review ended 04/08/2025 Published 04/20/2025 © Copyright 2025 KN et al. This is an open access article distributed under the terms of the Creative Commons Attribution License CC-BY 4.0., which permits unrestricted use, distribution, and reproduction in any",PMID:36879442,36879442,"Effects of weight loss and feeding specially formulated diets on the body composition, blood metabolite profiles, voluntary physical activity, and fecal metabolites and microbiota of obese dogs.",0.289,priority,Probiotic-Fiber Blend on Body Weight; probiotic-fiber blend formulation in obese adults. Methods; probiotic-fiber blend formulation or a placebo for 90 days; probiotic-fiber blend formulation; probiotic-fiber blend efficacy. Conclusion; probiotic-fiber blend effectively improves anthropometric and biochemical markers in obes; probiotic interactions. Prebiotic fiber serves as a substrate for beneficial gut bacteria; probiotic strains,90 days,,n = 53; n = 51; 106 participants; 114 participants; 104 participants,Body Weight; triglycerides; HDL; cholesterol; glucose; microbiota; insulin; body mass index; BMI; body fat; waist circumference; SCFA,"Review began 03/26/2025 Review ended 04/08/2025 Published 04/20/2025 © Copyright 2025 KN et al. This is an open access article distributed under the terms of the Creative Commons Attribution License CC-BY 4.0., which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. DOI: 10.7759/cureus.82613 Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial Manohar KN , Ramshyam Agarwal , Aparana Patange , Pariksha Rao , Gayatri Ganu , Kaynat Khan , Sanjana Sawant 1. Diabetes and Endocrinology, Manipal Hospitals, Bangalore, IND 2. General Medicine, Lokmanya Medical Research Center, Pune, IND 3. Medicine, Krishna Vishwa Vidyapeeth Deemed to be University, Karad, IND 4. Clinical Nutrition and Gut Microbiome, IMPAct4Nut",
dmj-2021-0370.pdf,F:\workspace\codex\strain mix codex\dmj-2021-0370.pdf,pdf,ok,12,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (https://creativecommons.org/licenses/by-nc/4.0/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the origin",PMID:36879442,36879442,"Effects of weight loss and feeding specially formulated diets on the body composition, blood metabolite profiles, voluntary physical activity, and fecal metabolites and microbiota of obese dogs.",0.316,priority,Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects; Lactobacillus plantarum strain LMT1-48; probiotic supplement to treat overweight subjects. Methods; Lactobacillus levels significantly. LMT1-48 also in- creased Oscillibacter levels significant; Lactobacillus plantarum; Lactobacillus plantarum LMT1-48 for obesity 93Diabetes Metab J 2023; probiotic supplementation might help in modulating the com- position as well as the activ; Lactobacillus and Bifidobacterium genera,12 weeks; 3 months; 3 days,1× 1010 CFU of LMT1-48. Compl,100 subjects,Body Fat; body mass index; visceral fat; body weight; insulin; Adiposity; microbiota; fat mass; BMI; glucose,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (https://creativecommons.org/licenses/by-nc/4.0/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. Copyright © 2023 Korean Diabetes Association https://e-dmj.org DIABETES & METABOLISM JOURNAL Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double- Blind, Placebo-Controlled Trial Minji Sohn1, Hyeyoung Jung1, Woo Shun Lee2, Tai Hoon Kim3, Soo Lim1 1Department of Internal Medicine, Seoul National University Bundang Hospital, Seoul National University College of Medicine, Seongnam, 2Medytox Inc., Seoul, 3Medytox Gwangkyo R&D Center, Suwon, Korea Background: We investigated whether Lactobacillus plantarum strain LMT1-48, isolated from Korean fer",
ec-EC-25-0219.pdf,F:\workspace\codex\strain mix codex\ec-EC-25-0219.pdf,pdf,ok,13,EC-25-0219 1..13,PMID:34444671,34444671,Effects of 60-Day,0.375,outcome,Lactobacillus acidophilus and Enterococcus faecalis; Akkermansia and Lactobacillus; probiotic supplementation; Lactobacillus; probiotic therapy on both the gut microbiota and metabolic outcomes remain unexplored. In; probiotic formulation versus dapagli ﬂozin alone on gut microbial structure and a compreh; probiotic adjuncts in T2D management. Methods Study design This study was a prospective; Lactobacillus acidophilus,6 months; 3 months; 12 weeks; 4 weeks; 24 weeks,"1.0 × 10 7 CFU/g/strain; experim; vs 5.5 log CFU/g,P < 0.001), red; vs 6.5 log CFU/g, P = 0.003), an; 1.0 × 10 7 CFU/g of Biﬁdobacteri",n = 60; n =6,microbiota; BMI; HbA1c; LDL; HDL; HOMA-IR; glucose; insulin; body weight; Body mass index; waist circumference,"Endocrine Connections (2025) 14 e250219 https://doi.org/10.1530/EC-25-0219 Received 14 May 2025 Accepted 18 August 2025 Available online 19 August 2025 Version of Record published 4 September 2025RESEARCH Long-term ef ﬁcacy of dapagli ﬂozin combined with Bi ﬁdobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes Kunyi Li , Zhi Li and Lifeng Liu Department of Endocrinology and Metabolism, Shunde Hospital, Jinan University, Foshan, Guangdong Province, China Correspondence should be addressed to K Li: fan786293sci@163.com Abstract Background: The rising global prevalence of type 2 diabetes (T2D) necessitates innovative therapies targeting glycemic control and metabolic complications. SGLT2 inhibitors improve cardiorenal outcomes and may modulate gut microbiota, while speci ﬁc probiotics demonstrate glycemic and lipid ben",
"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measuremen(科研通-ablesci.com).pdf","F:\workspace\codex\strain mix codex\Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measuremen(科研通-ablesci.com).pdf",pdf,ok,7,"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial",PMID:31987116,31987116,"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial.",1.000,priority,probiotic condensed yogurt; yogurt; probiotic enriched product; probiotic that is accompanied by a low energy diet; probiotic contents; probiotic food and sup- plements on anthropometric and biochemical parameters among indiv; probiotic consumption on obesity reported that modulation of gut microbiota by probiotic; yogurt for a long time,8 weeks; 3 months,"- viation; CFU, colony forming u; unites (CFU)/g of L. acidophi; .79 /C2 106 CFU/g of B. lactis Bb; La5 (CFU/g) 1.85 /C2 10 6; Bb12 (CFU/g) 1.79 /C2 106 E",70 women,glucose; triglycerides; cholesterol; body mass index; waist circumference; BMI; HDL; LDL; insulin; microbiota; body weight; body fat,"Original article Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial Elham Razmpoosh a, b, Saeideh Zare b, Hossein Fallahzadeh c, Sara Sa ﬁ a, b, Azadeh Nadjarzadeh a, b, * a Nutrition and Food Security Research Center, Shahid Sadoughi University of Medical Sciences, Yazd, Iran b Department of Nutrition, Faculty of Health, Shahid Sadoughi University of Medical Sciences, Yazd, Iran c Department of Biostatistics and Epidemiology, Faculty of Health, Shahid Sadoughi University of Medical Sciences, Yazd, Iran article info Article history: Received 16 July 2018 Accepted 2 October 2019 Keywords: Dairy product Obesity Anthropometry Blood pressure Blood glucose Lipids summary Background & aims: The aim of this study was to determine the effect of low en",
"Effect of multi-strain probiotic (UB0316) in weight management in overweight_obese adults_ a 12-week double blind, randomised, p(科研通-ablesci.com).pdf","F:\workspace\codex\strain mix codex\Effect of multi-strain probiotic (UB0316) in weight management in overweight_obese adults_ a 12-week double blind, randomised, p(科研通-ablesci.com).pdf",pdf,ok,12,Beneficial Microbes,PMID:31965834,31965834,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study.",0.911,priority,probiotic; UB0316; probiotic capsule; Lactobacillus salivarius UBLS-22; Lactobacillus casei UBLC-42; Lactobacillus plantarum; Lactobacillus acidophilus UBLA-34; Bifidobacterium breve UBBr-01,12 weeks; 5 day; 28 days,"IS2 5×109 cfu each and fructo-o; IS2 (5×109 cfu each) were combin; IS2, 5×109 cfu each and prebioti",71 subjects,Body mass index; BMI; microbiota; body weight; body fat; cholesterol; glucose; HbA1c; triglycerides; LDL; waist circumference; visceral fat,"Beneficial Microbes, 2019; 10(8): 855-866 Wageningen Academic Publishers ISSN 1876-2883 print, ISSN 1876-2891 online, DOI 10.3920/BM2019.0052 855 1. Introduction Obesity and overweight are defined as abnormal or excessive fat accumulation that may impair health. Body mass index (BMI) is a simple index of weight-for-height that is commonly used to classify overweight and obesity in adults. It is defined as a person’s weight in kilograms divided by the square of height in meters (kg/m 2). According to WHO, overweight in adults is a BMI between 25.0-29.9 and obesity is a BMI greater than or equal to 30.0 kg/m2 (WHO, 2018). The prevalence of overweight and obesity has been rapidly increasing throughout the world. In 2016, more than 1.9 billion adults (39% of men and 40% of women) aged 18 years and older were overweight (WHO, 2018). It has been reported that men in developed countries have hi",
Effects of pro-_synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescent(科研通-ablesci.com) (1).pdf,F:\workspace\codex\strain mix codex\Effects of pro-_synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescent(科研通-ablesci.com) (1).pdf,pdf,ok,24,Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: a systematic review and meta-analysis,PMID:31126565,31126565,Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: A systematic review and meta-analysis.,1.000,priority,synbiotic supplementation on anthropometric and metabolic indices in overweight or obese; synbiotic did not affect the anthropometric and metabolic indices. ACCEPTED MANUSCRIPT 2; Synbiotic supplementation can decrease BMI z -score in overweight or obese children and a; synbiotic subgroups. Conclusion; synbiotic supplements did not have favorable effects t o manage overweight or obese child; synbiotic; probiotic; probiotic and prebiotic synergistically. Prebiotics contain a group of fermentable dietar,16 weeks; 4 weeks; 8 weeks,,410 subjects; 5 participants; n=2; 215 subjects,BMI; waist circumference; body fat; cholesterol; microbiota; body mass index; glucose; HDL; LDL,"Accepted Manuscript Title: Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: a systematic review and meta-analysis Authors: Hamed Mohammadi, Abed Ghavami, Amir Hadi, Gholamreza Askari, Michael Symonds, Maryam Miraghajani PII: S0965-2299(19)30339-5 DOI: https://doi.org/10.1016/j.ctim.2019.05.008 Reference: YCTIM 2104 To appear in: Complementary Therapies in Medicine Received date: 11 March 2019 Accepted date: 7 May 2019 Please cite this article as: Mohammadi H, Ghavami A, Hadi A, Askari G, Symonds M, Miraghajani M, Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: a systematic review and meta-analysis, Complementary Therapies in Medicine (2019), https://doi.org/10.1016/j.ctim.2019.05.008 This is a PDF ﬁle of an unedited manuscrip",
fnut-10-1108088.pdf,F:\workspace\codex\strain mix codex\fnut-10-1108088.pdf,pdf,ok,13,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity,PMID:37181156,37181156,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.,1.000,priority,inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic; inulin-type fructans; Bifidobacterium and Faecalibacterium; inulin; inulin and its hydrolyzed form fructooligosaccharide; inulin-rich food items during the 10-week intervention,10 weeks; 3 days,,100 subjects; n = 82; n = 21; n = 22; 100 adults; 82 participants,microbiota; body mass index; insulin; HOMA-IR; HDL; cholesterol; LDL; body weight; glucose; waist circumference,"Frontiers in Nutrition 01 frontiersin.org Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity Mona Adnan Aldubayan 1,2*, Xiaotian Mao 3, Martin Frederik Laursen 4, Kristina Pigsborg 2, Lars H. Christensen 2, Henrik M. Roager 2, Dennis S. Nielsen 3, Mads Fiil Hjorth 5 and Faidon Magkos 2* 1 Department of Clinical Nutrition, College of Applied Medical Sciences, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia, 2 Department of Nutrition, Exercise and Sports, Faculty of Science, University of Copenhagen, Copenhagen, Denmark, 3 Department of Food Science, Faculty of Science, University of Copenhagen, Copenhagen, Denmark, 4 National Food Institute, Technical University of Denmark, Kongens Lyngby, Denmark, 5 Obesity and Nutritional Sciences",
fnut-11-1510318.pdf,F:\workspace\codex\strain mix codex\fnut-11-1510318.pdf,pdf,ok,11,Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial,PMID:39664910,39664910,Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial.,1.000,priority,synbiotic supplementation on obesity and gut microbiota in obese adults; Bifidobacterium animalis subsp. lactis MN-Gup; synbiotic supplementation led to an enrichment of beneficial bacteria and bile acids chen; Bifidobacterium and Romboutsia were significantly positively correlated with CDCA. A more favor; inulin; polydextrose are commonly combined with probiotics to form synbiotics; Lactobacillus acidophilus; Bifidobacterium lactis,12 weeks; 4 weeks; 1 month; 3 months,"1 × 1011 CFU/day, GOS 0.7 g/da; 1 × 10 11 CFU/day, GOS 0.7 g/da",,microbiota; body fat; cholesterol; LDL; glucose; body mass index; BMI; Waist circumference; triglycerides; HDL,"Frontiers in Nutrition 01 frontiersin.org Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial Xiaokang Niu 1†, Qi Zhang 2†, Julong Liu 3†, Yuyang Zhao 1, Nan Shang 1, Shusen Li 3, Yinghua Liu 4, Wei Xiong 5, Erna Sun 3, Yong Zhang 4, Hongfeng Zhao 3, Yixuan Li 1, Pengjie Wang 1, Bing Fang 2, Liang Zhao 2, Juan Chen 1, Fuqing Wang 6, Guofang Pang 7, Chenyuan Wang 3*, Jingjing He 2* and Ran Wang 1* 1 Key Laboratory of Functional Dairy, Co-Constructed by Ministry of Education and Beijing Government, Department of Nutrition and Health, China Agricultural University, Beijing, China, 2 Research Center for Probiotics, China Agricultural University, Beijing, China, 3 Mengniu Hi-Tech Dairy Product Beijing Co., Ltd., Beijing, China, 4 Department of Nutrition, The First Medical Center of Chinese PLA General Hospital, Beijing,",
fnut-12-1686416.pdf,F:\workspace\codex\strain mix codex\fnut-12-1686416.pdf,pdf,ok,17,Effects of modified fasting therapy on tongue coating and gut microbiome in overweight and obese adults: a controlled clinical trial,PMID:41659802,41659802,Effects of modified fasting therapy on tongue coating and gut microbiome in overweight and obese adults: a controlled clinical trial.,1.000,priority,,3 days; 2 days,,48 participants; n = 35; n = 13; 48 patients,microbiota; body mass index; BMI; body weight; glucose; insulin; HOMA-IR,"Frontiers in Nutrition 01 frontiersin.org Effects of modified fasting therapy on tongue coating and gut microbiome in overweight and obese adults: a controlled clinical trial Dongkai Zeng †, Tingying Zhang †, Yunling Zhu , Jiahao Feng , Ziheng Ye , Jin Zhao , Peng Huang , Li Zhang * and Taoli Liu * Traditional Chinese Medicine Department, The Seventh Affiliated Hospital of Sun Yat-sen University, Shenzhen, China Introduction: Caloric restriction facilitates weight loss and metabolic improvement, in part by altering the gut microbiota. However, its influence via the tongue coating microbiota and gut microbiota remains largely unexplored. Methods: To address this gap, we conducted a single-center, prospective, controlled study from 23 April to 5 July 2021, enrolling 48 participants with a body mass index (BMI) ≥ 24 kg/m2. Participants were assigned to either a 7-day modified fasting group ",
fnut-12-1718169.pdf,F:\workspace\codex\strain mix codex\fnut-12-1718169.pdf,pdf,ok,14,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study",PMID:41479657,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",1.000,priority,prebiotic fibers to support metabolic health in overweight prediabetic adults; Prebiotic dietary fibers may help mitigate this trend by modulating gut microbiota. This; Bifidobacterium; prebiotic; prebiotic properties have been shown to beneficially modulate the gut microbiota and impr; prebiotic dietary fibers; inulin is primarily extracted from chicory roots and has a broader DP range; inulin and typically has a DP of 2 to 9. These structural differences influence their,12 weeks; 3 months,,n = 66; 30 participants,microbiota; glucose; BMI; HbA1c; fat mass; Body weight; body mass index; triglycerides; cholesterol,"Frontiers in Nutrition 01 frontiersin.org Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study Cindy Le Bourgot 1*, Odile Capronnier 2, Sahara Graf 2 and Thomas Carton 2 1Department of Scientific and Regulatory Affairs, TEREOS, Moussy-le-Vieux, France, 2Department of Biometry, BIOFORTIS SAS, Saint-Herblain, France Background and objectives: The global rise in metabolic disorders such as obesity and type 2 diabetes is largely driven by dietary changes and sedentary lifestyles. Prebiotic dietary fibers may help mitigate this trend by modulating gut microbiota. This study aimed to evaluate the effects of short-chain fructo- oligosaccharides (scFOS) on glucose homeostasis, body composition and gut microbiota in overweight individuals with prediabe",
