evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,effect_parse_method,p_value_parse_method,structure_warning,source_final_value,source_note
PMID:36944956,weight,adiposity,aggregate_trial,four_K56_doses_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,no significant difference in mean change across dose groups,Pilot dose-ranging study; weight changes were not significantly different between groups.
PMID:36944956,BMI,adiposity,aggregate_trial,four_K56_doses_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,no significant difference in mean change across dose groups,BMI reductions in some K56 groups were not significant between groups.
PMID:36944956,waist,adiposity,aggregate_trial,K56_2x10^9_CFU_within_group_change,-1.7,,,cm within-group change,not_significant,0.01,decrease within selected dose group,between_group_not_significant; within_group_only_or_mixed,no,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable; between-group numeric P value unavailable,2x10^9 CFU/day K56: -1.7 cm,Within-group dose-selected result; between-group anthropometric changes were not significant.
PMID:36944956,body_fat,adiposity,aggregate_trial,K56_2x10^9_CFU_within_group_change,-0.72,,,kg and percentage-point within-group change,not_significant,,decrease within selected dose group,between_group_not_significant; within_group_only_or_mixed,no,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable; between-group numeric P value unavailable,2x10^9 CFU/day K56: -0.72 kg fat mass; -0.867 percentage points body fat,Dose-selected within-group signal; not a confirmed overall between-group efficacy result.
PMID:37252684,body_fat,adiposity,PP,green_lipped_mussel_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,no significant between-group change in body-composition parameters,3 g/day whole green-lipped mussel powder; baseline body-fat imbalance noted.
PMID:38393021,weight,adiposity,aggregate_trial,L_bulgaricus_vs_placebo,,,,qualitative,,,no significant effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no effect on body weight,1x10^8 CFU/day pilot trial.
PMID:38393021,BMI,adiposity,PP,L_bulgaricus_vs_placebo,,,,qualitative,,,no significant effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no effect on BMI or fat percentage,Pilot trial did not support weight-loss efficacy.
PMID:38393021,lipid,metabolic,aggregate_trial,L_bulgaricus_vs_placebo,,,,qualitative lipid result,,,decrease,,limited,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed,triglycerides decreased in probiotic-treated group,TG signal accompanied by changes in VLDL/HDL triglyceride fractions.
PMID:28730743,weight,adiposity,PP,ITF_whey_combination_vs_control,,,,qualitative,,,no significant between-group effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,"no significant change in body weight, BMI or waist circumference in any group",Prebiotic altered microbiota and appetite but did not improve weight loss.
PMID:28730743,body_fat,adiposity,aggregate_trial,whey_vs_control_change,-0.9,+0.1,-1.000,fat mass change,,,decrease,,limited,labeled_groups_split_on_vs,explicit_between_group,,whey -0.9 +/- 1.6 kg and -0.9 +/- 1.6% vs control +0.1 +/- 1.4 kg and +0.2 +/- 1.1%,"Body-fat effect belonged to whey protein, not inulin-type fructans."
PMID:24795503,glucose,metabolic,aggregate_trial,VSL3_vs_placebo_relative_change,,,,qualitative insulin-sensitivity result,<0.01,,improve,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,VSL#3 improved insulin sensitivity,Four-arm trial; baseline imbalances and relative-change analysis should be considered.
PMID:24795503,lipid,metabolic,aggregate_trial,VSL3_vs_placebo_relative_change,,,,qualitative lipid profile,<0.05,,improve,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,"total cholesterol, triglyceride, LDL and VLDL decreased; HDL increased",Small four-arm trial; exact effect sizes remain table-level extraction targets.
PMID:24795503,microbiome,microbiome,aggregate_trial,VSL3_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,VSL#3 favorably altered gut microbial composition,Culture-based colonization/composition result; exact taxa counts require table extraction.
EUROPEPMC:40676704,weight,adiposity,aggregate_trial,BL21_vs_placebo_change,-1.22,-0.98,-0.240,kg change,0.81,0.02,no significant between-group effect,between_group_not_significant; within_group_only_or_mixed,no,labeled_groups_split_on_vs,explicit_between_group,,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06,Both groups lost weight; no BL21-specific between-group effect.
EUROPEPMC:40676704,lipid,metabolic,aggregate_trial,BL21_within_group_change,-0.21,,,triglyceride change; source unit requires table confirmation,,0.04,decrease within intervention group,within_group_only_or_mixed,limited,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,BL21 -0.21 +/- 1.09,Within-group triglyceride signal only; not a confirmed between-group treatment effect.
EUROPEPMC:40676704,microbiome,microbiome,aggregate_trial,BL21_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,"beta-diversity differed; Parasutterella, Parabacteroides, Blautia, Dorea and Butyricicoccus enriched",Multi-omics result; taxa and pathway findings are exploratory.
PMID:38713231,body_fat,adiposity,aggregate_trial,16_g_day_inulin_vs_maltodextrin_change,,,,qualitative body-composition result,0.014,,decrease,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,trunk fat mass at 6 months and trunk fat percentage at 3 months favored prebiotic,Population had knee osteoarthritis and obesity; mostly women.
PMID:38713231,microbiome,microbiome,PP,16_g_day_inulin_vs_maltodextrin,37,,,qualitative microbiome result,,,changed,,limited,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable,37 ASVs differed between groups; Bifidobacterium correlated with physical function,Taxa result is exploratory; correlation does not establish mediation.
PMID:35247098,weight,adiposity,aggregate_trial,27_g_day_wheat_aleurone_vs_cellulose,,,,qualitative,,,no significant between-group effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no significant anthropometric differences,Aleurone did not improve clinical anthropometric markers.
PMID:35247098,BMI,adiposity,aggregate_trial,27_g_day_wheat_aleurone_vs_cellulose,,,,qualitative,,,no significant between-group effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no significant BMI difference,Primary homocysteine and other clinical outcomes were null.
PMID:35247098,microbiome,microbiome,aggregate_trial,27_g_day_wheat_aleurone_vs_cellulose,,,,qualitative microbiome result,0.0499,,changed,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,Shannon diversity higher; Roseburia inulinivorans enriched,No significant fecal SCFA difference.
PMID:35351144,BMI,adiposity,aggregate_trial,inulin_by_physical_activity_interaction,39.7,,,BMI,0.012,,decrease,,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained,inulin main effect; strongest in increased-PA group (39.7 to 38.1 kg/m2),Physical activity was not randomized; interaction is exploratory.
PMID:35351144,glucose,metabolic,subgroup,inulin_by_physical_activity_interaction,18.1,,,metabolic change,0.005,,improve in subgroup,within_group_only_or_mixed; subgroup_only,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained,fasting insulin 18.1 to 13.6 mU/L in inulin plus increased-PA group,PA subgroup is observational within randomized inulin trial.
PMID:35351144,lipid,metabolic,aggregate_trial,inulin_by_physical_activity_interaction,192.9,,,mg/dL,<0.001,,decrease in subgroup,,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained,total cholesterol 192.9 to 176.1 mg/dL in inulin plus increased-PA group,Interaction with non-randomized PA change limits causal interpretation.
PMID:35351144,microbiome,microbiome,aggregate_trial,inulin_by_physical_activity_interaction,,,,qualitative microbiome result,<0.05,,changed,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,Bifidobacterium increased most with inulin plus increased PA,"Bifidobacterium change correlated with BMI, weight and HOMA measures."
PMID:32615727,waist,adiposity,aggregate_trial,CJLS03_vs_placebo_change,0.8,,,cm between-group difference,0.013,,decrease,,yes,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,CJLS03 0.8 cm lower than placebo,Waist circumference change favored CJLS03.
PMID:32615727,body_fat,adiposity,aggregate_trial,CJLS03_vs_placebo_change,-0.2,+0.6,-0.800,kg body fat mass change,0.018,,decrease,,yes,labeled_groups_split_on_vs,explicit_between_group,,CJLS03 -0.2 vs placebo +0.6,Primary body-fat outcome favored CJLS03; adverse events were mild and similar.
EUROPEPMC:40218949,BMI,adiposity,aggregate_trial,LMT1-48_vs_placebo,,,,qualitative,,,unclear,within_group_only_or_mixed,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no confirmed between-group BMI estimate in abstract,Do not infer BMI efficacy from the body-fat within-group result.
EUROPEPMC:40218949,body_fat,adiposity,aggregate_trial,LMT1-48_within_group_change,30.0,,,kg body fat mass,,0.009,decrease within intervention group,within_group_only_or_mixed,limited,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,LMT1-48 30.0 +/- 4.4 to 28.3 +/- 4.1,Abstract reports within-group change; between-group treatment effect requires table confirmation.
EUROPEPMC:40218949,microbiome,microbiome,PP,LMT1-48_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,obesity-associated microbial taxa changed,Taxa-level details require table/supplement confirmation.
PMID:40353878,weight,adiposity,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative completer-only result,<0.001,,decrease,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,low-dose nabilone completers decreased more than placebo,Trial terminated early for poor tolerability; all high-dose participants withdrew. Very high risk of attrition bias.
PMID:40353878,BMI,adiposity,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative completer-only result,<0.001,,decrease,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,low-dose nabilone completers decreased more than placebo,Early termination and severe differential attrition prevent efficacy inference.
PMID:40353878,microbiome,microbiome,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative beta-diversity result,<0.05,,changed,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,greater Bray-Curtis compositional change with low-dose nabilone,Exploratory completer-only microbiome result in an early-terminated trial.
PMID:40828642,weight,adiposity,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,-2.6,+0.57,-3.170,kg change,<0.001,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,intervention -2.6 +/- 1.5 vs control +0.57 +/- 0.84,Combined lifestyle intervention; not microbiome-targeted.
PMID:40828642,body_fat,adiposity,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,-1.5,+0.2,-1.700,kg fat-mass change,0.001,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,intervention -1.5 +/- 1.3 vs control +0.2 +/- 1.0,Fat-free mass also decreased modestly.
PMID:40828642,glucose,metabolic,FAS,energy_restriction_plus_exercise_vs_usual_lifestyle,-23.5,+4.2,-27.700,change,0.034,,improve,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,insulin -23.5 +/- 38.1 vs +4.2 +/- 24.1 pmol/L; HOMA2%S +48.7 vs +11.0,Insulin sensitivity improved without significant fasting-glucose difference.
PMID:40828642,lipid,metabolic,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,-0.70,-0.09,-0.610,mmol/L change,<0.001,,improve,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,total cholesterol -0.70 vs -0.09; LDL-C -0.53 vs -0.06,Short intensive lifestyle intervention.
PMID:40828642,microbiome,microbiome,aggregate_trial,energy_restriction_plus_exercise_vs_usual_lifestyle,,,,qualitative microbiome result,0.934,,no significant between-group effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed; multiple unlabeled P values; first retained,no alpha/beta diversity or differential taxon/pathway change,Metabolic improvements occurred without detectable gut microbiome change.
PMID:37545298,weight,adiposity,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,-0.98,-0.84,-0.140,kg change at day 28,0.80,,no significant between-group effect,diet_confounded,no,labeled_groups_split_on_vs,explicit_between_group,,ILCD -0.98 +/- 1.40 vs ICR -0.84 +/- 0.96,Both short dietary interventions reduced weight similarly.
PMID:37545298,waist,adiposity,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,-0.17,-1.15,0.980,cm change at day 28,0.31,,no significant between-group effect,,no,labeled_groups_split_on_vs,explicit_between_group,,ILCD -0.17 +/- 2.46 vs ICR -1.15 +/- 1.78,No differential waist effect.
PMID:37545298,glucose,metabolic,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,-0.27,-0.15,-0.120,change,0.18,,no significant between-group effect,diet_confounded,no,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,FBG -0.27 vs -0.15 mmol/L; HOMA-IR -1.00 vs -1.14,Glycemic improvements were similar between diets.
PMID:37545298,lipid,metabolic,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,+0.34,-0.03,0.370,mmol/L change,0.03,,unfavorable for intermittent low-carbohydrate diet,,no,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,LDL-C +0.34 vs -0.03; TG -0.19 vs -0.09; total cholesterol +0.20 vs -0.20,ILCD produced less favorable short-term lipid changes than ICR.
PMID:37545298,microbiome,microbiome,aggregate_trial,intermittent_low_carb_vs_intermittent_calorie_restriction,,,,qualitative microbiome result,,,changed,diet_confounded,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,diet-specific gut microbiota changes without demonstrated mediation,Short-duration dietary study; microbiome findings are exploratory.
PMID:40375569,weight,adiposity,PP,four_arm_curcumin_probiotic_trial,,,,qualitative anthropometric result,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,"waist changes were similar across placebo, probiotic, curcumin and combined groups",Primary outcomes were mental health and quality of life; baseline BMI/waist imbalances and per-protocol analysis.
NCT:NCT03261466,BMI,adiposity,aggregate_trial,B_breve_BR03_B632_vs_placebo_during_diet_training,,,,qualitative,<0.01,,no clear between-group effect,diet_confounded,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,BMI decreased over time in both arms; probiotic-specific interaction not established,Carry-over invalidated full crossover; first period analyzed.
NCT:NCT03261466,waist,adiposity,aggregate_trial,B_breve_BR03_B632_vs_placebo_during_diet_training,-3.41,,,cm adjusted difference,<0.05,,decrease,diet_confounded,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,adjusted probiotic cohort mean -3.41 cm vs placebo,Dietary training in both arms; baseline metabolic differences remained.
NCT:NCT03261466,glucose,metabolic,aggregate_trial,B_breve_BR03_B632_by_time,+0.013,,,model interaction coefficient,0.05,,improve,,limited,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained,QUICKI interaction +0.013; ISI interaction +0.654,Borderline insulin-sensitivity interaction; crossover carry-over limits interpretation.
NCT:NCT03261466,microbiome,microbiome,aggregate_trial,B_breve_BR03_B632_vs_placebo_during_diet_training,-0.4,,,log CFU/g,<0.02,,decrease,diet_confounded,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable,E. coli concentration adjusted difference -0.4 log CFU/g,Targeted qPCR rather than global community profiling.
NCT:NCT06795607,weight,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-0.8,-0.6,-0.200,kg change,0.965,,no significant between-group effect,,no,labeled_groups_split_on_vs,explicit_between_group,,probiotic -0.8 vs placebo -0.6,Single-blind small study; formulation also contained phytosterols and 6S-5MeTHF.
NCT:NCT06795607,BMI,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-0.3,-0.2,-0.100,kg/m2 change,0.988,,no significant between-group effect,,no,labeled_groups_split_on_vs,explicit_between_group,,probiotic -0.3 vs placebo -0.2,No probiotic-specific BMI benefit.
NCT:NCT06795607,waist,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-1.8,-1.2,-0.600,cm change,0.403,,no significant between-group effect,within_group_only_or_mixed,no,labeled_groups_split_on_vs,explicit_between_group,,probiotic -1.8 vs placebo -1.2,Both groups improved within arm.
NCT:NCT06795607,body_fat,adiposity,aggregate_trial,SF68_formulation_vs_placebo,-1.8,-1.3,-0.500,change,0.447,,no significant between-group effect,between_group_not_significant; within_group_only_or_mixed,no,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,fat mass -1.8 vs -1.3 kg; fat percentage -1.7 vs -1.1,Within-group reductions did not translate to between-group efficacy.
NCT:NCT06795607,glucose,metabolic,aggregate_trial,SF68_formulation_vs_placebo,+3.6,+5.1,-1.500,change,0.221,,no significant between-group effect,,no,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,glucose +3.6 vs +5.1 mg/dL; HOMA +0.1 vs +0.3,No glycemic treatment effect.
NCT:NCT06795607,lipid,metabolic,aggregate_trial,SF68_formulation_vs_placebo,+0.1,0,0.100,change,0.048,,mixed lipid result,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,multiple comparisons retained as first comparison only; multiple unlabeled P values; first retained,HDL/LDL ratio +0.1 vs 0; total cholesterol -11 vs +6.2 mg/dL,Only HDL/LDL ratio reached between-group significance.
NCT:NCT06795607,microbiome,microbiome,aggregate_trial,SF68_formulation_within_group,,,,qualitative microbiome result,0.031,,changed within intervention group,within_group_only_or_mixed,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed; multiple unlabeled P values; first retained,Evenness increased within probiotic arm; Lachnospirales decreased,No significant beta-diversity separation; within-arm exploratory result.
