evidence_id,outcome_domain,final_value,comparison,p_value_confirmed,sample_size_confirmed,source_file,reviewer_note
PMID:24795503,microbiome,VSL#3 favorably altered gut microbial composition,VSL3_vs_placebo,exact p not stated in abstract,n=60 randomized; n=15 per arm,Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf,Culture-based colonization/composition result; exact taxa counts require table extraction.
EUROPEPMC:40676704,weight,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06,BL21_vs_placebo_change,0.81 between-group; BL21 within p=0.02; placebo within p=0.01,n=66 randomized,12986_2025_Article_969.pdf,Both groups lost weight; no BL21-specific between-group effect.
EUROPEPMC:40676704,lipid,BL21 -0.21 +/- 1.09,BL21_within_group_change,0.04 within BL21; between-group p not reported in abstract,n=66 randomized,12986_2025_Article_969.pdf,Within-group triglyceride signal only; not a confirmed between-group treatment effect.
EUROPEPMC:40676704,microbiome,"beta-diversity differed; Parasutterella, Parabacteroides, Blautia, Dorea and Butyricicoccus enriched",BL21_vs_placebo,significant; exact p not stated in abstract,n=66 randomized,12986_2025_Article_969.pdf,Multi-omics result; taxa and pathway findings are exploratory.
PMID:38713231,body_fat,trunk fat mass at 6 months and trunk fat percentage at 3 months favored prebiotic,16_g_day_inulin_vs_maltodextrin_change,trunk fat percentage p=0.014; other exact p values require table confirmation,"n=54; prebiotic n=31, placebo n=21 reported in abstract","Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf",Population had knee osteoarthritis and obesity; mostly women.
PMID:38713231,microbiome,37 ASVs differed between groups; Bifidobacterium correlated with physical function,16_g_day_inulin_vs_maltodextrin,multiple-comparison details require supplement confirmation,"n=54; prebiotic n=31, placebo n=21 reported in abstract","Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf",Taxa result is exploratory; correlation does not establish mediation.
PMID:32615727,waist,CJLS03 0.8 cm lower than placebo,CJLS03_vs_placebo_change,0.013 between-group,n=114 randomized,EnM-2020-35-2-425.pdf,Waist circumference change favored CJLS03.
PMID:32615727,body_fat,CJLS03 -0.2 vs placebo +0.6,CJLS03_vs_placebo_change,0.018 between-group,n=114 randomized,EnM-2020-35-2-425.pdf,Primary body-fat outcome favored CJLS03; adverse events were mild and similar.
EUROPEPMC:40218949,BMI,no confirmed between-group BMI estimate in abstract,LMT1-48_vs_placebo,not reported in abstract,n=106 randomized,nutrients-17-01191.pdf,Do not infer BMI efficacy from the body-fat within-group result.
EUROPEPMC:40218949,body_fat,LMT1-48 30.0 +/- 4.4 to 28.3 +/- 4.1,LMT1-48_within_group_change,0.009 within group; between-group p not stated in abstract,n=106 randomized,nutrients-17-01191.pdf,Abstract reports within-group change; between-group treatment effect requires table confirmation.
EUROPEPMC:40218949,microbiome,obesity-associated microbial taxa changed,LMT1-48_vs_placebo,exact p not stated in abstract,n=106 randomized,nutrients-17-01191.pdf,Taxa-level details require table/supplement confirmation.
PMID:40353878,weight,low-dose nabilone completers decreased more than placebo,low_dose_nabilone_vs_placebo_completers,<0.001 treatment effect,n=18 randomized; n=15 dosed; n=8 completers,Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,Trial terminated early for poor tolerability; all high-dose participants withdrew. Very high risk of attrition bias.
PMID:40353878,BMI,low-dose nabilone completers decreased more than placebo,low_dose_nabilone_vs_placebo_completers,<0.001 treatment effect,n=18 randomized; n=15 dosed; n=8 completers,Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,Early termination and severe differential attrition prevent efficacy inference.
PMID:40353878,microbiome,greater Bray-Curtis compositional change with low-dose nabilone,low_dose_nabilone_vs_placebo_completers,<0.05,n=8 completers,Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf,Exploratory completer-only microbiome result in an early-terminated trial.
