effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,confidence,source_final_value
PMID:40732984::weight::kg change,PMID:40732984,PMID:40732984,weight,between_group_difference,-7.7,2.770408163265306,7.6751613910870455,-13.129999999999999,-2.2700000000000005,kg change,,,,,,,PMID:40732984::arm:intervention,PMID:40732984::arm:control,WLM3P_vs_low_calorie_diet,,29.0,curated_structured_effect_ci,True,high,WLM3P -20.6 vs LCD -12.9; adjusted group difference -6.50 (95% CI -11.93 to -1.07)
PMID:40732984::BMI::kg/m2 change,PMID:40732984,PMID:40732984,BMI,between_group_difference,-2.5,0.5535714285714286,0.3064413265306123,-3.585,-1.415,kg/m2 change,,,,,,,PMID:40732984::arm:intervention,PMID:40732984::arm:control,WLM3P_vs_low_calorie_diet,,29.0,curated_structured_effect_ci,True,high,WLM3P -7.1 vs LCD -4.6; adjusted difference -2.61 (95% CI -3.69 to -1.52)
PMID:40828642::weight::kg change,PMID:40828642,PMID:40828642,weight,between_group_difference,-3.17,0.9633715993435256,0.9280848384217023,-5.05820833471331,-1.2817916652866899,kg change,,,,,,,PMID:40828642::arm:intervention,PMID:40828642::arm:control,energy_restriction_plus_exercise_vs_usual_lifestyle,,18.0,curated_structured_effect_pbound,True,high,intervention -2.6 +/- 1.5 vs control +0.57 +/- 0.84
PMID:40828642::body_fat::kg fat-mass change,PMID:40828642,PMID:40828642,body_fat,between_group_difference,-1.7,0.5166346116353292,0.26691132193958744,-2.7126038388052454,-0.6873961611947548,kg fat-mass change,,,,,,,PMID:40828642::arm:intervention,PMID:40828642::arm:control,energy_restriction_plus_exercise_vs_usual_lifestyle,,18.0,curated_structured_effect_pbound,True,high,intervention -1.5 +/- 1.3 vs control +0.2 +/- 1.0
PMID:40828642::glucose::change,PMID:40828642,PMID:40828642,glucose,between_group_difference,-27.7,13.065595910753828,170.70979650310716,-53.3085679850775,-2.0914320149224963,change,,,,,,,PMID:40828642::arm:intervention,PMID:40828642::arm:control,energy_restriction_plus_exercise_vs_usual_lifestyle,,18.0,curated_structured_effect_pbound,True,high,insulin -23.5 +/- 38.1 vs +4.2 +/- 24.1 pmol/L; HOMA2%S +48.7 vs +11.0
PMID:40828642::lipid::mmol/L change,PMID:40828642,PMID:40828642,lipid,between_group_difference,-0.61,0.18538065476326518,0.03436598716045691,-0.9733460833359997,-0.24665391666400022,mmol/L change,,,,,,,PMID:40828642::arm:intervention,PMID:40828642::arm:control,energy_restriction_plus_exercise_vs_usual_lifestyle,,18.0,curated_structured_effect_pbound,True,high,total cholesterol -0.70 vs -0.09; LDL-C -0.53 vs -0.06
NCT:NCT06795607::weight::kg change,NCT:NCT06795607,NCT:NCT06795607,weight,between_group_difference,-0.2,4.557877631453417,20.77424850330341,-9.133440157648696,8.733440157648698,kg change,,,,,,,NCT:NCT06795607::arm:intervention,NCT:NCT06795607::arm:control,SF68_formulation_vs_placebo,,40.0,curated_structured_effect_pbound,True,high,probiotic -0.8 vs placebo -0.6
NCT:NCT06795607::BMI::kg/m2 change,NCT:NCT06795607,NCT:NCT06795607,BMI,between_group_difference,-0.1,6.648787333467534,44.20637300567832,-13.131623173596367,12.931623173596368,kg/m2 change,,,,,,,NCT:NCT06795607::arm:intervention,NCT:NCT06795607::arm:control,SF68_formulation_vs_placebo,,40.0,curated_structured_effect_pbound,True,high,probiotic -0.3 vs placebo -0.2
NCT:NCT06795607::waist::cm change,NCT:NCT06795607,NCT:NCT06795607,waist,between_group_difference,-0.6,0.7174670138050966,0.5147589158984026,-2.0062353470579892,0.8062353470579894,cm change,,,,,,,NCT:NCT06795607::arm:intervention,NCT:NCT06795607::arm:control,SF68_formulation_vs_placebo,,40.0,curated_structured_effect_pbound,True,high,probiotic -1.8 vs placebo -1.2
NCT:NCT06795607::body_fat::change,NCT:NCT06795607,NCT:NCT06795607,body_fat,between_group_difference,-0.5,0.6575261952039257,0.43234069737935105,-1.7887513425996944,0.7887513425996944,change,,,,,,,NCT:NCT06795607::arm:intervention,NCT:NCT06795607::arm:control,SF68_formulation_vs_placebo,,40.0,curated_structured_effect_pbound,True,high,fat mass -1.8 vs -1.3 kg; fat percentage -1.7 vs -1.1
NCT:NCT06795607::glucose::change,NCT:NCT06795607,NCT:NCT06795607,glucose,between_group_difference,-1.5,1.2256169910731822,1.5021370088072807,-3.902209302503437,0.902209302503437,change,,,,,,,NCT:NCT06795607::arm:intervention,NCT:NCT06795607::arm:control,SF68_formulation_vs_placebo,,40.0,curated_structured_effect_pbound,True,high,glucose +3.6 vs +5.1 mg/dL; HOMA +0.1 vs +0.3
NCT:NCT06795607::lipid::change,NCT:NCT06795607,NCT:NCT06795607,lipid,between_group_difference,0.1,0.050572264922801015,0.00255755397942197,0.0008783607513100228,0.19912163924868997,change,,,,,,,NCT:NCT06795607::arm:intervention,NCT:NCT06795607::arm:control,SF68_formulation_vs_placebo,,40.0,curated_structured_effect_pbound,True,high,HDL/LDL ratio +0.1 vs 0; total cholesterol -11 vs +6.2 mg/dL
DOI:10.3803/EnM.2020.35.2.425::body_fat::kg,DOI:10.3803/EnM.2020.35.2.425,DOI:10.3803/EnM.2020.35.2.425,body_fat,between_group_difference,-0.8,0.33817799708037727,0.11436435770929565,-1.4628288742775395,-0.1371711257224606,kg,,,,,,,DOI:10.3803/EnM.2020.35.2.425::arm:intervention,DOI:10.3803/EnM.2020.35.2.425::arm:control,probiotic_L_sakei_CJLS03_vs_placebo,,114.0,curated_structured_effect_pbound,True,high,"Body fat mass change CJLS03 -0.2 kg vs placebo +0.6 kg; 0.8 kg between-group difference, P=0.018"
DOI:10.3803/EnM.2020.35.2.425::waist::cm,DOI:10.3803/EnM.2020.35.2.425,DOI:10.3803/EnM.2020.35.2.425,waist,between_group_difference,-0.8,0.32209110651860573,0.10374268089837982,-1.4312985687764672,-0.16870143122353287,cm,,,,,,,DOI:10.3803/EnM.2020.35.2.425::arm:intervention,DOI:10.3803/EnM.2020.35.2.425::arm:control,probiotic_L_sakei_CJLS03_vs_placebo,,114.0,curated_structured_effect_pbound,True,high,"Waist circumference 0.8 cm smaller in CJLS03 than placebo at 12 weeks, P=0.013"
PMID:40409234::weight::kg change,PMID:40409234,PMID:40409234,weight,between_group_difference,0.9,,,,,kg change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -0.8 +/- 2.3 vs control -1.7 +/- 3.1
PMID:40409234::BMI::kg/m2 change,PMID:40409234,PMID:40409234,BMI,between_group_difference,0.3,,,,,kg/m2 change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2
PMID:40409234::waist::cm waist circumference change,PMID:40409234,PMID:40409234,waist,between_group_difference,1.2,,,,,cm waist circumference change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -1.3 +/- 1.8 vs control -2.5 +/- 3.1
PMID:40409234::body_fat::kg total fat mass change,PMID:40409234,PMID:40409234,body_fat,between_group_difference,1.11,,,,,kg total fat mass change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -0.69 +/- 1.16 vs control -1.80 +/- 2.65
"PMID:40409234::glucose::% HbA1c change, median (IQR)",PMID:40409234,PMID:40409234,glucose,between_group_difference,0.0,,,,,"% HbA1c change, median (IQR)",,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic 0 (-0.3; 0) vs control 0 (-0.1; 0.2)
"PMID:40409234::lipid::mg/dL triglyceride change, median (IQR)",PMID:40409234,PMID:40409234,lipid,between_group_difference,0.0,,,,,"mg/dL triglyceride change, median (IQR)",,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic 0 (-49; 0) vs control 0 (-10; 6)
PMID:37447365::weight::kg change,PMID:37447365,PMID:37447365,weight,between_group_difference,-1.06,,,,,kg change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87
PMID:37447365::BMI::kg/m2 change,PMID:37447365,PMID:37447365,BMI,between_group_difference,-0.37,,,,,kg/m2 change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63
PMID:37447365::waist::cm waist circumference change,PMID:37447365,PMID:37447365,waist,between_group_difference,-1.17,,,,,cm waist circumference change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55
PMID:37447365::body_fat::kg body fat mass change,PMID:37447365,PMID:37447365,body_fat,between_group_difference,-0.74,,,,,kg body fat mass change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64
PMID:37111082::weight::kg endpoint,PMID:37111082,PMID:37111082,weight,between_group_difference,-1.72,,,,,kg endpoint,,,,,,,PMID:37111082::arm:intervention,PMID:37111082::arm:control,synbiotic_vs_placebo_endpoint,,,curated_structured_effect_no_se,False,high,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12
PMID:37111082::BMI::kg/m2 endpoint,PMID:37111082,PMID:37111082,BMI,between_group_difference,-0.61,,,,,kg/m2 endpoint,,,,,,,PMID:37111082::arm:intervention,PMID:37111082::arm:control,synbiotic_vs_placebo_endpoint,,,curated_structured_effect_no_se,False,high,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12
PMID:37111082::waist::% waist circumference change from baseline,PMID:37111082,PMID:37111082,waist,between_group_difference,-3.49,,,,,% waist circumference change from baseline,,,,,,,PMID:37111082::arm:intervention,PMID:37111082::arm:control,baseline_to_post_synbiotic_with_placebo_context,,,curated_structured_effect_no_se,False,high,synbiotic -2.57 vs placebo +0.92
PMID:41512635::weight::kg change,PMID:41512635,PMID:41512635,weight,between_group_difference,-0.03,,,,,kg change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic +0.51 +/- 2.33 vs placebo +0.54 +/- 2.62
PMID:41512635::BMI::kg/m2 change,PMID:41512635,PMID:41512635,BMI,between_group_difference,0.11,,,,,kg/m2 change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic +0.22 +/- 0.85 vs placebo +0.11 +/- 1.03
PMID:41512635::waist::cm waist circumference change,PMID:41512635,PMID:41512635,waist,between_group_difference,-0.21,,,,,cm waist circumference change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic +0.26 +/- 3.68 vs placebo +0.47 +/- 3.31
PMID:41512635::body_fat::cm2 VAT area change,PMID:41512635,PMID:41512635,body_fat,between_group_difference,-7.81,,,,,cm2 VAT area change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic -4.49 +/- 21.22 vs placebo +3.32 +/- 19.62
PMID:40416368::weight::kg endpoint,PMID:40416368,PMID:40416368,weight,between_group_difference,-69.51,,,,,kg endpoint,,,,,,,PMID:40416368::arm:intervention,PMID:40416368::arm:control,probiotic_vs_placebo_endpoint_and_subgroup_weight_loss,,,curated_structured_effect_no_se,False,high,BC99 80.39 +/- 12.74 vs placebo 78.51 +/- 10.89 at week 8; overweight subgroup BC99 76.07 +/- 10.73 vs placebo 73.54 +/- 7.76
PMID:40416368::lipid::mmol/L triglyceride endpoint,PMID:40416368,PMID:40416368,lipid,between_group_difference,7.61,,,,,mmol/L triglyceride endpoint,,,,,,,PMID:40416368::arm:intervention,PMID:40416368::arm:control,probiotic_vs_placebo_endpoint,,,curated_structured_effect_no_se,False,high,TG BC99 1.46 +/- 0.57 vs placebo 1.39 +/- 0.78 at week 8
"PMID:40385498::weight::kg change, median (IQR)",PMID:40385498,PMID:40385498,weight,between_group_difference,0.15,,,,,"kg change, median (IQR)",,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"intervention -0.80 (-1.49, -0.09) vs placebo -0.95 (-1.98, 0.70)"
"PMID:40385498::BMI::kg/m2 change, median (IQR)",PMID:40385498,PMID:40385498,BMI,between_group_difference,0.04,,,,,"kg/m2 change, median (IQR)",,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"intervention -0.31 (-0.59, -0.04) vs placebo -0.35 (-0.79, 0.22)"
PMID:40385498::glucose::mg/dL FBS change and insulin qualitative,PMID:40385498,PMID:40385498,glucose,between_group_difference,-4.3,,,,,mg/dL FBS change and insulin qualitative,,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"FBS intervention -1.80 (-13.84, 5.75) vs placebo +2.50 (-13.00, 11.00); insulin increased in intervention"
"PMID:40385498::lipid::mg/dL change, median (IQR)",PMID:40385498,PMID:40385498,lipid,between_group_difference,-5.0,,,,,"mg/dL change, median (IQR)",,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"HDL intervention -3 (-15, 9) vs placebo +2 (-2.75, 7.00); TG intervention +13.50 vs placebo -8.00"
PMID:39456659::weight::kg change,PMID:39456659,PMID:39456659,weight,between_group_difference,2.82,,,,,kg change,,,,,,,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17
PMID:39456659::BMI::kg/m2 change,PMID:39456659,PMID:39456659,BMI,between_group_difference,0.93,,,,,kg/m2 change,,,,,,,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55
PMID:39456659::glucose::mmol/L fasting blood glucose,PMID:39456659,PMID:39456659,glucose,between_group_difference,-5.69,,,,,mmol/L fasting blood glucose,,,,,,,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_endpoint,,,curated_structured_effect_no_se,False,high,BBr60 5.26 +/- 0.57 vs placebo 5.69 +/- 0.86 at week 12
PMID:38999741::weight::kg change,PMID:38999741,PMID:38999741,weight,between_group_difference,202.33,,,,,kg change,,,,,,,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BN-202M -0.58 +/- 1.59 vs placebo -0.33 +/- 1.32
PMID:38999741::BMI::kg/m2 change,PMID:38999741,PMID:38999741,BMI,between_group_difference,202.11,,,,,kg/m2 change,,,,,,,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BN-202M -0.23 +/- 0.60 vs placebo -0.11 +/- 0.52
PMID:38999741::body_fat::percentage-point body fat change,PMID:38999741,PMID:38999741,body_fat,between_group_difference,201.52,,,,,percentage-point body fat change,,,,,,,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BN-202M -0.10 +/- 1.32 vs placebo +0.48 +/- 1.10
PMID:38542727::weight::kg endpoint and approximate change,PMID:38542727,PMID:38542727,weight,between_group_difference,-0.82,,,,,kg endpoint and approximate change,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,"probiotics 73.82 vs placebo 74.64 at week 16; placebo +0.90, probiotics +0.27 from baseline"
PMID:38542727::BMI::kg/m2 endpoint and approximate change,PMID:38542727,PMID:38542727,BMI,between_group_difference,-0.07,,,,,kg/m2 endpoint and approximate change,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,"probiotics 26.28 vs placebo 26.35 at week 16; placebo +0.33, probiotics +0.08 from baseline"
PMID:38542727::body_fat::cm2 abdominal fat area endpoint,PMID:38542727,PMID:38542727,body_fat,between_group_difference,-8.53,,,,,cm2 abdominal fat area endpoint,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,total fat area probiotics 312.42 vs placebo 320.95; visceral fat area probiotics 111.50 vs placebo 115.69 at week 16
PMID:38542727::lipid::mg/dL triglyceride endpoint and approximate change,PMID:38542727,PMID:38542727,lipid,between_group_difference,-18.59,,,,,mg/dL triglyceride endpoint and approximate change,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,probiotics 108.98 vs placebo 127.57 at week 16; probiotics -21.89 from baseline
PMID:27810310::weight::qualitative PP result,PMID:27810310,PMID:27810310,weight,between_group_difference,0.0,,,,,qualitative PP result,,,,,,,PMID:27810310::arm:intervention,PMID:27810310::arm:control,B420_or_LU+B420_vs_placebo_change_PP,,209.0,curated_structured_effect_no_se,False,high,B420 trend to lower body weight vs placebo; LU+B420 body fat loss counterbalanced by lean mass gain
PMID:27810310::waist::waist circumference change,PMID:27810310,PMID:27810310,waist,between_group_difference,0.0,,,,,waist circumference change,,,,,,,PMID:27810310::arm:intervention,PMID:27810310::arm:control,LU+B420_vs_placebo_change_PP,,209.0,curated_structured_effect_no_se,False,high,LU+B420 -2.7% (-2.6 cm) vs placebo; factorial B420 -2.4 cm vs placebo
PMID:27810310::body_fat::relative body fat mass change; kg difference,PMID:27810310,PMID:27810310,body_fat,between_group_difference,0.0,,,,,relative body fat mass change; kg difference,,,,,,,PMID:27810310::arm:intervention,PMID:27810310::arm:control,LU+B420_vs_placebo_change_PP,,209.0,curated_structured_effect_no_se,False,high,LU+B420 -4.5% (-1.4 kg) vs placebo; B420 alone -3.0% vs placebo
PMID:28730743::body_fat::fat mass change,PMID:28730743,PMID:28730743,body_fat,between_group_difference,-1.0,,,,,fat mass change,,,,,,,PMID:28730743::arm:intervention,PMID:28730743::arm:control,whey_vs_control_change,,,curated_structured_effect_no_se,False,high,whey -0.9 +/- 1.6 kg and -0.9 +/- 1.6% vs control +0.1 +/- 1.4 kg and +0.2 +/- 1.1%
EUROPEPMC:40676704::weight::kg change,EUROPEPMC:40676704,EUROPEPMC:40676704,weight,between_group_difference,-0.24,,,,,kg change,,,,,,,EUROPEPMC:40676704::arm:intervention,EUROPEPMC:40676704::arm:control,BL21_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06
PMID:32615727::body_fat::kg body fat mass change,PMID:32615727,PMID:32615727,body_fat,between_group_difference,-0.8,,,,,kg body fat mass change,,,,,,,PMID:32615727::arm:intervention,PMID:32615727::arm:control,CJLS03_vs_placebo_change,,,curated_structured_effect_no_se,False,high,CJLS03 -0.2 vs placebo +0.6
PMID:37545298::weight::kg change at day 28,PMID:37545298,PMID:37545298,weight,between_group_difference,-0.14,,,,,kg change at day 28,,,,,,,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,,,curated_structured_effect_no_se,False,high,ILCD -0.98 +/- 1.40 vs ICR -0.84 +/- 0.96
PMID:37545298::waist::cm change at day 28,PMID:37545298,PMID:37545298,waist,between_group_difference,0.98,,,,,cm change at day 28,,,,,,,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,,,curated_structured_effect_no_se,False,high,ILCD -0.17 +/- 2.46 vs ICR -1.15 +/- 1.78
PMID:37545298::glucose::change,PMID:37545298,PMID:37545298,glucose,between_group_difference,-0.12,,,,,change,,,,,,,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,,,curated_structured_effect_no_se,False,high,FBG -0.27 vs -0.15 mmol/L; HOMA-IR -1.00 vs -1.14
PMID:37545298::lipid::mmol/L change,PMID:37545298,PMID:37545298,lipid,between_group_difference,0.37,,,,,mmol/L change,,,,,,,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,,,curated_structured_effect_no_se,False,high,LDL-C +0.34 vs -0.03; TG -0.19 vs -0.09; total cholesterol +0.20 vs -0.20
PMID:25909598::BMI::%,PMID:25909598,PMID:25909598,BMI,abstract_directional_change,-53.8,16.349965944694535,267.32138639267106,-85.84593325160128,-21.754066748398706,%,,,,,,,PMID:25909598::arm:intervention,PMID:25909598::arm:control,abstract_mined,,9.0,abstract_mined,True,low,"The reduction in the body weight of patients undergoing RYGB was 53.8% higher in the prebiotic group compared with the placebo group (-0.7 kg, P=0.001), whereas the reduction in the BMI and the increase in the percentage of excess weight loss were higher in the placebo and the prebiotic groups compa"
EUROPEPMC:41126806::weight::%,EUROPEPMC:41126806,EUROPEPMC:41126806,weight,abstract_directional_change,-1.0,0.46081030095763087,0.21234613346866232,-1.9031881898769565,-0.09681181012304352,%,,,,,,,EUROPEPMC:41126806::arm:intervention,EUROPEPMC:41126806::arm:control,abstract_mined,,20.0,abstract_mined,True,low,"These ""responders"" (R) exhibited distinct baseline microbiome traits and experienced reductions in body weight (-1 %, p = 0.03) and diastolic blood pressure (-6 %, p = 0.049) compared to Non-responders (NR) to S."
PMID:29661605::glucose::%,PMID:29661605,PMID:29661605,glucose,abstract_directional_change,-0.09,0.10316581132023625,0.010643184625362586,-0.29220499018766305,0.11220499018766306,%,,,,,,,PMID:29661605::arm:intervention,PMID:29661605::arm:control,abstract_mined,,22.0,abstract_mined,True,low,"With respect to our secondary outcomes, HbA1c insignificant decreased by 0.09% (p = 0.383) and 0.24% (p = 0.068) respectively in placebo and probiotics groups."
