study_id,evidence_id,arm_id,arm_role,arm_label,intervention_class,species,strain,total_cfu_per_day,log10_cfu_per_day,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,sample_size,arm_data_status,source_title
EUROPEPMC:40218949,EUROPEPMC:40218949,EUROPEPMC:40218949::arm:intervention,intervention,LMT1-48,other,,,,,,,12.0,,106.0,partially_extracted,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of"
EUROPEPMC:40218949,EUROPEPMC:40218949,EUROPEPMC:40218949::arm:control,control,placebo,placebo,,,,,,,12.0,,106.0,partially_extracted,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of"
EUROPEPMC:40676704,EUROPEPMC:40676704,EUROPEPMC:40676704::arm:intervention,intervention,BL21,other,Bifidobacterium longum subsp. longum,BL21,20000000000.0,10.30102999566398,,,8.0,powder packet,66.0,partially_extracted,"Multi-omics analyses the effect of Bifidobacterium longum subsp. longum BL21 supplementation on overweight and obese subjects: a randomized, double-blind, placebo-controlled study."
EUROPEPMC:40676704,EUROPEPMC:40676704,EUROPEPMC:40676704::arm:control,control,placebo change,placebo,,,,,,,8.0,,66.0,partially_extracted,"Multi-omics analyses the effect of Bifidobacterium longum subsp. longum BL21 supplementation on overweight and obese subjects: a randomized, double-blind, placebo-controlled study."
PMID:24795503,PMID:24795503,PMID:24795503::arm:intervention,intervention,VSL3,other,,,,,,,6.0,,60.0,partially_extracted,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial."
PMID:24795503,PMID:24795503,PMID:24795503::arm:control,control,placebo relative change,placebo,,,,,,,6.0,,60.0,partially_extracted,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial."
PMID:35247098,PMID:35247098,PMID:35247098::arm:intervention,intervention,27 g day wheat aleurone,other,,,,,,,4.0,,34.0,partially_extracted,"Impact of wheat aleurone on biomarkers of cardiovascular disease, gut microbiota and metabolites in adults with high body mass index: a double-blind, placebo-controlled, randomized clinical trial."
PMID:35247098,PMID:35247098,PMID:35247098::arm:control,control,cellulose,other,,,,,,,4.0,,34.0,partially_extracted,"Impact of wheat aleurone on biomarkers of cardiovascular disease, gut microbiota and metabolites in adults with high body mass index: a double-blind, placebo-controlled, randomized clinical trial."
PMID:38393021,PMID:38393021,PMID:38393021::arm:intervention,intervention,L bulgaricus,other,,,,,,,12.0,,36.0,partially_extracted,The Efficacy of
PMID:38393021,PMID:38393021,PMID:38393021::arm:control,control,placebo,placebo,,,,,,,12.0,,36.0,partially_extracted,The Efficacy of
PMID:32615727,PMID:32615727,PMID:32615727::arm:intervention,intervention,CJLS03,other,,,,,,,12.0,,114.0,partially_extracted,"Effect of Lactobacillus sakei, a Probiotic Derived from Kimchi, on Body Fat in Koreans with Obesity: A Randomized Controlled Study."
PMID:32615727,PMID:32615727,PMID:32615727::arm:control,control,placebo change,placebo,,,,,,,12.0,,114.0,partially_extracted,"Effect of Lactobacillus sakei, a Probiotic Derived from Kimchi, on Body Fat in Koreans with Obesity: A Randomized Controlled Study."
PMID:38713231,PMID:38713231,PMID:38713231::arm:intervention,intervention,16 g day inulin,other,,,,,,,26.07,,54.0,partially_extracted,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial."
PMID:38713231,PMID:38713231,PMID:38713231::arm:control,control,maltodextrin change,other,,,,,,,26.07,,54.0,partially_extracted,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial."
PMID:37252684,PMID:37252684,PMID:37252684::arm:intervention,intervention,green lipped mussel,other,,,,,,,13.035,,49.0,partially_extracted,Effect of green-lipped mussel (
PMID:37252684,PMID:37252684,PMID:37252684::arm:control,control,placebo change,placebo,,,,,,,13.035,,49.0,partially_extracted,Effect of green-lipped mussel (
PMID:40375569,PMID:40375569,PMID:40375569::arm:intervention,intervention,probiotic,probiotic,,,,,,,8.0,,128.0,partially_extracted,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial."
PMID:40375569,PMID:40375569,PMID:40375569::arm:control,control,placebo or usual-care control,placebo,,,,,,,8.0,,128.0,partially_extracted,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial."
PMID:40409234,PMID:40409234,PMID:40409234::arm:intervention,intervention,probiotic,probiotic,multi-strain probiotic (8 strains; species require full methods table),,30000000000.0,10.477121,,,12.0,capsules,23.0,partially_extracted,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.
PMID:40409234,PMID:40409234,PMID:40409234::arm:control,control,control change,control,,,,,,,12.0,,23.0,partially_extracted,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.
PMID:37111082,PMID:37111082,PMID:37111082::arm:intervention,intervention,synbiotic,synbiotic,Lacticaseibacillus rhamnosus; Lactobacillus gasseri; Lactobacillus salivarius; Bifidobacterium animalis subsp. lactis; Bifidobacterium longum; Bifidobacterium breve; Bifidobacterium longum subsp. infantis,LR3; BNR17; LS1; BL2; BG3; BR2; BT,37000000000.0,10.568201724066997,fructooligosaccharides,2.0,12.0,sachet,32.0,partially_extracted,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study."
PMID:37111082,PMID:37111082,PMID:37111082::arm:control,control,placebo endpoint,placebo,,,,,,,12.0,,32.0,partially_extracted,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study."
PMID:40066582,PMID:40066582,PMID:40066582::arm:intervention,intervention,probiotic,probiotic,Enterococcus faecium; Lactobacillus plantarum; Streptococcus thermophilus; Bifidobacterium lactis; Lactobacillus acidophilus; Bifidobacterium longum,,,,,,8.0,capsules twice daily,12.0,partially_extracted,"Effects of probiotic supplementation on blood lipids ın hypercholesterolemic obese patients: a randomized, double-blind, placebo-controlled pilot trial."
PMID:40066582,PMID:40066582,PMID:40066582::arm:control,control,placebo change,placebo,,,,,,,8.0,,12.0,partially_extracted,"Effects of probiotic supplementation on blood lipids ın hypercholesterolemic obese patients: a randomized, double-blind, placebo-controlled pilot trial."
PMID:41512635,PMID:41512635,PMID:41512635::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,12.0,,112.0,partially_extracted,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial."
PMID:41512635,PMID:41512635,PMID:41512635::arm:control,control,placebo change,placebo,,,,,,,12.0,,112.0,partially_extracted,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial."
NCT:NCT03261466,NCT:NCT03261466,NCT:NCT03261466::arm:intervention,intervention,B breve BR03 B632,other,,,,,,,8.0,,101.0,partially_extracted,Bifidobacterium breve BR03 and B632 in children and adolescents with obesity
NCT:NCT03261466,NCT:NCT03261466,NCT:NCT03261466::arm:control,control,placebo during diet training,placebo,,,,,,,8.0,,101.0,partially_extracted,Bifidobacterium breve BR03 and B632 in children and adolescents with obesity
PMID:37447365,PMID:37447365,PMID:37447365::arm:intervention,intervention,probiotic,probiotic,,,,,,,13.035,,59.0,partially_extracted,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study."
PMID:37447365,PMID:37447365,PMID:37447365::arm:control,control,placebo change,placebo,,,,,,,13.035,,59.0,partially_extracted,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study."
PMID:38542727,PMID:38542727,PMID:38542727::arm:intervention,intervention,probiotic,probiotic,Bifidobacterium longum; Bifidobacterium breve,BB536; MCC1274,15000000000.0,10.176091,,,16.0,2 probiotic capsules,47.0,partially_extracted,Effects of
PMID:38542727,PMID:38542727,PMID:38542727::arm:control,control,placebo endpoint ANCOVA,placebo,,,,,,,16.0,,47.0,partially_extracted,Effects of
PMID:38999741,PMID:38999741,PMID:38999741::arm:intervention,intervention,probiotic,probiotic,Lacticaseibacillus paracasei; Lactiplantibacillus plantarum,BEPC22; BELP53,50000000000.0,10.69897000433602,,,12.0,2 g sachet,67.0,partially_extracted,The Effect of the
PMID:38999741,PMID:38999741,PMID:38999741::arm:control,control,placebo change,placebo,,,,,,,12.0,,67.0,partially_extracted,The Effect of the
PMID:40385498,PMID:40385498,PMID:40385498::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,12.0,,20.0,partially_extracted,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial."
PMID:40385498,PMID:40385498,PMID:40385498::arm:control,control,placebo change,placebo,,,,,,,12.0,,20.0,partially_extracted,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial."
PMID:27810310,PMID:27810310,PMID:27810310::arm:intervention,intervention,B420 or LU+B420,other,,,,,,,26.07,,35.0,partially_extracted,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial."
PMID:27810310,PMID:27810310,PMID:27810310::arm:control,control,placebo change PP,placebo,,,,,,,26.07,,35.0,partially_extracted,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial."
PMID:39051504,PMID:39051504,PMID:39051504::arm:intervention,intervention,probiotic,probiotic,,,,,,,12.0,,46.0,partially_extracted,
PMID:39051504,PMID:39051504,PMID:39051504::arm:control,control,placebo change,placebo,,,,,,,12.0,,46.0,partially_extracted,
PMID:39456659,PMID:39456659,PMID:39456659::arm:intervention,intervention,probiotic,probiotic,Bifidobacterium breve,BBr60,10000000000.0,10.0,,,12.0,,33.0,partially_extracted,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss
PMID:39456659,PMID:39456659,PMID:39456659::arm:control,control,placebo change,placebo,,,,,,,12.0,,33.0,partially_extracted,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss
PMID:40416368,PMID:40416368,PMID:40416368::arm:intervention,intervention,probiotic,probiotic,Bacillus coagulans,BC99,5000000000.0,9.69897000433602,,,8.0,packet,33.0,partially_extracted,Effect of
PMID:40416368,PMID:40416368,PMID:40416368::arm:control,control,placebo endpoint and subgroup weight loss,placebo,,,,,,,8.0,,33.0,partially_extracted,Effect of
NCT:NCT01978691,NCT:NCT01978691,NCT:NCT01978691::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,225.0,queued_for_extraction,The Effect of a Bifidobacterium and Polydextrose on Body Fat Mass
NCT:NCT01978691,NCT:NCT01978691,NCT:NCT01978691::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,225.0,queued_for_extraction,The Effect of a Bifidobacterium and Polydextrose on Body Fat Mass
NCT:NCT07073781,NCT:NCT07073781,NCT:NCT07073781::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,70.0,queued_for_extraction,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation"
NCT:NCT07073781,NCT:NCT07073781,NCT:NCT07073781::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,70.0,queued_for_extraction,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation"
NCT:NCT04886778,NCT:NCT04886778,NCT:NCT04886778::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,44.0,queued_for_extraction,Efficacy and Safety of Low-Carbohydrate Diet Combined With Probiotics for Weight Loss in Male Obese Patients.
NCT:NCT04886778,NCT:NCT04886778,NCT:NCT04886778::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,44.0,queued_for_extraction,Efficacy and Safety of Low-Carbohydrate Diet Combined With Probiotics for Weight Loss in Male Obese Patients.
NCT:NCT07452757,NCT:NCT07452757,NCT:NCT07452757::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,140.0,queued_for_extraction,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers
NCT:NCT07452757,NCT:NCT07452757,NCT:NCT07452757::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,140.0,queued_for_extraction,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers
PMID:30262813,PMID:30262813,PMID:30262813::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,135.0,queued_for_extraction,Effects of daily consumption of the probiotic Bifidobacterium animalis subsp. lactis CECT 8145 on anthropometric adiposity biomarkers in abdominally obese subjects: a randomized controlled trial.
PMID:30262813,PMID:30262813,PMID:30262813::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,135.0,queued_for_extraction,Effects of daily consumption of the probiotic Bifidobacterium animalis subsp. lactis CECT 8145 on anthropometric adiposity biomarkers in abdominally obese subjects: a randomized controlled trial.
PMID:30641692,PMID:30641692,PMID:30641692::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,The effect of probiotic supplementation on glycemic control and lipid profile in patients with type 2 diabetes: A randomized placebo controlled trial.
PMID:30641692,PMID:30641692,PMID:30641692::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,The effect of probiotic supplementation on glycemic control and lipid profile in patients with type 2 diabetes: A randomized placebo controlled trial.
PMID:31126565,PMID:31126565,PMID:31126565::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,,queued_for_extraction,Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: A systematic review and meta-analysis.
PMID:31126565,PMID:31126565,PMID:31126565::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: A systematic review and meta-analysis.
PMID:31965834,PMID:31965834,PMID:31965834::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study."
PMID:31965834,PMID:31965834,PMID:31965834::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study."
PMID:32234652,PMID:32234652,PMID:32234652::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,16.0,queued_for_extraction,Gut microbiota composition after diet and probiotics in overweight breast cancer survivors: a randomized open-label pilot intervention trial.
PMID:32234652,PMID:32234652,PMID:32234652::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,16.0,queued_for_extraction,Gut microbiota composition after diet and probiotics in overweight breast cancer survivors: a randomized open-label pilot intervention trial.
PMID:39415279,PMID:39415279,PMID:39415279::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,20.0,queued_for_extraction,Effect of Sinetrol
PMID:39415279,PMID:39415279,PMID:39415279::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,20.0,queued_for_extraction,Effect of Sinetrol
EUROPEPMC:42116047,EUROPEPMC:42116047,EUROPEPMC:42116047::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial."
EUROPEPMC:42116047,EUROPEPMC:42116047,EUROPEPMC:42116047::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial."
PMID:20216555,PMID:20216555,PMID:20216555::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,87.0,queued_for_extraction,Regulation of abdominal adiposity by probiotics (Lactobacillus gasseri SBT2055) in adults with obese tendencies in a randomized controlled trial.
PMID:20216555,PMID:20216555,PMID:20216555::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,87.0,queued_for_extraction,Regulation of abdominal adiposity by probiotics (Lactobacillus gasseri SBT2055) in adults with obese tendencies in a randomized controlled trial.
PMID:33054635,PMID:33054635,PMID:33054635::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,62.0,queued_for_extraction,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction"
PMID:33054635,PMID:33054635,PMID:33054635::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,62.0,queued_for_extraction,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction"
PMID:33718754,PMID:33718754,PMID:33718754::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,50.0,queued_for_extraction,Ingesting Yogurt Containing
PMID:33718754,PMID:33718754,PMID:33718754::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,50.0,queued_for_extraction,Ingesting Yogurt Containing
PMID:35714163,PMID:35714163,PMID:35714163::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,,queued_for_extraction,
PMID:35714163,PMID:35714163,PMID:35714163::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,
PMID:37181156,PMID:37181156,PMID:37181156::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,82.0,queued_for_extraction,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.
PMID:37181156,PMID:37181156,PMID:37181156::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,82.0,queued_for_extraction,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.
PMID:39664910,PMID:39664910,PMID:39664910::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,,,,queued_for_extraction,Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial.
PMID:39664910,PMID:39664910,PMID:39664910::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Effect of synbiotic supplementation on obesity and gut microbiota in obese adults: a double-blind randomized controlled trial.
PMID:41479657,PMID:41479657,PMID:41479657::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,66.0,queued_for_extraction,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study."
PMID:41479657,PMID:41479657,PMID:41479657::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,66.0,queued_for_extraction,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study."
PMID:41599863,PMID:41599863,PMID:41599863::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,50.0,queued_for_extraction,"Efficacy and Safety of CKDB-322, a Combination of"
PMID:41599863,PMID:41599863,PMID:41599863::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,50.0,queued_for_extraction,"Efficacy and Safety of CKDB-322, a Combination of"
PMID:40451504,PMID:40451504,PMID:40451504::arm:intervention,intervention,postbiotic,other,,,,,,,,,22.0,queued_for_extraction,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial."
PMID:40451504,PMID:40451504,PMID:40451504::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,22.0,queued_for_extraction,"Comparing the effects of yogurt containing Akkermansia muciniphilia postbiotic with yogurt containing Lactobacillus rhamnosus postbiotic on body composition, biochemical indices, appetite, and depression scores in overweight or obese adults: A randomized, double-blind, controlled clinical trial."
PMID:40598275,PMID:40598275,PMID:40598275::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,,queued_for_extraction,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial."
PMID:40598275,PMID:40598275,PMID:40598275::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial."
PMID:41830022,PMID:41830022,PMID:41830022::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,49.0,queued_for_extraction,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.
PMID:41830022,PMID:41830022,PMID:41830022::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,49.0,queued_for_extraction,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.
PMID:31987116,PMID:31987116,PMID:31987116::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial."
PMID:31987116,PMID:31987116,PMID:31987116::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial."
PMID:34444671,PMID:34444671,PMID:34444671::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,,queued_for_extraction,Effects of 60-Day
PMID:34444671,PMID:34444671,PMID:34444671::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Effects of 60-Day
PMID:37084470,PMID:37084470,PMID:37084470::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,Randomized controlled trials reporting the effects of probiotics in individuals with overweight and obesity: A critical review of the interventions and body adiposity parameters.
PMID:37084470,PMID:37084470,PMID:37084470::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Randomized controlled trials reporting the effects of probiotics in individuals with overweight and obesity: A critical review of the interventions and body adiposity parameters.
PMID:30094122,PMID:30094122,PMID:30094122::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,,,,queued_for_extraction,Effects of
PMID:30094122,PMID:30094122,PMID:30094122::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Effects of
NCT:NCT02893943,NCT:NCT02893943,NCT:NCT02893943::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,30.0,queued_for_extraction,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals
NCT:NCT02893943,NCT:NCT02893943,NCT:NCT02893943::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,30.0,queued_for_extraction,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals
NCT:NCT04863313,NCT:NCT04863313,NCT:NCT04863313::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,73.0,queued_for_extraction,Effect of a Probiotic on the Glycemic Profile and the Fecal Microbiota of Prediabetic Subjects (PREDIABETCARE)
NCT:NCT04863313,NCT:NCT04863313,NCT:NCT04863313::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,73.0,queued_for_extraction,Effect of a Probiotic on the Glycemic Profile and the Fecal Microbiota of Prediabetic Subjects (PREDIABETCARE)
EUROPEPMC:40409234,EUROPEPMC:40409234,EUROPEPMC:40409234::arm:intervention,intervention,probiotic,probiotic,,,,,,,,,,queued_for_extraction,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.
EUROPEPMC:40409234,EUROPEPMC:40409234,EUROPEPMC:40409234::arm:control,control,placebo or usual-care control,placebo,,,,,,,,,,queued_for_extraction,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.
