"evidence_id","outcome_domain","final_value","comparison","p_value_confirmed","sample_size_confirmed","source_file","reviewer_note"
"PMID:24795503","microbiome","VSL#3 favorably altered gut microbial composition","VSL3_vs_placebo","exact p not stated in abstract","n=60 randomized; n=15 per arm","Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf","Culture-based colonization/composition result; exact taxa counts require table extraction."
"EUROPEPMC:40676704","weight","BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06","BL21_vs_placebo_change","0.81 between-group; BL21 within p=0.02; placebo within p=0.01","n=66 randomized","12986_2025_Article_969.pdf","Both groups lost weight; no BL21-specific between-group effect."
"EUROPEPMC:40676704","lipid","BL21 -0.21 +/- 1.09","BL21_within_group_change","0.04 within BL21; between-group p not reported in abstract","n=66 randomized","12986_2025_Article_969.pdf","Within-group triglyceride signal only; not a confirmed between-group treatment effect."
"EUROPEPMC:40676704","microbiome","beta-diversity differed; Parasutterella, Parabacteroides, Blautia, Dorea and Butyricicoccus enriched","BL21_vs_placebo","significant; exact p not stated in abstract","n=66 randomized","12986_2025_Article_969.pdf","Multi-omics result; taxa and pathway findings are exploratory."
"PMID:38713231","body_fat","trunk fat mass at 6 months and trunk fat percentage at 3 months favored prebiotic","16_g_day_inulin_vs_maltodextrin_change","trunk fat percentage p=0.014; other exact p values require table confirmation","n=54; prebiotic n=31, placebo n=21 reported in abstract","Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf","Population had knee osteoarthritis and obesity; mostly women."
"PMID:38713231","microbiome","37 ASVs differed between groups; Bifidobacterium correlated with physical function","16_g_day_inulin_vs_maltodextrin","multiple-comparison details require supplement confirmation","n=54; prebiotic n=31, placebo n=21 reported in abstract","Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity_(科研通-ablesci.com) (1).pdf","Taxa result is exploratory; correlation does not establish mediation."
"PMID:32615727","waist","CJLS03 0.8 cm lower than placebo","CJLS03_vs_placebo_change","0.013 between-group","n=114 randomized","EnM-2020-35-2-425.pdf","Waist circumference change favored CJLS03."
"PMID:32615727","body_fat","CJLS03 -0.2 vs placebo +0.6","CJLS03_vs_placebo_change","0.018 between-group","n=114 randomized","EnM-2020-35-2-425.pdf","Primary body-fat outcome favored CJLS03; adverse events were mild and similar."
"EUROPEPMC:40218949","BMI","no confirmed between-group BMI estimate in abstract","LMT1-48_vs_placebo","not reported in abstract","n=106 randomized","nutrients-17-01191.pdf","Do not infer BMI efficacy from the body-fat within-group result."
"EUROPEPMC:40218949","body_fat","LMT1-48 30.0 +/- 4.4 to 28.3 +/- 4.1","LMT1-48_within_group_change","0.009 within group; between-group p not stated in abstract","n=106 randomized","nutrients-17-01191.pdf","Abstract reports within-group change; between-group treatment effect requires table confirmation."
"EUROPEPMC:40218949","microbiome","obesity-associated microbial taxa changed","LMT1-48_vs_placebo","exact p not stated in abstract","n=106 randomized","nutrients-17-01191.pdf","Taxa-level details require table/supplement confirmation."
"PMID:40353878","weight","low-dose nabilone completers decreased more than placebo","low_dose_nabilone_vs_placebo_completers","<0.001 treatment effect","n=18 randomized; n=15 dosed; n=8 completers","Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf","Trial terminated early for poor tolerability; all high-dose participants withdrew. Very high risk of attrition bias."
"PMID:40353878","BMI","low-dose nabilone completers decreased more than placebo","low_dose_nabilone_vs_placebo_completers","<0.001 treatment effect","n=18 randomized; n=15 dosed; n=8 completers","Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf","Early termination and severe differential attrition prevent efficacy inference."
"PMID:40353878","microbiome","greater Bray-Curtis compositional change with low-dose nabilone","low_dose_nabilone_vs_placebo_completers","<0.05","n=8 completers","Feasibility and Tolerability of Nabilone for the Treatment of Obesity_ A Randomized Controlled Pilot Trial(科研通-ablesci.com).pdf","Exploratory completer-only microbiome result in an early-terminated trial."
"EUROPEPMC:41413231","weight","adjusted difference -1.16 (95% CI -1.36 to -0.97)","synbiotic_vs_placebo_adjusted","<0.001 between-group","n=96 randomized; n=85 completed; modified ITT",,"Older adults with T2DM and high cardiovascular risk."
"EUROPEPMC:41413231","BMI","adjusted difference -0.44 (95% CI -0.51 to -0.36)","synbiotic_vs_placebo_adjusted","<0.001 between-group","n=96 randomized; n=85 completed; modified ITT",,"Linear mixed ANCOVA."
"EUROPEPMC:41413231","glucose","FPG -22.83 mg/dL (95% CI -31.30 to -14.36); HOMA-IR -1.31 (-1.75 to -0.86)","synbiotic_vs_placebo_adjusted","FPG p=0.003; HOMA-IR p=0.001; insulin p=0.060","n=96 randomized; n=85 completed; modified ITT",,"HbA1c and insulin did not show significant between-group effects."
"EUROPEPMC:41413231","lipid","LDL-C -10.83 mg/dL; total cholesterol -11.78 mg/dL","synbiotic_vs_placebo_adjusted","LDL-C p=0.002; total cholesterol p=0.012; TG p=0.416","n=96 randomized; n=85 completed; modified ITT",,"Triglycerides decreased within synbiotic arm but not between groups."
"PMID:28730743","body_fat","whey -0.9 +/- 1.6 kg and -0.9 +/- 1.6% vs control +0.1 +/- 1.4 kg and +0.2 +/- 1.1%","whey_vs_control_change","significant between-group; exact p requires table confirmation","four-arm RCT; group n requires table confirmation",,"Body-fat effect belonged to whey protein, not inulin-type fructans."
"PMID:28730743","weight","no significant change in body weight, BMI or waist circumference in any group","ITF_whey_combination_vs_control","not significant","four-arm RCT",,"Prebiotic altered microbiota and appetite but did not improve weight loss."
"PMID:33763720","weight","isocaloric Mediterranean diet effect independent of body-weight change","Mediterranean_diet_vs_habitual_diet","body-weight change not significant","n=82 randomized; MD n=43, control n=39",,"Mechanistic dietary study, not a weight-loss intervention."
"PMID:33763720","BMI","no intervention-related BMI reduction reported","Mediterranean_diet_vs_habitual_diet","not significant","n=82 randomized",,"Isocaloric intervention."
"PMID:33763720","glucose","HOMA-IR -23.9% at week 8 in low baseline OEA/PEA subgroup","baseline_biomarker_subgroup_within_MD","0.01 subgroup within-group","n=82 randomized; subgroup quartile",,"Post-randomization biomarker subgroup; not an overall randomized treatment effect."
"PMID:33763720","microbiome","Akkermansia muciniphila abundance increased","Mediterranean_diet_vs_habitual_diet","0.026 between-group/time analysis","n=82 randomized; ITT microbiome analysis",,"Effect occurred independently of body-weight change."
"PMID:35247098","weight","no significant anthropometric differences","27_g_day_wheat_aleurone_vs_cellulose","not significant","aleurone n=34; placebo n=33",,"Aleurone did not improve clinical anthropometric markers."
"PMID:35247098","BMI","no significant BMI difference","27_g_day_wheat_aleurone_vs_cellulose","not significant","aleurone n=34; placebo n=33",,"Primary homocysteine and other clinical outcomes were null."
"PMID:35247098","microbiome","Shannon diversity higher; Roseburia inulinivorans enriched","27_g_day_wheat_aleurone_vs_cellulose","Shannon significant; R. inulinivorans FDR p=0.0499","aleurone n=34; placebo n=33",,"No significant fecal SCFA difference."
"PMID:35351144","BMI","inulin main effect; strongest in increased-PA group (39.7 to 38.1 kg/m2)","inulin_by_physical_activity_interaction","inulin p=0.012; interaction p=0.044","n=61; four post-randomization PA strata",,"Physical activity was not randomized; interaction is exploratory."
"PMID:35351144","glucose","fasting insulin 18.1 to 13.6 mU/L in inulin plus increased-PA group","inulin_by_physical_activity_interaction","inulin main effect p=0.005; HOMA-IR p=0.07","n=61; four post-randomization PA strata",,"PA subgroup is observational within randomized inulin trial."
"PMID:35351144","lipid","total cholesterol 192.9 to 176.1 mg/dL in inulin plus increased-PA group","inulin_by_physical_activity_interaction","inulin p=0.031; interaction p<0.001","n=61; four post-randomization PA strata",,"Interaction with non-randomized PA change limits causal interpretation."
"PMID:35351144","microbiome","Bifidobacterium increased most with inulin plus increased PA","inulin_by_physical_activity_interaction","p and q <0.05","n=61",,"Bifidobacterium change correlated with BMI, weight and HOMA measures."
"PMID:37545298","weight","ILCD -0.98 +/- 1.40 vs ICR -0.84 +/- 0.96","intermittent_low_carb_vs_intermittent_calorie_restriction","0.80 between-group","n=34; 17 per arm",,"Both short dietary interventions reduced weight similarly."
"PMID:37545298","waist","ILCD -0.17 +/- 2.46 vs ICR -1.15 +/- 1.78","intermittent_low_carb_vs_intermittent_calorie_restriction","0.31 between-group","n=34; 17 per arm",,"No differential waist effect."
"PMID:37545298","glucose","FBG -0.27 vs -0.15 mmol/L; HOMA-IR -1.00 vs -1.14","intermittent_low_carb_vs_intermittent_calorie_restriction","FBG p=0.18; HOMA-IR p=0.16","n=34",,"Glycemic improvements were similar between diets."
"PMID:37545298","lipid","LDL-C +0.34 vs -0.03; TG -0.19 vs -0.09; total cholesterol +0.20 vs -0.20","intermittent_low_carb_vs_intermittent_calorie_restriction","LDL p=0.03; TG p=0.02; total cholesterol p=0.02","n=34",,"ILCD produced less favorable short-term lipid changes than ICR."
"PMID:37545298","microbiome","diet-specific gut microbiota changes without demonstrated mediation","intermittent_low_carb_vs_intermittent_calorie_restriction","exploratory multiple taxa","n=34",,"Short-duration dietary study; microbiome findings are exploratory."
"PMID:40375569","weight","waist changes were similar across placebo, probiotic, curcumin and combined groups","four_arm_curcumin_probiotic_trial","between-group not significant","n=128 randomized; n=104 per-protocol; 26 per arm analyzed",,"Primary outcomes were mental health and quality of life; baseline BMI/waist imbalances and per-protocol analysis."
"PMID:40732984","weight","WLM3P -20.6 vs LCD -12.9; adjusted group difference -6.50 (95% CI -11.93 to -1.07)","WLM3P_vs_low_calorie_diet","0.01 between-group; interaction <0.001","n=58 randomized; 29 per arm",,"Multicomponent weight-management program versus low-calorie diet."
"PMID:40732984","BMI","WLM3P -7.1 vs LCD -4.6; adjusted difference -2.61 (95% CI -3.69 to -1.52)","WLM3P_vs_low_calorie_diet","<0.001 between-group","n=58 randomized",,"Large change reflects multicomponent program, not a probiotic intervention."
"PMID:40732984","body_fat","fat mass adjusted difference -6.09 kg; visceral fat -30.70 cm2","WLM3P_vs_low_calorie_diet","both p<0.001","n=58 randomized",,"Faecalibacterium association with fat loss was exploratory and adjusted observational analysis."
"PMID:40732984","lipid","no significant LDL-C, HDL-C or triglyceride difference","WLM3P_vs_low_calorie_diet","LDL p=0.62; HDL p=0.58; TG p=0.64","n=58 randomized",,"Both groups improved some lipid measures over time."
"PMID:40732984","microbiome","WLM3P Shannon p=0.03 and beta-diversity p<0.01; multiple genera changed","WLM3P_vs_low_calorie_diet","within WLM3P diversity changes; taxa FDR controlled","n=58 randomized",,"Faecalibacterium interaction with fat-mass outcomes p<0.001; mediation not established."
"PMID:40828642","weight","intervention -2.6 +/- 1.5 vs control +0.57 +/- 0.84","energy_restriction_plus_exercise_vs_usual_lifestyle","<0.001 ANCOVA","n=30; intervention n=18, control n=12",,"Combined lifestyle intervention; not microbiome-targeted."
"PMID:40828642","body_fat","intervention -1.5 +/- 1.3 vs control +0.2 +/- 1.0","energy_restriction_plus_exercise_vs_usual_lifestyle","0.001 ANCOVA","n=30; DEXA n=28",,"Fat-free mass also decreased modestly."
"PMID:40828642","glucose","insulin -23.5 +/- 38.1 vs +4.2 +/- 24.1 pmol/L; HOMA2%S +48.7 vs +11.0","energy_restriction_plus_exercise_vs_usual_lifestyle","insulin p=0.034; HOMA2%S p=0.016; glucose p=0.195","n=30",,"Insulin sensitivity improved without significant fasting-glucose difference."
"PMID:40828642","lipid","total cholesterol -0.70 vs -0.09; LDL-C -0.53 vs -0.06","energy_restriction_plus_exercise_vs_usual_lifestyle","total cholesterol p<0.001; LDL p=0.004; TG p=0.101","n=30",,"Short intensive lifestyle intervention."
"PMID:40828642","microbiome","no alpha/beta diversity or differential taxon/pathway change","energy_restriction_plus_exercise_vs_usual_lifestyle","alpha p=0.934; species beta p=0.101; pathway beta p=0.639; all taxa q>0.1","n=30",,"Metabolic improvements occurred without detectable gut microbiome change."
"NCT:NCT03261466","BMI","BMI decreased over time in both arms; probiotic-specific interaction not established","B_breve_BR03_B632_vs_placebo_during_diet_training","time effect p<0.01; treatment interaction not reported","n=101 first period",,"Carry-over invalidated full crossover; first period analyzed."
"NCT:NCT03261466","waist","adjusted probiotic cohort mean -3.41 cm vs placebo","B_breve_BR03_B632_vs_placebo_during_diet_training","<0.05","n=101 first period",,"Dietary training in both arms; baseline metabolic differences remained."
"NCT:NCT03261466","glucose","QUICKI interaction +0.013; ISI interaction +0.654","B_breve_BR03_B632_by_time","QUICKI p=0.05; ISI p=0.097","n=101; OGTT subsets smaller",,"Borderline insulin-sensitivity interaction; crossover carry-over limits interpretation."
"NCT:NCT03261466","microbiome","E. coli concentration adjusted difference -0.4 log CFU/g","B_breve_BR03_B632_vs_placebo_during_diet_training","<0.02","n=101; stool subsets",,"Targeted qPCR rather than global community profiling."
"NCT:NCT06795607","weight","probiotic -0.8 vs placebo -0.6","SF68_formulation_vs_placebo","0.965 between-group","n=40; 20 per arm",,"Single-blind small study; formulation also contained phytosterols and 6S-5MeTHF."
"NCT:NCT06795607","BMI","probiotic -0.3 vs placebo -0.2","SF68_formulation_vs_placebo","0.988 between-group","n=40; 20 per arm",,"No probiotic-specific BMI benefit."
"NCT:NCT06795607","waist","probiotic -1.8 vs placebo -1.2","SF68_formulation_vs_placebo","0.403 between-group","n=40; 20 per arm",,"Both groups improved within arm."
"NCT:NCT06795607","body_fat","fat mass -1.8 vs -1.3 kg; fat percentage -1.7 vs -1.1","SF68_formulation_vs_placebo","kg p=0.447; percentage p=0.430","n=40; 20 per arm",,"Within-group reductions did not translate to between-group efficacy."
"NCT:NCT06795607","glucose","glucose +3.6 vs +5.1 mg/dL; HOMA +0.1 vs +0.3","SF68_formulation_vs_placebo","glucose p=0.221; HOMA p=0.261","n=40",,"No glycemic treatment effect."
"NCT:NCT06795607","lipid","HDL/LDL ratio +0.1 vs 0; total cholesterol -11 vs +6.2 mg/dL","SF68_formulation_vs_placebo","HDL/LDL ratio p=0.048; total cholesterol p=0.106; LDL p=0.227; TG p=0.739","n=40",,"Only HDL/LDL ratio reached between-group significance."
"NCT:NCT06795607","microbiome","Evenness increased within probiotic arm; Lachnospirales decreased","SF68_formulation_within_group","Evenness p=0.031; PERMANOVA p=0.9874","n=40",,"No significant beta-diversity separation; within-arm exploratory result."
