evidence_id,outcome_domain,row_index_1based,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,review_status,reviewer_note
PMID:40385498,weight,25,"intervention -0.80 (-1.49, -0.09) vs placebo -0.95 (-1.98, 0.70)","kg change, median (IQR)",decrease within intervention only,synbiotic_vs_placebo_change,12 weeks,0.588 between-group; 0.007 within intervention,n=20 intervention; n=20 placebo ITT,"PDF Table 4, 40200_2025_Article_1632.pdf",extracted,Between-group comparison not significant; low-calorie diet in both groups.
PMID:40385498,BMI,26,"intervention -0.31 (-0.59, -0.04) vs placebo -0.35 (-0.79, 0.22)","kg/m2 change, median (IQR)",decrease within intervention only,synbiotic_vs_placebo_change,12 weeks,0.745 between-group; 0.007 within intervention,n=20 intervention; n=20 placebo ITT,"PDF Table 4, 40200_2025_Article_1632.pdf",extracted,Between-group comparison not significant; do not use as positive efficacy label.
PMID:40385498,glucose,27,"FBS intervention -1.80 (-13.84, 5.75) vs placebo +2.50 (-13.00, 11.00); insulin increased in intervention",mg/dL FBS change and insulin qualitative,no significant confirmed glucose improvement,synbiotic_vs_placebo_change,12 weeks,FBS 0.588; insulin change 0.040 unfavorable increase,n=20 intervention; n=20 placebo ITT,"PDF Table 3, 40200_2025_Article_1632.pdf",extracted,No FBS/HOMA-IR benefit; insulin increased in intervention group.
PMID:40385498,lipid,28,"HDL intervention -3 (-15, 9) vs placebo +2 (-2.75, 7.00); TG intervention +13.50 vs placebo -8.00","mg/dL change, median (IQR)",no beneficial lipid improvement,synbiotic_vs_placebo_change,12 weeks,HDL change 0.011 unfavorable; TG 0.507,n=20 intervention; n=20 placebo ITT,"PDF Table 5, 40200_2025_Article_1632.pdf",extracted,HDL between-group change significant but unfavorable; TG not significant.
PMID:38542727,weight,39,"probiotics 73.82 vs placebo 74.64 at week 16; placebo +0.90, probiotics +0.27 from baseline",kg endpoint and approximate change,no significant confirmed weight decrease,probiotic_vs_placebo_endpoint_ANCOVA,16 weeks,0.056,n=47 probiotic; n=47 placebo PPS,"PDF Table 3, D:/Download/1/nutrients-15-01863.pdf",extracted,Weight gain was numerically suppressed but ANCOVA was not significant.
PMID:38542727,BMI,40,"probiotics 26.28 vs placebo 26.35 at week 16; placebo +0.33, probiotics +0.08 from baseline",kg/m2 endpoint and approximate change,suppressed increase,probiotic_vs_placebo_endpoint_ANCOVA,16 weeks,0.046,n=47 probiotic; n=47 placebo PPS,"PDF Table 3, D:/Download/1/nutrients-15-01863.pdf",extracted,Increase in BMI observed in placebo was significantly suppressed in probiotics group.
PMID:38542727,body_fat,41,total fat area probiotics 312.42 vs placebo 320.95; visceral fat area probiotics 111.50 vs placebo 115.69 at week 16,cm2 abdominal fat area endpoint,decrease,probiotic_vs_placebo_endpoint_ANCOVA,16 weeks,0.049 total fat area; 0.031 visceral fat area,CT n=45 probiotic; n=44 placebo,"PDF Table 3, D:/Download/1/nutrients-15-01863.pdf",extracted,Abdominal total and visceral fat area significantly reduced vs placebo; body fat mass/percentage by BIA not significant between groups.
PMID:38542727,lipid,42,probiotics 108.98 vs placebo 127.57 at week 16; probiotics -21.89 from baseline,mg/dL triglyceride endpoint and approximate change,decrease,probiotic_vs_placebo_endpoint_ANCOVA,16 weeks,0.021,n=47 probiotic; n=47 placebo PPS,"PDF Table 3, D:/Download/1/nutrients-15-01863.pdf",extracted,Serum triglyceride significantly decreased in probiotics group and differed vs placebo.
PMID:27810310,weight,75,B420 trend to lower body weight vs placebo; LU+B420 body fat loss counterbalanced by lean mass gain,qualitative PP result,no significant confirmed weight decrease,B420_or_LU+B420_vs_placebo_change_PP,6 months,B420 body weight P=0.15; factorial B420 P=0.03,PP placebo n=35-36; B420 n=24-25; LU+B420 n=37,"PDF Results/Figure 2, main.pdf",extracted,Weight not primary positive; body fat and waist are the meaningful outcomes.
PMID:27810310,waist,76,LU+B420 -2.7% (-2.6 cm) vs placebo; factorial B420 -2.4 cm vs placebo,waist circumference change,decrease,LU+B420_vs_placebo_change_PP,6 months,0.047; factorial B420 P=0.004,PP placebo n=35-36; B420 n=24-25; LU+B420 n=37,"PDF Results/Figure 2, main.pdf",extracted,Per-protocol population; no significant body fat mass difference in ITT population.
PMID:27810310,body_fat,77,LU+B420 -4.5% (-1.4 kg) vs placebo; B420 alone -3.0% vs placebo,relative body fat mass change; kg difference,decrease,LU+B420_vs_placebo_change_PP,6 months,0.02 for LU+B420; B420 alone P=0.28; factorial B420 P=0.002,PP placebo n=35; LU+B420 n=37; B420 n=24,"PDF abstract/Figure 2, main.pdf",extracted,"Primary outcome positive only in PP, not ITT; strong signal for B420 with fiber."
PMID:40066582,weight,113,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87,kg body weight change,no significant confirmed weight decrease,probiotic_vs_placebo_change,8 weeks,0.266 between-group; 0.002 within both groups,n=12 probiotic; n=12 placebo completed,"PDF Table III, MA-05563-02.pdf",extracted,Both groups followed low-calorie medical nutrition therapy; between-group difference not significant.
PMID:40066582,BMI,114,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14,kg/m2 BMI change,no significant confirmed BMI decrease,probiotic_vs_placebo_change,8 weeks,0.630 between-group; 0.002 probiotic; 0.004 placebo within-group,n=12 probiotic; n=12 placebo completed,"PDF Table III, MA-05563-02.pdf",extracted,Both groups improved with diet; probiotic had no added BMI effect.
PMID:40066582,body_fat,116,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20; fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34,percentage-point and kg fat mass change,no significant confirmed body fat decrease,probiotic_vs_placebo_change,8 weeks,FM% 0.443; FM kg 0.347 between-group,n=12 probiotic; n=12 placebo completed,"PDF Table III, MA-05563-02.pdf",extracted,"Within-group decreases occurred, but between-group differences were not significant."
PMID:40066582,lipid,117,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09,mg/dL change,no beneficial lipid improvement,probiotic_vs_placebo_change,8 weeks,TC 0.193; LDL 0.908; TG 0.932 between-group,n=12 probiotic; n=12 placebo completed,"PDF Table II, MA-05563-02.pdf",extracted,Lipid reductions were not significantly different from placebo; likely diet-driven.
