evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,source_final_value,source_note,effect_parse_method,p_value_parse_method,structure_warning
PMID:38542727,weight,adiposity,PP,probiotic_vs_placebo_endpoint_ANCOVA,73.82,74.64,-0.82,kg endpoint and approximate change,0.056,,no significant confirmed weight decrease,,no,"probiotics 73.82 vs placebo 74.64 at week 16; placebo +0.90, probiotics +0.27 from baseline",Weight gain was numerically suppressed but ANCOVA was not significant.,,,
PMID:38542727,BMI,adiposity,PP,probiotic_vs_placebo_endpoint_ANCOVA,26.28,26.35,-0.07,kg/m2 endpoint and approximate change,0.046,,suppressed increase,,yes,"probiotics 26.28 vs placebo 26.35 at week 16; placebo +0.33, probiotics +0.08 from baseline",Increase in BMI observed in placebo was significantly suppressed in probiotics group.,,,
PMID:38542727,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_endpoint_ANCOVA,312.42,320.95,-8.53,cm2 abdominal fat area endpoint,0.049,,decrease,,yes,total fat area probiotics 312.42 vs placebo 320.95; visceral fat area probiotics 111.50 vs placebo 115.69 at week 16,Abdominal total and visceral fat area significantly reduced vs placebo; body fat mass/percentage by BIA not significant between groups.,,,
PMID:38542727,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_endpoint_ANCOVA,108.98,127.57,-18.59,mg/dL triglyceride endpoint and approximate change,0.021,,decrease,,yes,probiotics 108.98 vs placebo 127.57 at week 16; probiotics -21.89 from baseline,Serum triglyceride significantly decreased in probiotics group and differed vs placebo.,,,
PMID:27810310,weight,adiposity,aggregate_trial,B420_or_LU+B420_vs_placebo_change_PP,20.0,20.0,0.0,qualitative PP result,0.15,,no significant confirmed weight decrease,,no,B420 trend to lower body weight vs placebo; LU+B420 body fat loss counterbalanced by lean mass gain,Weight not primary positive; body fat and waist are the meaningful outcomes.,,,
PMID:27810310,waist,adiposity,PP,LU+B420_vs_placebo_change_PP,20.0,-2.7,22.7,waist circumference change,0.047,,decrease,,yes,LU+B420 -2.7% (-2.6 cm) vs placebo; factorial B420 -2.4 cm vs placebo,Per-protocol population; no significant body fat mass difference in ITT population.,,,
PMID:27810310,body_fat,adiposity,PP,LU+B420_vs_placebo_change_PP,20.0,-4.5,24.5,relative body fat mass change; kg difference,0.02,,decrease,,yes,LU+B420 -4.5% (-1.4 kg) vs placebo; B420 alone -3.0% vs placebo,"Primary outcome positive only in PP, not ITT; strong signal for B420 with fiber.",,,
PMID:40066582,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,-2.75,2.6,-5.35,kg body weight change,0.266,,no significant confirmed weight decrease,between_group_not_significant; within_group_only_or_mixed; diet_confounded,no,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87,Both groups followed low-calorie medical nutrition therapy; between-group difference not significant.,,,
PMID:40066582,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.06,1.13,-2.19,kg/m2 BMI change,0.630,,no significant confirmed BMI decrease,within_group_only_or_mixed; diet_confounded,no,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14,Both groups improved with diet; probiotic had no added BMI effect.,,,
PMID:40066582,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.98,1.63,-3.61,percentage-point and kg fat mass change,0.443,,no significant confirmed body fat decrease,between_group_not_significant; within_group_only_or_mixed,no,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20; fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34,"Within-group decreases occurred, but between-group differences were not significant.",,,
PMID:40066582,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_change,-36.5,19.27,-55.77,mg/dL change,0.193,,no beneficial lipid improvement,between_group_not_significant; diet_confounded,no,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09,Lipid reductions were not significantly different from placebo; likely diet-driven.,,,
PMID:20216555,body_fat,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-5.8,,,cm2 visceral fat area change,,<0.01,decrease,abstract_only_within_group_control_none_reported,limited,active -5.8 cm2 visceral fat; control none significant,Abstract lacks between-group p/effect difference; full text needed.,,,
PMID:20216555,body_fat,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-7.4,,,cm2 subcutaneous fat area change,,<0.01,decrease,abstract_only_within_group_control_none_reported,limited,active -7.4 cm2 subcutaneous fat; control none significant,Abstract lacks between-group p/effect difference; full text needed.,,,
PMID:20216555,weight,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-1.1,,,kg change,,<0.001,decrease,abstract_only_within_group_control_none_reported,limited,active -1.1 kg; control none significant,Abstract lacks between-group p/effect difference; full text needed.,,,
PMID:20216555,BMI,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-0.4,,,kg/m2 change,,<0.001,decrease,abstract_only_within_group_control_none_reported,limited,active -0.4 kg/m2; control none significant,Abstract lacks between-group p/effect difference; full text needed.,,,
PMID:20216555,waist,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-1.7,,,cm change,,<0.001,decrease,abstract_only_within_group_control_none_reported,limited,active -1.7 cm waist; control none significant,Abstract lacks between-group p/effect difference; full text needed.,,,
PMID:35845797,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_percent_reduction,,,,percent reduction vs baseline,<0.01,,decrease,abstract_only_effect_size_not_reported,yes,between-group percent reduction p<0.01,Full text needed for exact effect size.,,,
PMID:35845797,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_percent_reduction,,,,percent reduction vs baseline,<0.05,,decrease,abstract_only_effect_size_not_reported,yes,between-group percent reduction p<0.05,Full text needed for exact effect size.,,,
PMID:35845797,waist,adiposity,aggregate_trial,synbiotic_vs_placebo_percent_reduction,,,,percent reduction vs baseline,<0.05,,decrease,abstract_only_effect_size_not_reported,yes,waist and waist/height ratio p<0.05,Full text needed for exact effect size.,,,
PMID:35845797,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_post_intervention,,,,glucose metabolism,not significant,,no significant change,abstract_only_no_between_group_benefit,no,No difference in glucose metabolism after 12 weeks,,,,
PMID:35845797,lipid,metabolic,aggregate_trial,synbiotic_vs_placebo_post_intervention,,,,lipid parameters,not significant,,no significant change,abstract_only_no_between_group_benefit,no,No difference in lipid parameters after 12 weeks,,,,
PMID:34434546,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_change,,,,kg change,not reported,,no significant change,abstract_only_no_between_group_effect_size,limited,No significant intervention BW change; control increased by 3.38 kg,"May indicate prevention of gain, but full text needed.",,,
PMID:34434546,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_change,,,,kg/m2 change,not reported,,no significant change,abstract_only_no_between_group_effect_size,limited,No significant intervention BMI change; control increased by 1.37 kg/m2,"May indicate prevention of gain, but full text needed.",,,
PMID:34434546,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_change,-6.125,,,mg/dL FBG change,not reported,,decrease,abstract_only_within_group_or_unclear_between,limited,FBG decreased by 6.125 mg/dL after synbiotic supplementation,Full text needed for between-group p.,,,
PMID:36606510,weight,adiposity,aggregate_trial,probiotic_prebiotic_vs_diet_alone_change,,,,kg/BMI/waist change,not significant,<0.05,decrease,diet_confounded_abstract_only,limited,"All three groups decreased weight, BMI, waist; between-group differences not significant",,,,
PMID:36606510,body_fat,adiposity,aggregate_trial,probiotic_prebiotic_vs_diet_alone_change,,,,fat mass change,not significant,0.001,decrease,diet_confounded_abstract_only,limited,Only prebiotic/probiotic groups decreased fat mass; between three groups not significant,,,,
PMID:36606510,glucose,metabolic,aggregate_trial,probiotic_vs_diet_alone_change,,,,fasting blood glucose,0.02,,decrease,abstract_only,yes,Probiotic group decreased fasting blood glucose compared with diet alone p=0.02,,,,
EUROPEPMC:42074987,body_fat,adiposity,aggregate_trial,postbiotic_vs_placebo_percent_of_baseline,98.15,100.41,-2.26,percent of baseline body fat mass,0.016,,decrease,abstract_only_pilot_trial,yes,Postbiotic 98.15% vs placebo 100.41% of baseline body fat mass,Pilot trial; confirm in pivotal trial.,,,
EUROPEPMC:42074987,weight,adiposity,aggregate_trial,postbiotic_vs_placebo_change,,,,body weight change,0.047,,decrease,abstract_only_effect_size_not_reported_pilot,yes,Body weight significantly reduced vs placebo p=0.047,Full text needed for effect size.,,,
EUROPEPMC:42074987,waist,adiposity,aggregate_trial,postbiotic_vs_placebo_change,,,,waist circumference change,0.034,,decrease,abstract_only_effect_size_not_reported_pilot,yes,Waist circumference significantly reduced vs placebo p=0.034,Full text needed for effect size.,,,
EUROPEPMC:42074987,body_fat,adiposity,aggregate_trial,postbiotic_vs_placebo_change,,,,visceral fat change,0.053,,decrease,abstract_only_trend_pilot,limited,Visceral fat tended to be reduced p=0.053,Trend only.,,,
EUROPEPMC:41413231,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_adjusted,-1.16,,,kg,<0.001,,decrease,,yes,adjusted difference -1.16 (95% CI -1.36 to -0.97),Older adults with T2DM and high cardiovascular risk.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable
EUROPEPMC:41413231,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_adjusted,-0.44,,,kg/m2,<0.001,,decrease,,yes,adjusted difference -0.44 (95% CI -0.51 to -0.36),Linear mixed ANCOVA.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable
EUROPEPMC:41413231,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_adjusted,-22.83,,,adjusted between-group difference,0.003,,improve,,yes,FPG -22.83 mg/dL (95% CI -31.30 to -14.36); HOMA-IR -1.31 (-1.75 to -0.86),HbA1c and insulin did not show significant between-group effects.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained
EUROPEPMC:41413231,lipid,metabolic,aggregate_trial,synbiotic_vs_placebo_adjusted,-10.83,,,adjusted between-group difference,0.002,,improve,within_group_only_or_mixed,yes,LDL-C -10.83 mg/dL; total cholesterol -11.78 mg/dL,Triglycerides decreased within synbiotic arm but not between groups.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained
PMID:33763720,weight,adiposity,aggregate_trial,Mediterranean_diet_vs_habitual_diet,,,,qualitative,,,no significant weight effect,diet_confounded,no,isocaloric Mediterranean diet effect independent of body-weight change,"Mechanistic dietary study, not a weight-loss intervention.",qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:33763720,BMI,adiposity,aggregate_trial,Mediterranean_diet_vs_habitual_diet,,,,qualitative,,,no significant weight effect,diet_confounded,no,no intervention-related BMI reduction reported,Isocaloric intervention.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:33763720,glucose,metabolic,subgroup,baseline_biomarker_subgroup_within_MD,-23.9,,,subgroup within Mediterranean-diet arm,,0.01,improve in subgroup,within_group_only_or_mixed; subgroup_only,limited,HOMA-IR -23.9% at week 8 in low baseline OEA/PEA subgroup,Post-randomization biomarker subgroup; not an overall randomized treatment effect.,single_group_or_unlabeled_value,explicit_within_group_only,control effect unavailable; between-group P value unavailable
PMID:33763720,microbiome,microbiome,aggregate_trial,Mediterranean_diet_vs_habitual_diet,,,,qualitative microbiome result,0.026,,changed,diet_confounded,yes,Akkermansia muciniphila abundance increased,Effect occurred independently of body-weight change.,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed
PMID:40732984,weight,adiposity,aggregate_trial,WLM3P_vs_low_calorie_diet,-20.6,-12.9,-7.700,kg change,0.01,,decrease,diet_confounded,yes,WLM3P -20.6 vs LCD -12.9; adjusted group difference -6.50 (95% CI -11.93 to -1.07),Multicomponent weight-management program versus low-calorie diet.,labeled_groups_split_on_vs,explicit_between_group,
PMID:40732984,BMI,adiposity,aggregate_trial,WLM3P_vs_low_calorie_diet,-7.1,-4.6,-2.500,kg/m2 change,<0.001,,decrease,diet_confounded,yes,WLM3P -7.1 vs LCD -4.6; adjusted difference -2.61 (95% CI -3.69 to -1.52),"Large change reflects multicomponent program, not a probiotic intervention.",labeled_groups_split_on_vs,explicit_between_group,
PMID:40732984,body_fat,adiposity,aggregate_trial,WLM3P_vs_low_calorie_diet,-6.09,,,between-group difference,<0.001,,decrease,diet_confounded,yes,fat mass adjusted difference -6.09 kg; visceral fat -30.70 cm2,Faecalibacterium association with fat loss was exploratory and adjusted observational analysis.,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable
PMID:40732984,lipid,metabolic,aggregate_trial,WLM3P_vs_low_calorie_diet,,,,qualitative,0.62,,no significant between-group effect,diet_confounded,no,"no significant LDL-C, HDL-C or triglyceride difference",Both groups improved some lipid measures over time.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed; multiple unlabeled P values; first retained
PMID:40732984,microbiome,microbiome,aggregate_trial,WLM3P_vs_low_calorie_diet,0.03,,,qualitative microbiome result,,,changed,within_group_only_or_mixed; diet_confounded,limited,WLM3P Shannon p=0.03 and beta-diversity p<0.01; multiple genera changed,Faecalibacterium interaction with fat-mass outcomes p<0.001; mediation not established.,single_group_or_unlabeled_value,explicit_within_group_only,control effect unavailable; between-group P value unavailable
PMID:36944956,weight,adiposity,aggregate_trial,four_K56_doses_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,no significant difference in mean change across dose groups,Pilot dose-ranging study; weight changes were not significantly different between groups.,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable
PMID:36944956,BMI,adiposity,aggregate_trial,four_K56_doses_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,no significant difference in mean change across dose groups,BMI reductions in some K56 groups were not significant between groups.,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable
PMID:36944956,waist,adiposity,aggregate_trial,K56_2x10^9_CFU_within_group_change,-1.7,,,cm within-group change,not_significant,0.01,decrease within selected dose group,between_group_not_significant; within_group_only_or_mixed,no,2x10^9 CFU/day K56: -1.7 cm,Within-group dose-selected result; between-group anthropometric changes were not significant.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable; between-group numeric P value unavailable
PMID:36944956,body_fat,adiposity,aggregate_trial,K56_2x10^9_CFU_within_group_change,-0.72,,,kg and percentage-point within-group change,not_significant,,decrease within selected dose group,between_group_not_significant; within_group_only_or_mixed,no,2x10^9 CFU/day K56: -0.72 kg fat mass; -0.867 percentage points body fat,Dose-selected within-group signal; not a confirmed overall between-group efficacy result.,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable; between-group numeric P value unavailable
PMID:37252684,body_fat,adiposity,PP,green_lipped_mussel_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,no significant between-group change in body-composition parameters,3 g/day whole green-lipped mussel powder; baseline body-fat imbalance noted.,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable
PMID:38393021,weight,adiposity,aggregate_trial,L_bulgaricus_vs_placebo,,,,qualitative,,,no significant effect,,no,no effect on body weight,1x10^8 CFU/day pilot trial.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:38393021,BMI,adiposity,PP,L_bulgaricus_vs_placebo,,,,qualitative,,,no significant effect,,no,no effect on BMI or fat percentage,Pilot trial did not support weight-loss efficacy.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:38393021,lipid,metabolic,aggregate_trial,L_bulgaricus_vs_placebo,,,,qualitative lipid result,,,decrease,,limited,triglycerides decreased in probiotic-treated group,TG signal accompanied by changes in VLDL/HDL triglyceride fractions.,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed
PMID:28730743,weight,adiposity,PP,ITF_whey_combination_vs_control,,,,qualitative,,,no significant between-group effect,,no,"no significant change in body weight, BMI or waist circumference in any group",Prebiotic altered microbiota and appetite but did not improve weight loss.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
PMID:28730743,body_fat,adiposity,aggregate_trial,whey_vs_control_change,-0.9,+0.1,-1.000,fat mass change,,,decrease,,limited,whey -0.9 +/- 1.6 kg and -0.9 +/- 1.6% vs control +0.1 +/- 1.4 kg and +0.2 +/- 1.1%,"Body-fat effect belonged to whey protein, not inulin-type fructans.",labeled_groups_split_on_vs,explicit_between_group,
PMID:24795503,glucose,metabolic,aggregate_trial,VSL3_vs_placebo_relative_change,,,,qualitative insulin-sensitivity result,<0.01,,improve,,yes,VSL#3 improved insulin sensitivity,Four-arm trial; baseline imbalances and relative-change analysis should be considered.,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed
