effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,variance_provenance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,confidence,source_final_value
PMID:42120725::weight::kg,PMID:42120725,PMID:42120725,weight,adjusted_mean_difference,-3.1,0.6989795918367346,0.4885724698042482,reported_ci,-4.47,-1.73,kg,,,,,,,PMID:42120725::arm:intervention,PMID:42120725::arm:control,pasteurized_akkermansia_muciniphila_MucT_vs_placebo,12 weeks,144.0,adjusted_difference_with_95ci,True,high,net weight-loss between-group difference -3.1 (95% CI -4.47 to -1.73)
PMID:31965834::BMI::kg/m2 change,PMID:31965834,PMID:31965834,BMI,between_group_difference,-0.455,0.09438775510204081,0.008909048313202831,reported_ci,-0.64,-0.27,kg/m2 change,,,,,,,PMID:31965834::arm:intervention,PMID:31965834::arm:control,probiotic_UB0316_vs_placebo_change,,,curated_structured_effect_ci,True,high,difference -0.455 (95% CI -0.64 to -0.27)
PMID:31965834::waist::WHR change,PMID:31965834,PMID:31965834,waist,between_group_difference,-0.035,0.012755102040816325,0.00016269262807163678,reported_ci,-0.06,-0.010000000000000005,WHR change,,,,,,,PMID:31965834::arm:intervention,PMID:31965834::arm:control,probiotic_UB0316_vs_placebo_change,,,curated_structured_effect_ci,True,high,difference -0.035 (95% CI -0.06 to -0.01)
PMID:31965834::weight::kg change,PMID:31965834,PMID:31965834,weight,between_group_difference,-0.83,0.1683673469387755,0.028347563515202,reported_ci,-1.16,-0.5,kg change,,,,,,,PMID:31965834::arm:intervention,PMID:31965834::arm:control,probiotic_UB0316_vs_placebo_change,,,curated_structured_effect_ci,True,high,difference -0.83 (95% CI -1.16 to -0.50)
PMID:34919684::body_fat::visceral adiposity index change,PMID:34919684,PMID:34919684,body_fat,between_group_difference,-0.7,0.3137755102040816,0.09845507080383173,reported_ci,-1.315,-0.08499999999999996,visceral adiposity index change,,,,,,,PMID:34919684::arm:intervention,PMID:34919684::arm:control,probiotic_micronutrient_vs_basic_micronutrient_control_change,,,curated_structured_effect_ci,True,high,visceral adiposity index difference -0.70 (95% CI -1.31 to -0.08)
PMID:34919684::lipid_TG::mg/dL,PMID:34919684,PMID:34919684,lipid_TG,between_group_difference,-22.8,11.607142857142858,134.72576530612247,reported_ci,-45.55,-0.05000000000000071,mg/dL,,,,,,,PMID:34919684::arm:intervention,PMID:34919684::arm:control,probiotic_micronutrient_vs_basic_micronutrient_control_change,,,curated_structured_effect_ci,True,high,triglycerides difference -22.8 mg/dL (95% CI -45.6 to -0.1)
PMID:35332040::glucose::mmol/mol HbA1c endpoint,PMID:35332040,PMID:35332040,glucose,between_group_difference,-0.8000000000000043,0.7660452968496033,0.5868253968253969,arm_sd_and_n,-2.3014487818252265,0.7014487818252182,mmol/mol HbA1c endpoint,,,,,,,PMID:35332040::arm:intervention,PMID:35332040::arm:control,probiotic_HN001_vs_placebo_endpoint,,66.0,curated_structured_effect_arm_sd,True,high,HN001 45.9 +/- 4.4 vs placebo 46.7 +/- 4.3; n=66 probiotic; n=63 placebo
PMID:37111082::BMI::kg/m2 endpoint,PMID:37111082,PMID:37111082,BMI,between_group_difference,-0.6099999999999994,0.6906875015563851,0.47704922480620154,arm_sd_and_n,-1.9637475030505143,0.7437475030505154,kg/m2 endpoint,,,,,,,PMID:37111082::arm:intervention,PMID:37111082::arm:control,synbiotic_vs_placebo_endpoint,,43.0,curated_structured_effect_arm_sd,True,high,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12; n=43 synbiotic; n=42 placebo
PMID:37111082::weight::kg endpoint,PMID:37111082,PMID:37111082,weight,between_group_difference,-1.7199999999999989,2.72589365800887,7.4304962347729795,arm_sd_and_n,-7.062751569697384,3.622751569697386,kg endpoint,,,,,,,PMID:37111082::arm:intervention,PMID:37111082::arm:control,synbiotic_vs_placebo_endpoint,,43.0,curated_structured_effect_arm_sd,True,high,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12; n=43 synbiotic; n=42 placebo
EUROPEPMC:40676704::weight::kg change,EUROPEPMC:40676704,EUROPEPMC:40676704,weight,unadjusted_mean_difference,-0.24,,,missing,,,kg change,-1.22,2.78,,-0.98,2.06,,EUROPEPMC:40676704::arm:intervention,EUROPEPMC:40676704::arm:control,BL21_vs_placebo_change,8 weeks,66.0,two_arm_mean_sd_missing_arm_n,False,high,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06
DOI:10.3803/EnM.2020.35.2.425::body_fat::kg,DOI:10.3803/EnM.2020.35.2.425,DOI:10.3803/EnM.2020.35.2.425,body_fat,between_group_difference,-0.8,0.33817799708037727,0.11436435770929565,pvalue_backcalculated,-1.4628288742775395,-0.1371711257224606,kg,,,,,,,DOI:10.3803/EnM.2020.35.2.425::arm:intervention,DOI:10.3803/EnM.2020.35.2.425::arm:control,probiotic_L_sakei_CJLS03_vs_placebo,,114.0,curated_structured_effect_pbound,False,high,"Body fat mass change CJLS03 -0.2 kg vs placebo +0.6 kg; 0.8 kg between-group difference, P=0.018"
DOI:10.3803/EnM.2020.35.2.425::waist::cm,DOI:10.3803/EnM.2020.35.2.425,DOI:10.3803/EnM.2020.35.2.425,waist,between_group_difference,-0.8,0.32209110651860573,0.10374268089837982,pvalue_backcalculated,-1.4312985687764672,-0.16870143122353287,cm,,,,,,,DOI:10.3803/EnM.2020.35.2.425::arm:intervention,DOI:10.3803/EnM.2020.35.2.425::arm:control,probiotic_L_sakei_CJLS03_vs_placebo,,114.0,curated_structured_effect_pbound,False,high,"Waist circumference 0.8 cm smaller in CJLS03 than placebo at 12 weeks, P=0.013"
PMID:27810310::body_fat::relative body fat mass change; kg difference,PMID:27810310,PMID:27810310,body_fat,between_group_difference,0.0,,,missing,,,relative body fat mass change; kg difference,,,,,,,PMID:27810310::arm:intervention,PMID:27810310::arm:control,LU+B420_vs_placebo_change_PP,,209.0,curated_structured_effect_no_se,False,high,LU+B420 -4.5% (-1.4 kg) vs placebo; B420 alone -3.0% vs placebo
PMID:27810310::waist::waist circumference change,PMID:27810310,PMID:27810310,waist,between_group_difference,0.0,,,missing,,,waist circumference change,,,,,,,PMID:27810310::arm:intervention,PMID:27810310::arm:control,LU+B420_vs_placebo_change_PP,,209.0,curated_structured_effect_no_se,False,high,LU+B420 -2.7% (-2.6 cm) vs placebo; factorial B420 -2.4 cm vs placebo
PMID:27810310::weight::qualitative PP result,PMID:27810310,PMID:27810310,weight,between_group_difference,0.0,,,missing,,,qualitative PP result,,,,,,,PMID:27810310::arm:intervention,PMID:27810310::arm:control,B420_or_LU+B420_vs_placebo_change_PP,,209.0,curated_structured_effect_no_se,False,high,B420 trend to lower body weight vs placebo; LU+B420 body fat loss counterbalanced by lean mass gain
PMID:37111082::waist::% waist circumference change from baseline,PMID:37111082,PMID:37111082,waist,between_group_difference,-3.49,,,missing,,,% waist circumference change from baseline,,,,,,,PMID:37111082::arm:intervention,PMID:37111082::arm:control,baseline_to_post_synbiotic_with_placebo_context,,,curated_structured_effect_no_se,False,high,synbiotic -2.57 vs placebo +0.92
PMID:37447365::BMI::kg/m2 change,PMID:37447365,PMID:37447365,BMI,between_group_difference,-0.37,,,missing,,,kg/m2 change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63
PMID:37447365::body_fat::kg body fat mass change,PMID:37447365,PMID:37447365,body_fat,between_group_difference,-0.74,,,missing,,,kg body fat mass change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64
PMID:37447365::waist::cm waist circumference change,PMID:37447365,PMID:37447365,waist,between_group_difference,-1.17,,,missing,,,cm waist circumference change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55
PMID:37447365::weight::kg change,PMID:37447365,PMID:37447365,weight,between_group_difference,-1.06,,,missing,,,kg change,,,,,,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87
PMID:38542727::BMI::kg/m2 endpoint and approximate change,PMID:38542727,PMID:38542727,BMI,between_group_difference,-0.07,,,missing,,,kg/m2 endpoint and approximate change,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,"probiotics 26.28 vs placebo 26.35 at week 16; placebo +0.33, probiotics +0.08 from baseline"
PMID:38542727::body_fat::cm2 abdominal fat area endpoint,PMID:38542727,PMID:38542727,body_fat,between_group_difference,-8.53,,,missing,,,cm2 abdominal fat area endpoint,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,total fat area probiotics 312.42 vs placebo 320.95; visceral fat area probiotics 111.50 vs placebo 115.69 at week 16
PMID:38542727::lipid_TG::mg/dL,PMID:38542727,PMID:38542727,lipid_TG,between_group_difference,-18.59,,,missing,,,mg/dL,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,probiotics 108.98 vs placebo 127.57 at week 16; probiotics -21.89 from baseline
PMID:38542727::weight::kg endpoint and approximate change,PMID:38542727,PMID:38542727,weight,between_group_difference,-0.82,,,missing,,,kg endpoint and approximate change,,,,,,,PMID:38542727::arm:intervention,PMID:38542727::arm:control,probiotic_vs_placebo_endpoint_ANCOVA,,,curated_structured_effect_no_se,False,high,"probiotics 73.82 vs placebo 74.64 at week 16; placebo +0.90, probiotics +0.27 from baseline"
PMID:38999741::BMI::kg/m2 change,PMID:38999741,PMID:38999741,BMI,between_group_difference,202.11,,,missing,,,kg/m2 change,,,,,,,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BN-202M -0.23 +/- 0.60 vs placebo -0.11 +/- 0.52
PMID:38999741::body_fat::percentage-point body fat change,PMID:38999741,PMID:38999741,body_fat,between_group_difference,201.52,,,missing,,,percentage-point body fat change,,,,,,,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BN-202M -0.10 +/- 1.32 vs placebo +0.48 +/- 1.10
PMID:38999741::weight::kg change,PMID:38999741,PMID:38999741,weight,between_group_difference,202.33,,,missing,,,kg change,,,,,,,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BN-202M -0.58 +/- 1.59 vs placebo -0.33 +/- 1.32
PMID:39051504::BMI::kg/m2 change,PMID:39051504,PMID:39051504,BMI,between_group_difference,-0.16,0.11654614934756245,0.013583004927744332,pvalue_backcalculated,-0.3884304527212224,0.06843045272122239,kg/m2 change,,,,,,,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,,49.0,curated_structured_effect_pbound,False,high,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59
PMID:39051504::body_fat::kg total fat mass change,PMID:39051504,PMID:39051504,body_fat,between_group_difference,-0.29,0.14170027624728768,0.02007896828855764,pvalue_backcalculated,-0.5677325414446839,-0.012267458555316135,kg total fat mass change,,,,,,,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,,49.0,curated_structured_effect_pbound,False,high,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83
PMID:39051504::lipid_TG::mg/dL,PMID:39051504,PMID:39051504,lipid_TG,between_group_difference,-28.0,10.68813369234778,114.23620182549978,pvalue_backcalculated,-48.94874203700165,-7.051257962998353,mg/dL,,,,,,,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,,49.0,curated_structured_effect_pbound,False,high,probiotic -15 +/- 62 vs placebo +13 +/- 60
PMID:39456659::BMI::kg/m2 change,PMID:39456659,PMID:39456659,BMI,between_group_difference,0.93,,,missing,,,kg/m2 change,,,,,,,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55
PMID:39456659::glucose::mmol/L fasting blood glucose,PMID:39456659,PMID:39456659,glucose,between_group_difference,-5.69,,,missing,,,mmol/L fasting blood glucose,,,,,,,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_endpoint,,,curated_structured_effect_no_se,False,high,BBr60 5.26 +/- 0.57 vs placebo 5.69 +/- 0.86 at week 12
PMID:39456659::weight::kg change,PMID:39456659,PMID:39456659,weight,between_group_difference,2.82,,,missing,,,kg change,,,,,,,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17
PMID:40066582::BMI::kg/m2 BMI change,PMID:40066582,PMID:40066582,BMI,between_group_difference,0.21,0.4359316907102629,0.19003643896550831,pvalue_backcalculated,-0.6444261137921152,1.0644261137921152,kg/m2 BMI change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14
PMID:40066582::body_fat::kg fat mass change,PMID:40066582,PMID:40066582,body_fat,between_group_difference,0.65,0.6911774296950433,0.4777262393198465,pvalue_backcalculated,-0.7047077622022847,2.0047077622022846,kg fat mass change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34
PMID:40066582::body_fat::percentage-point and kg fat mass change,PMID:40066582,PMID:40066582,body_fat,between_group_difference,-0.42,0.4466069545721818,0.19945777187223887,pvalue_backcalculated,-1.2953496309614763,0.45534963096147635,percentage-point and kg fat mass change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20; fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34
PMID:40066582::body_fat::percentage-point body fat change,PMID:40066582,PMID:40066582,body_fat,between_group_difference,-0.42,0.5474901352617806,0.2997454482089628,pvalue_backcalculated,-1.49308066511309,0.65308066511309,percentage-point body fat change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20
PMID:40066582::lipid_TC::mg/dL,PMID:40066582,PMID:40066582,lipid_TC,between_group_difference,-10.59,124.10816318447195,15402.836169023518,pvalue_backcalculated,-253.841999841565,232.661999841565,mg/dL,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09
PMID:40066582::lipid_LDL::mg/dL,PMID:40066582,PMID:40066582,lipid_LDL,between_group_difference,0.16,1.8750997270552892,3.51599898640282,pvalue_backcalculated,-3.5151954650283663,3.8351954650283666,mg/dL,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09
PMID:40066582::lipid_TG::mg/dL,PMID:40066582,PMID:40066582,lipid_TG,between_group_difference,-3.58,41.95535639286209,1760.2519300520742,pvalue_backcalculated,-85.8124985300097,78.65249853000971,mg/dL,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09
PMID:40066582::weight::kg body weight change,PMID:40066582,PMID:40066582,weight,between_group_difference,1.36,1.2226682324400364,1.494917606618043,pvalue_backcalculated,-1.0364297355824712,3.756429735582471,kg body weight change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,False,high,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87
"PMID:40385498::BMI::kg/m2 change, median (IQR)",PMID:40385498,PMID:40385498,BMI,between_group_difference,0.04,,,missing,,,"kg/m2 change, median (IQR)",,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"intervention -0.31 (-0.59, -0.04) vs placebo -0.35 (-0.79, 0.22)"
PMID:40385498::glucose::mg/dL FBS change and insulin qualitative,PMID:40385498,PMID:40385498,glucose,between_group_difference,-4.3,,,missing,,,mg/dL FBS change and insulin qualitative,,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"FBS intervention -1.80 (-13.84, 5.75) vs placebo +2.50 (-13.00, 11.00); insulin increased in intervention"
PMID:40385498::lipid_HDL::mg/dL,PMID:40385498,PMID:40385498,lipid_HDL,between_group_difference,-5.0,,,missing,,,mg/dL,,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"HDL intervention -3 (-15, 9) vs placebo +2 (-2.75, 7.00); TG intervention +13.50 vs placebo -8.00"
PMID:40385498::lipid_TG::mg/dL,PMID:40385498,PMID:40385498,lipid_TG,between_group_difference,21.5,,,missing,,,mg/dL,,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"HDL intervention -3 (-15, 9) vs placebo +2 (-2.75, 7.00); TG intervention +13.50 vs placebo -8.00"
"PMID:40385498::weight::kg change, median (IQR)",PMID:40385498,PMID:40385498,weight,between_group_difference,0.15,,,missing,,,"kg change, median (IQR)",,,,,,,PMID:40385498::arm:intervention,PMID:40385498::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,"intervention -0.80 (-1.49, -0.09) vs placebo -0.95 (-1.98, 0.70)"
PMID:40409234::BMI::kg/m2 change,PMID:40409234,PMID:40409234,BMI,between_group_difference,0.3,,,missing,,,kg/m2 change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2
PMID:40409234::body_fat::kg total fat mass change,PMID:40409234,PMID:40409234,body_fat,between_group_difference,1.11,,,missing,,,kg total fat mass change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -0.69 +/- 1.16 vs control -1.80 +/- 2.65
"PMID:40409234::glucose::% HbA1c change, median (IQR)",PMID:40409234,PMID:40409234,glucose,between_group_difference,0.0,,,missing,,,"% HbA1c change, median (IQR)",,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic 0 (-0.3; 0) vs control 0 (-0.1; 0.2)
PMID:40409234::lipid_TG::mg/dL,PMID:40409234,PMID:40409234,lipid_TG,between_group_difference,0.0,,,missing,,,mg/dL,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic 0 (-49; 0) vs control 0 (-10; 6)
PMID:40409234::waist::cm waist circumference change,PMID:40409234,PMID:40409234,waist,between_group_difference,1.2,,,missing,,,cm waist circumference change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -1.3 +/- 1.8 vs control -2.5 +/- 3.1
PMID:40409234::weight::kg change,PMID:40409234,PMID:40409234,weight,between_group_difference,0.9,,,missing,,,kg change,,,,,,,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,,,curated_structured_effect_no_se,False,high,probiotic -0.8 +/- 2.3 vs control -1.7 +/- 3.1
PMID:40416368::lipid::mmol/L triglyceride endpoint,PMID:40416368,PMID:40416368,lipid,between_group_difference,0.07000000000000006,,,missing,,,mmol/L triglyceride endpoint,,,,,,,PMID:40416368::arm:intervention,PMID:40416368::arm:control,probiotic_vs_placebo_endpoint,,,curated_structured_effect_no_se,False,high,TG BC99 1.46 +/- 0.57 vs placebo 1.39 +/- 0.78 at week 8
PMID:40416368::weight::kg endpoint,PMID:40416368,PMID:40416368,weight,between_group_difference,1.8799999999999955,,,missing,,,kg endpoint,,,,,,,PMID:40416368::arm:intervention,PMID:40416368::arm:control,probiotic_vs_placebo_endpoint_and_subgroup_weight_loss,,,curated_structured_effect_no_se,False,high,BC99 80.39 +/- 12.74 vs placebo 78.51 +/- 10.89 at week 8; overweight subgroup BC99 76.07 +/- 10.73 vs placebo 73.54 +/- 7.76
PMID:41512635::BMI::kg/m2 change,PMID:41512635,PMID:41512635,BMI,between_group_difference,0.11,,,missing,,,kg/m2 change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic +0.22 +/- 0.85 vs placebo +0.11 +/- 1.03
PMID:41512635::body_fat::cm2 VAT area change,PMID:41512635,PMID:41512635,body_fat,between_group_difference,-7.81,,,missing,,,cm2 VAT area change,,,,,,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,,,curated_structured_effect_no_se,False,high,synbiotic -4.49 +/- 21.22 vs placebo +3.32 +/- 19.62
