evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note,pdf_source_file,pdf_match_score,pdf_pages,pdf_intervention_terms,pdf_duration_terms,pdf_cfu_terms,pdf_sample_size_terms,pdf_outcome_terms,pdf_text_excerpt,pdf_deep_species_strain_terms,pdf_deep_strain_codes,pdf_deep_dose_terms,pdf_deep_duration_terms,pdf_deep_sample_size_terms,pdf_deep_design_terms,pdf_deep_dosage_form_terms,pdf_deep_p_value_terms,pdf_deep_numeric_value_terms,pdf_deep_result_snippets,pdf_deep_methods_excerpt,pdf_deep_extraction_status,pdf_deep_error,download_deep_species_strain_terms,download_deep_strain_codes,download_deep_dose_terms,download_deep_duration_terms,download_deep_sample_size_terms,download_deep_design_terms,download_deep_dosage_form_terms,download_deep_p_value_terms,download_deep_numeric_value_terms,download_deep_result_snippets,download_deep_methods_excerpt,download_deep_extraction_status,download_deep_error,second_pass_source_file,second_pass_match_score,second_pass_pages_total,second_pass_intervention_snippets,second_pass_results_snippets,second_pass_anthropometric_snippets,second_pass_metabolic_snippets,second_pass_microbiome_snippets,second_pass_safety_snippets,second_pass_value_pvalue_candidates,second_pass_table_like_lines,second_pass_arm_terms,second_pass_dose_terms,second_pass_duration_terms,second_pass_sample_terms,second_pass_extraction_status,second_pass_error,priority_gaps_before_third_pass,third_pass_source_status,third_pass_fill_note,third_pass_result_snippets,third_pass_p_values,third_pass_numeric_values,third_pass_dose_terms,third_pass_duration_terms,third_pass_sample_terms,third_pass_nct_enrollment,third_pass_nct_study_design,third_pass_nct_interventions,third_pass_nct_primary_outcomes,third_pass_nct_secondary_outcomes,third_pass_nct_brief_summary
PMID:38999741,PubMed,38999741,The Effect of the,primary_intervention,,12 weeks,,,,,,,,,,,auto_prefill,pending,,s12602-021-09800-9.pdf,0.839,13,Lactobacillus reuteri; probiotic; probiotic group at both 6 weeks and 12 weeks relative to the baseline; probiotic group to favor weight loss and improve gut health. The findings sug - gest a no; probiotic to modulate BMI; probiotic administration in over - weight adults; probiotic Bifidobacterium lactis in PWS revealed no significant changes in stool frequenc; probiotic strain administered in this study,264 months; 6 weeks; 12 weeks; 2 weeks; 4 weeks,,52 participants; 71 subjects; 3 Participants,Body Mass Index; BMI; microbiota; insulin; body fat; adiposity,"https://doi.org/10.1007/s12602-021-09800-9 The Effects of Limosilactobacillus reuteri LR‑99 Supplementation on Body Mass Index, Social Communication, Fine Motor Function, and Gut Microbiome Composition in Individuals with Prader–Willi Syndrome: a Randomized Double‑Blinded Placebo‑Controlled Trial Xue‑Jun Kong1,2 · Kevin Liu1 · Patrick Zhuang1 · Ruiyi Tian1 · Siyu Liu1 · Cullen Clairmont1 · Xiaojing Lin3 · Hannah Sherman1 · Junli Zhu4 · Yelan Wang1 · Michelle Fong1 · Alice Li1 · Bryan K. Wang5 · Jinghan Wang6 · Zhehao Yu7 · Chen Shen7 · Xianghua Cui7 · Hanyu Cao7 · Ting Du7 · Guobin Wan8 · Xia Cao7 Accepted: 12 May 2021 © The Author(s) 2021 Abstract Prader–Willi syndrome (PWS) is a rare genetic disorder associated with developmental delay, obesity, and neuropsychiatric comorbidities. Limosilactobacillus reuteri (Lactobacillus reuteri , Lact. reuteri ) has demonstrated anti-obesity and ant",Lactobacillus reuteri; Bifidobacterium lactis; Bifidobacterium Animalis; Bifidobacterium is; Bifidobacterium was,,,264 months; 6 weeks; 12 weeks; 2 weeks; 4 weeks; 0 months; 8 months; 0 weeks,52 participants; 71 subjects; 3 Participants; 37 subjects; 34 subjects; 56 subjects; n = 28; N = 37; N = 34,Randomized; Controlled Trial; double-blind; placebo-controlled; Clinical Trial,sachet; diet,P < 0.05; P > 0.05; P < 0.01,"decreased 2 weeks prior to an increase in body fat com- position, indicating that the gu; changes in stool frequency or microbiome composition [ 11]; decreased abdominal adiposity in children older than 4; changes; 80%; changes in medications or psychosocial interventions dur - ing the trial, had a willin; changes from 0 to 6 weeks, and per-subject changes from 6 to 12 weeks; 99%; changes in primary outcomes, we applied Bonferroni-corrected pairwise com - parisons o; 43%; 64%; 57%; 36%; 54%; 14%; 7%; 29%; 39%","https://doi.org/10.1007/s12602-021-09800-9 The Effects of Limosilactobacillus reuteri LR‑99 Supplementation on Body Mass Index, Social Communication, Fine Motor Function, and Gut Microbiome Composition in Individuals with Prader–Willi Syndrome: a Randomized Double‑Blinded Placebo‑Controlled Trial Xue‑Jun Kong1,2 · Kevin Liu1 · Patrick Zhuang1 · Ruiyi Tian1 · || Groupwise differences were assessed for BMI, ASQ-3, and GARS-3 at baseline, 6 weeks, and 12 weeks into treatment. || Gut microbiome data was analyzed with the QIIME2 software package, and predictive functional profiling was conducted with PICRUSt-2. || We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || reuteri LR-99 probiotic to modulate BMI, social behaviors, and gut microbiota in Prader–Willi syndrome patients, although further investigation is warranted. || Trial registration Chinese Clinical Trial Registry: ChiCTR1900022646 Keywords Prader–Willi syndrome · Body mass index (BMI) · Social communication · Fine motor function · Microbiome · Limosilactobacillus reuteri (Lactobacillus reuteri) Introduction Prader–Willi syndrome (PWS) is an uncommon genetic syn- drome that affects approximately one out of every 15,00","https://doi.org/10.1007/s12602-021-09800-9 The Effects of Limosilactobacillus reuteri LR‑99 Supplementation on Body Mass Index, Social Communication, Fine Motor Function, and Gut Microbiome Composition in Individuals with Prader–Willi Syndrome: a Randomized Double‑Blinded Placebo‑Controlled Trial Xue‑Jun Kong1,2 · Kevin Liu1 · Patrick Zhuang1 · Ruiyi Tian1 · Siyu Liu1 · Cullen Clairmont1 · Xiaojing Lin3 · Hannah Sherman1 · Junli Zhu4 · Yelan Wang1 · Michelle Fong1 · Alice Li1 · Bryan K. Wang5 · Jinghan Wang6 · Zhehao Yu7 · Chen Shen7 · Xianghua Cui7 · Hanyu Cao7 · Ting Du7 · Guobin Wan8 · Xia Cao7 Accepted: 12 May 2021 © The Author(s) 2021 Abstract Prader–Willi syndrome (PWS) is a rare genet",ok,,,,,,,,,,,,,,,s12602-021-09800-9.pdf,0.839,13,"We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || Specifically, such significant differences are uniquely observed in the active Table 1 Demographic features and baseline characteristics of study participants Active probiotic (N = 37) Placebo control (N = 34) P-value Age (months, n (mean ± SD)) All Subjects 28 (65 ± 53.8) 28 (64 ± 49.0) 1.00 > 5 years 12 (113 ± 50.2) 11 (113 ± 42.7) 0.81 ≤ 5 years 16 (29 ± 9.8) 17 (32 ± 11.5) 0.52 Sex (n (%)) Male 12 (43%) 18 (64%) 0.18 Female 16 (57%) 10 (36%) Genotype (n (%)) Deletion 16 (57%) 15 (54%) 0.56 Disomy 4 (14%) 2 (7%) || Each sachet of probiotics supple - ment contained 3 × 1010 colony forming units (CFUs). || Intervention The probiotic Limosilactobacillus reuteri LR-99 (Beijing Huayuan Academy of Biotechnology) was used in the study in the format of a sachet. || In an attempt to elucidate the changes in the gut micro - biome functional profile between those receiving active Table 2 P airwise comparisons of change in BMI at 6 weeks and 12 weeks compared to baseline based on linear mixed effects models Intervention Contrast Mean difference Standard error Degrees of freedom t-Ratio P-Value Active probiotic 12–6 w -0.312 0.362 23.153 -0.863 1.000 12–0 w -1.291 0.366 30.012 -3.532 0.004 6–0 w -0.979 0.361 23.562 -2.710 0.037 Placebo control 12–6 w -3.912 1.929 17.072 -2.028 0.1 || Moreover, we found a signifi - cant increase in total ASQ-3 score (P < 0.05) and fine motor sub-scale (P < 0.05) in Lact. || Groupwise comparisons of baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05). || reuteri intervention significantly improved social communication ( P < 0.01) and social interaction ( P < 0.05) compared to controls for those older than 3 years old.","While a significant groupwise dif - ference is observed for social communication at baseline (week 0, P < 0.05), suc h differences are observed with a greater magnitude between groups at week 12 ( P < 0.01), which is likely a result of Lact. || Groupwise comparisons of baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05). || Specifically, such significant differences are uniquely observed in the active Table 1 Demographic features and baseline characteristics of study participants Active probiotic (N = 37) Placebo control (N = 34) P-value Age (months, n (mean ± SD)) All Subjects 28 (65 ± 53.8) 28 (64 ± 49.0) 1.00 > 5 years 12 (113 ± 50.2) 11 (113 ± 42.7) 0.81 ≤ 5 years 16 (29 ± 9.8) 17 (32 ± 11.5) 0.52 Sex (n (%)) Male 12 (43%) 18 (64%) 0.18 Female 16 (57%) 10 (36%) Genotype (n (%)) Deletion 16 (57%) 15 (54%) 0.56 Disomy 4 (14%) 2 (7%) || There were no significant differences found between the two groups in any observed adverse events ( P > 0.05). || We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || reuteri intervention significantly improved social communication ( P < 0.01) and social interaction ( P < 0.05) compared to controls for those older than 3 years old. || reuteri LR-99 significantly reduced the BMI in those receiving the active probiotic compared to those receiving placebo at both 6 weeks ( P < 0.05) and 12 weeks ( P < 0.01) of t he treat - ment. || We applied the Wilcoxon rank-sum test to explore the intergroup differences in the z-scores of weight, height, total scores, and sub-scores of ASQ-3, GARS-3, ABC, and SRS at baseline, per-subject changes from 0 to 6 weeks, and per-subject changes from 6 to 12 weeks.","We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || Specifically, such significant differences are uniquely observed in the active Table 1 Demographic features and baseline characteristics of study participants Active probiotic (N = 37) Placebo control (N = 34) P-value Age (months, n (mean ± SD)) All Subjects 28 (65 ± 53.8) 28 (64 ± 49.0) 1.00 > 5 years 12 (113 ± 50.2) 11 (113 ± 42.7) 0.81 ≤ 5 years 16 (29 ± 9.8) 17 (32 ± 11.5) 0.52 Sex (n (%)) Male 12 (43%) 18 (64%) 0.18 Female 16 (57%) 10 (36%) Genotype (n (%)) Deletion 16 (57%) 15 (54%) 0.56 Disomy 4 (14%) 2 (7%) || Moreover, we found a signifi - cant increase in total ASQ-3 score (P < 0.05) and fine motor sub-scale (P < 0.05) in Lact. || Groupwise comparisons of baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05). || reuteri LR-99 significantly reduced the BMI in those receiving the active probiotic compared to those receiving placebo at both 6 weeks ( P < 0.05) and 12 weeks ( P < 0.01) of t he treat - ment. || While a significant groupwise dif - ference is observed for social communication at baseline (week 0, P < 0.05), suc h differences are observed with a greater magnitude between groups at week 12 ( P < 0.01), which is likely a result of Lact. || reuteri and body mass index (BMI) in Mexican children [ 14]. || Groupwise differences were assessed for BMI, ASQ-3, and GARS-3 at baseline, 6 weeks, and 12 weeks into treatment.","Moreover, we found a signifi - cant increase in total ASQ-3 score (P < 0.05) and fine motor sub-scale (P < 0.05) in Lact. || The insulin signaling pathway and starch and sucrose metabolism were also found to be upregulated with P < 0.05, but Q > 0.1. || We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || Groupwise comparisons of baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05). || While a significant groupwise dif - ference is observed for social communication at baseline (week 0, P < 0.05), suc h differences are observed with a greater magnitude between groups at week 12 ( P < 0.01), which is likely a result of Lact. || Specifically, such significant differences are uniquely observed in the active Table 1 Demographic features and baseline characteristics of study participants Active probiotic (N = 37) Placebo control (N = 34) P-value Age (months, n (mean ± SD)) All Subjects 28 (65 ± 53.8) 28 (64 ± 49.0) 1.00 > 5 years 12 (113 ± 50.2) 11 (113 ± 42.7) 0.81 ≤ 5 years 16 (29 ± 9.8) 17 (32 ± 11.5) 0.52 Sex (n (%)) Male 12 (43%) 18 (64%) 0.18 Female 16 (57%) 10 (36%) Genotype (n (%)) Deletion 16 (57%) 15 (54%) 0.56 Disomy 4 (14%) 2 (7%) || Faecalibacterium was found to decrease gut permeability and inflammation [49]. || Interestingly, when dysbiotic gut microbiota from PWS patients were transplanted into mice, insulin-receptor signal- ing decreased 2 weeks prior to an increase in body fat com- position, indicating that the gut microbiome in PWS may play a role in the development of obesity [ 7].","Interestingly, when dysbiotic gut microbiota from PWS patients were transplanted into mice, insulin-receptor signal- ing decreased 2 weeks prior to an increase in body fat com- position, indicating that the gut microbiome in PWS may play a role in the development of obesity [ 7]. || Moreover, we found a signifi - cant increase in total ASQ-3 score (P < 0.05) and fine motor sub-scale (P < 0.05) in Lact. || We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || Groupwise comparisons of baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05). || While a significant groupwise dif - ference is observed for social communication at baseline (week 0, P < 0.05), suc h differences are observed with a greater magnitude between groups at week 12 ( P < 0.01), which is likely a result of Lact. || Specifically, such significant differences are uniquely observed in the active Table 1 Demographic features and baseline characteristics of study participants Active probiotic (N = 37) Placebo control (N = 34) P-value Age (months, n (mean ± SD)) All Subjects 28 (65 ± 53.8) 28 (64 ± 49.0) 1.00 > 5 years 12 (113 ± 50.2) 11 (113 ± 42.7) 0.81 ≤ 5 years 16 (29 ± 9.8) 17 (32 ± 11.5) 0.52 Sex (n (%)) Male 12 (43%) 18 (64%) 0.18 Female 16 (57%) 10 (36%) Genotype (n (%)) Deletion 16 (57%) 15 (54%) 0.56 Disomy 4 (14%) 2 (7%) || Bifidobacterium is widely regarded as benefi- cial to gut health and weight reduction [ 43, 44]. || An investigation of the probiotic Bifidobacterium lactis in PWS revealed no significant changes in stool frequency or microbiome composition [ 11].","There were no significant differences found between the two groups in any observed adverse events ( P > 0.05). || Moreover, we found a signifi - cant increase in total ASQ-3 score (P < 0.05) and fine motor sub-scale (P < 0.05) in Lact. || We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || Groupwise comparisons of baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05). || While a significant groupwise dif - ference is observed for social communication at baseline (week 0, P < 0.05), suc h differences are observed with a greater magnitude between groups at week 12 ( P < 0.01), which is likely a result of Lact.","week, randomized, double-blind, placebo-controlled trial in 71 || baseline, 6 || reduction in BMI for the probiotic group at both 6 || baseline (P < 0.05 || increase in body fat com- position, indicating that the gut microbiome in PWS may play a role in the development of obesity [ 7 || Baseline demographic features were compared between groups using Pearson’s χ2 || baseline, per-subject changes from 0 || baseline age, sex, genotype, and other characteristics did not indicate any significant differences (P > 0.05 || baseline characteristics of study participants Active probiotic (N = 37 || mean ± SD)) All Subjects 28 || mean ± SD) 25.8 || mean ± SD) 109.6 || mean ± SD) 19.3 || baseline and week 6 || baseline and week 12 || change in BMI at 6 || Mean difference Standard error Degrees of freedom t-Ratio P-Value Active probiotic 12 || Mean α-diversity measured via Shannon, Simpson, ACE, and Chao1","https://doi.org/10.1007/s12602-021-09800-9 The Effects of Limosilactobacillus reuteri LR‑99 Supplementation on Body Mass Index, Social Communication, Fine Motor Function, and Gut Microbiome Composition in Individuals with Prader–Willi Syndrome: a Randomized Double‑Blinded Placebo‑Controlled Trial Xue‑Jun Kong1,2 · Kevin Liu1 · Patrick Zhuang1 · Ruiyi Tian1 · Siyu Liu1 · Cullen Clairmont1 · Xiaojing Lin3 · Hannah Sher",Placebo || probiotic || diet || intervention || control,0.027 G,264 months || 6 weeks || 12 weeks || 2 weeks || 4 weeks || 0 months || 8 months || 0 weeks,52 participants || 71 subjects || 3 Participants || 37 subjects || 34 subjects || 56 subjects || n = 28 || N = 37 || N = 34,ok,,result_snippet;value_or_p;dose;duration;sample,pdf_text,Full machine-readable text was re-mined for missing fields.,"https://doi.org/10.1007/s12602-021-09800-9 The Effects of Limosilactobacillus reuteri LR‑99 Supplementation on Body Mass Index, Social Communication, Fine Motor Function, and Gut Microbiome Composition in Individuals with Prader–Willi Syndrome: a Randomized Double‑Blinded Placebo‑Controlled Trial Xue‑Jun Kong1,2 · Kevin Liu1 · Patrick Zhuang1 · Ruiyi Tian1 · Siyu Liu1 · Cullen Clairmont1 · Xiaojing Lin3 · Hannah Sherman1 · Junli Zhu4 · Yelan Wang1 · Michelle Fong1 · Alice Li1 · Bryan K. || Groupwise differences were assessed for BMI, ASQ-3, and GARS-3 at baseline, 6 weeks, and 12 weeks into treatment. || Gut microbiome data was analyzed with the QIIME2 software package, and predictive functional profiling was conducted with PICRUSt-2. || We found a significant reduction in BMI for the probiotic group at both 6 weeks and 12 weeks relative to the baseline (P < 0.05). || reuteri LR-99 probiotic to modulate BMI, social behaviors, and gut microbiota in Prader–Willi syndrome patients, although further investigation is warranted. || Trial registration Chinese Clinical Trial Registry: ChiCTR1900022646 Keywords Prader–Willi syndrome · Body mass index (BMI) · Social communication · Fine motor function · Microbiome · Limosilactobacillus reuteri (Lactobacillus reuteri) Introduction Prader–Willi syndrome (PWS) is an uncommon genetic syn- drome that affects approximately one out of every 15,000 people [1]. || The gut microbiota has been implicated in the pathogen- esis of obesity and the neuropsychiatric comorbidities in PWS subjects [ 4]. || Interestingly, when dysbiotic gut microbiota from PWS patients were transplanted into mice, insulin-receptor signal- ing decreased 2 weeks prior to an increase in body fat com- position, indicating that the gut microbiome in PWS may play a role in the development of obesity [ 7].",P < 0.05 || P > 0.05 || P < 0.01,10.1007 || 12602 || -021 || -09800 || -9 || 99 || 1 || 2 || 3 || 4 || 5 || 6 || 7 || 8 || 12 || 2021 || 71 || 264 || 64.4 || 51.0,0.027 G,264 months || 6 weeks || 12 weeks || 2 weeks || 4 weeks || 0 months || 8 months || 0 weeks,52 participants || 71 subjects || 3 Participants || 37 subjects || 34 subjects || 56 subjects || n = 28 || N = 37 || N = 34,,,,,,
PMID:38542727,PubMed,38542727,Effects of,primary_intervention,,16 weeks,5 x 10^9 CFU,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID:37836532,PubMed,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,primary_intervention,,8-week,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID:36606510,PubMed,36606510,"A clinical trial about effects of prebiotic and probiotic supplementation on weight loss, psychological profile and metabolic parameters in obese subjects.",primary_intervention,,1 month,,30 g,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID:37580231,PubMed,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",primary_intervention,,20 weeks,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID:37424169,PubMed,37424169,Effect of synbiotics on weight loss and metabolic health in adults with overweight and obesity: A randomized controlled trial.,primary_intervention,,12-week,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID:36352899,PubMed,36352899,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,primary_intervention,,2 months; 2-month,,400 mg,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID:34434546,PubMed,34434546,Effects of synbiotic supplement on body weight and fasting blood glucose levels in obesity: A randomized placebo-controlled trial.,primary_intervention,,8 weeks; 4 weeks,,6.125 mg,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,primary_intervention,Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7,,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,primary_intervention,Synbiotic (Rillus); Placebo,,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,primary_intervention,Probiotics; Placebo,,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,primary_intervention,Lactobacillus casei strain Shirota; Lactobacillus casei strain Shirota plus inulin; Lactobacillus casei strain Shirota plus fructans from A. salmiana,,,,,,,,,,,,auto_prefill,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
