evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,source_final_value,source_note
PMID:41512635,body_fat,adiposity,aggregate_trial,synbiotic_vs_placebo_change,-4.49,21.22,-25.710,cm2 VAT area change,0.048,,decrease,,yes,synbiotic -4.49 +/- 21.22 vs placebo +3.32 +/- 19.62,Primary endpoint VAT area; significant between-group change.
PMID:40416368,weight,adiposity,subgroup,probiotic_vs_placebo_endpoint_and_subgroup_weight_loss,9,80.39,-71.390,kg endpoint,<0.05,,decrease,between_group_not_significant; subgroup_only,no,BC99 80.39 +/- 12.74 vs placebo 78.51 +/- 10.89 at week 8; overweight subgroup BC99 76.07 +/- 10.73 vs placebo 73.54 +/- 7.76,Overall endpoint between-group p=0.52; overweight subgroup weight loss greater with BC99 per Supplementary Fig S1 p<0.05.
PMID:40416368,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_endpoint,9,1.46,7.540,mmol/L triglyceride endpoint,0.29,,no significant between-group difference,,no,TG BC99 1.46 +/- 0.57 vs placebo 1.39 +/- 0.78 at week 8,No significant lipid-profile difference between groups.
PMID:40416368,microbiome,microbiome,aggregate_trial,probiotic_vs_placebo_microbiome,0.04,0.03,0.010,PERMANOVA/ANOSIM statistic and p-value,0.03,,changed at week 4,,yes,"beta diversity R=0.04, P=0.03 at week 4; R=0.03, P=0.09 at week 8",BC99 significantly altered beta diversity at week 4 but not week 8; Parabacteroides enriched in BC99 group.
PMID:40385498,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_change,-0.80,-1.49,0.690,"kg change, median (IQR)",0.588,,decrease within intervention only,between_group_not_significant; within_group_only_or_mixed; diet_confounded,no,"intervention -0.80 (-1.49, -0.09) vs placebo -0.95 (-1.98, 0.70)",Between-group comparison not significant; low-calorie diet in both groups.
PMID:40385498,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_change,-0.31,-0.59,0.280,"kg/m2 change, median (IQR)",0.745,,decrease within intervention only,between_group_not_significant; within_group_only_or_mixed,no,"intervention -0.31 (-0.59, -0.04) vs placebo -0.35 (-0.79, 0.22)",Between-group comparison not significant; do not use as positive efficacy label.
PMID:40385498,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_change,-1.80,-13.84,12.040,mg/dL FBS change and insulin qualitative,0.588,,no significant confirmed glucose improvement,unfavorable,no,"FBS intervention -1.80 (-13.84, 5.75) vs placebo +2.50 (-13.00, 11.00); insulin increased in intervention",No FBS/HOMA-IR benefit; insulin increased in intervention group.
PMID:40385498,lipid,metabolic,aggregate_trial,synbiotic_vs_placebo_change,-3,-15,12.000,"mg/dL change, median (IQR)",0.011,,no beneficial lipid improvement,between_group_not_significant; unfavorable,no,"HDL intervention -3 (-15, 9) vs placebo +2 (-2.75, 7.00); TG intervention +13.50 vs placebo -8.00",HDL between-group change significant but unfavorable; TG not significant.
PMID:39456659,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,0,-4.67,4.670,kg change,0.047,,decrease,,yes,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17,Between-group difference in body-weight change significant.
PMID:39456659,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,0,-1.49,1.490,kg/m2 change,0.135,,decrease,between_group_not_significant,no,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55,BMI declined in both groups; between-group change not significant.
PMID:39456659,glucose,metabolic,PP,probiotic_vs_placebo_endpoint,0,5.26,-5.260,mmol/L fasting blood glucose,0.0381,,decrease,,yes,BBr60 5.26 +/- 0.57 vs placebo 5.69 +/- 0.86 at week 12,FBG endpoint was lower in BBr60 than placebo; table labels unit as mg/dL but values appear mmol/L.
PMID:39051504,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.23,0.43,-0.660,kg/m2 change,0.1698,,decrease,between_group_not_significant; within_group_only_or_mixed,no,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59,"BMI decreased within probiotic group, but between-group change was not significant."
PMID:39051504,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.45,0.83,-1.280,kg total fat mass change,0.0407,,decrease,,yes,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83,Primary body fat endpoint; group difference of change adjusted by GLM.
PMID:39051504,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_change,-15,62,-77.000,mg/dL triglyceride change,0.0088,,decrease,,yes,probiotic -15 +/- 62 vs placebo +13 +/- 60,Serum triglyceride change significantly differed between groups.
PMID:38999741,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,202,-0.58,202.580,kg change,0.352,,decrease,between_group_not_significant; within_group_only_or_mixed,no,BN-202M -0.58 +/- 1.59 vs placebo -0.33 +/- 1.32,"Within BN-202M significant, but between-group change not significant."
PMID:38999741,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,202,-0.23,202.230,kg/m2 change,0.263,,decrease,between_group_not_significant; within_group_only_or_mixed,no,BN-202M -0.23 +/- 0.60 vs placebo -0.11 +/- 0.52,"Within BN-202M significant, but between-group change not significant."
PMID:38999741,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,202,-0.10,202.100,percentage-point body fat change,0.009,,decrease,,yes,BN-202M -0.10 +/- 1.32 vs placebo +0.48 +/- 1.10,Primary endpoint body fat percentage; significant between-group change. Body fat mass also significant p=0.023.
PMID:38999741,microbiome,microbiome,aggregate_trial,probiotic_vs_placebo_microbiome,,,,qualitative microbiome result,,,no significant between-group microbiome change,between_group_not_significant,no,no significant alpha diversity or taxonomic composition difference between BN-202M and placebo,"Metabolome responder analysis was reported, but main microbiome between-group composition was not significant."
PMID:38542727,weight,adiposity,PP,probiotic_vs_placebo_endpoint_ANCOVA,73.82,74.64,-0.820,kg endpoint and approximate change,0.056,,no significant confirmed weight decrease,,no,"probiotics 73.82 vs placebo 74.64 at week 16; placebo +0.90, probiotics +0.27 from baseline",Weight gain was numerically suppressed but ANCOVA was not significant.
PMID:38542727,BMI,adiposity,PP,probiotic_vs_placebo_endpoint_ANCOVA,26.28,26.35,-0.070,kg/m2 endpoint and approximate change,0.046,,suppressed increase,,yes,"probiotics 26.28 vs placebo 26.35 at week 16; placebo +0.33, probiotics +0.08 from baseline",Increase in BMI observed in placebo was significantly suppressed in probiotics group.
PMID:38542727,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_endpoint_ANCOVA,312.42,320.95,-8.530,cm2 abdominal fat area endpoint,0.049,,decrease,,yes,total fat area probiotics 312.42 vs placebo 320.95; visceral fat area probiotics 111.50 vs placebo 115.69 at week 16,Abdominal total and visceral fat area significantly reduced vs placebo; body fat mass/percentage by BIA not significant between groups.
PMID:38542727,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_endpoint_ANCOVA,108.98,127.57,-18.590,mg/dL triglyceride endpoint and approximate change,0.021,,decrease,,yes,probiotics 108.98 vs placebo 127.57 at week 16; probiotics -21.89 from baseline,Serum triglyceride significantly decreased in probiotics group and differed vs placebo.
PMID:27810310,weight,adiposity,aggregate_trial,B420_or_LU+B420_vs_placebo_change_PP,20,20,0.000,qualitative PP result,0.15,,no significant confirmed weight decrease,,no,B420 trend to lower body weight vs placebo; LU+B420 body fat loss counterbalanced by lean mass gain,Weight not primary positive; body fat and waist are the meaningful outcomes.
PMID:27810310,waist,adiposity,PP,LU+B420_vs_placebo_change_PP,20,-2.7,22.700,waist circumference change,0.047,,decrease,,yes,LU+B420 -2.7% (-2.6 cm) vs placebo; factorial B420 -2.4 cm vs placebo,Per-protocol population; no significant body fat mass difference in ITT population.
PMID:27810310,body_fat,adiposity,PP,LU+B420_vs_placebo_change_PP,20,-4.5,24.500,relative body fat mass change; kg difference,0.02,,decrease,,yes,LU+B420 -4.5% (-1.4 kg) vs placebo; B420 alone -3.0% vs placebo,"Primary outcome positive only in PP, not ITT; strong signal for B420 with fiber."
PMID:40066582,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,-2.75,2.60,-5.350,kg body weight change,0.266,,no significant confirmed weight decrease,between_group_not_significant; within_group_only_or_mixed; diet_confounded,no,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87,Both groups followed low-calorie medical nutrition therapy; between-group difference not significant.
PMID:40066582,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.06,1.13,-2.190,kg/m2 BMI change,0.630,,no significant confirmed BMI decrease,within_group_only_or_mixed; diet_confounded,no,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14,Both groups improved with diet; probiotic had no added BMI effect.
PMID:40066582,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.98,1.63,-3.610,percentage-point and kg fat mass change,0.443,,no significant confirmed body fat decrease,between_group_not_significant; within_group_only_or_mixed,no,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20; fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34,"Within-group decreases occurred, but between-group differences were not significant."
PMID:40066582,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_change,-36.50,19.27,-55.770,mg/dL change,0.193,,no beneficial lipid improvement,between_group_not_significant; diet_confounded,no,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09,Lipid reductions were not significantly different from placebo; likely diet-driven.
