effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,source_final_value
PMID:41512635::weight,PMID:41512635,PMID:41512635,weight,unadjusted_mean_difference,-0.030000000000000027,,,,,kg change,0.51,2.33,,0.54,2.62,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,12 weeks,112.0,two_arm_mean_sd_missing_arm_n,False,synbiotic +0.51 +/- 2.33 vs placebo +0.54 +/- 2.62
PMID:41512635::BMI,PMID:41512635,PMID:41512635,BMI,unadjusted_mean_difference,0.11,,,,,kg/m2 change,0.22,0.85,,0.11,1.03,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,12 weeks,112.0,two_arm_mean_sd_missing_arm_n,False,synbiotic +0.22 +/- 0.85 vs placebo +0.11 +/- 1.03
PMID:41512635::waist,PMID:41512635,PMID:41512635,waist,unadjusted_mean_difference,-0.20999999999999996,,,,,cm waist circumference change,0.26,3.68,,0.47,3.31,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,12 weeks,112.0,two_arm_mean_sd_missing_arm_n,False,synbiotic +0.26 +/- 3.68 vs placebo +0.47 +/- 3.31
PMID:41512635::body_fat,PMID:41512635,PMID:41512635,body_fat,unadjusted_mean_difference,-7.8100000000000005,,,,,cm2 VAT area change,-4.49,21.22,,3.32,19.62,,PMID:41512635::arm:intervention,PMID:41512635::arm:control,synbiotic_vs_placebo_change,12 weeks,112.0,two_arm_mean_sd_missing_arm_n,False,synbiotic -4.49 +/- 21.22 vs placebo +3.32 +/- 19.62
PMID:40416368::weight,PMID:40416368,PMID:40416368,weight,unadjusted_mean_difference,1.8799999999999955,2.9175524196168476,8.512112121212121,-3.838402742449026,7.598402742449017,kg endpoint,80.39,12.74,33.0,78.51,10.89,33.0,PMID:40416368::arm:intervention,PMID:40416368::arm:control,probiotic_vs_placebo_endpoint_and_subgroup_weight_loss,8 weeks,33.0,two_arm_mean_sd_and_arm_n,True,BC99 80.39 +/- 12.74 vs placebo 78.51 +/- 10.89 at week 8; overweight subgroup BC99 76.07 +/- 10.73 vs placebo 73.54 +/- 7.76
PMID:40416368::lipid,PMID:40416368,PMID:40416368,lipid,unadjusted_mean_difference,0.07000000000000006,0.1681719898848146,0.028281818181818186,-0.25961710017423656,0.3996171001742367,mmol/L triglyceride endpoint,1.46,0.57,33.0,1.39,0.78,33.0,PMID:40416368::arm:intervention,PMID:40416368::arm:control,probiotic_vs_placebo_endpoint,8 weeks,33.0,two_arm_mean_sd_and_arm_n,True,TG BC99 1.46 +/- 0.57 vs placebo 1.39 +/- 0.78 at week 8
PMID:39456659::weight,PMID:39456659,PMID:39456659,weight,unadjusted_mean_difference,-1.85,1.0630474080052434,1.1300697916666664,-3.933572919690277,0.23357291969027694,kg change,-4.67,4.4,33.0,-2.82,4.17,32.0,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_change,12 weeks,33.0,two_arm_mean_sd_and_arm_n,True,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17
PMID:39456659::BMI,PMID:39456659,PMID:39456659,BMI,unadjusted_mean_difference,-0.5599999999999999,0.36325456993100247,0.13195388257575758,-1.2719789570647646,0.15197895706476483,kg/m2 change,-1.49,1.37,33.0,-0.93,1.55,32.0,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_change,12 weeks,33.0,two_arm_mean_sd_and_arm_n,True,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55
PMID:39456659::glucose,PMID:39456659,PMID:39456659,glucose,unadjusted_mean_difference,-0.4300000000000006,0.18154325805563407,0.03295795454545454,-0.7858247857890434,-0.07417521421095785,mmol/L fasting blood glucose,5.26,0.57,33.0,5.69,0.86,32.0,PMID:39456659::arm:intervention,PMID:39456659::arm:control,probiotic_vs_placebo_endpoint,12 weeks,33.0,two_arm_mean_sd_and_arm_n,True,BBr60 5.26 +/- 0.57 vs placebo 5.69 +/- 0.86 at week 12
PMID:39051504::BMI,PMID:39051504,PMID:39051504,BMI,unadjusted_mean_difference,-0.16,0.10689222701447802,0.011425948196114704,-0.3695087649483769,0.049508764948376915,kg/m2 change,-0.23,0.43,46.0,-0.07,0.59,47.0,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,12 weeks,46.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59
PMID:39051504::body_fat,PMID:39051504,PMID:39051504,body_fat,unadjusted_mean_difference,-0.29000000000000004,0.17214393327977717,0.029633533765032374,-0.6274021092283633,0.04740210922836324,kg total fat mass change,-0.45,0.83,46.0,-0.16,0.83,47.0,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,12 weeks,46.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83
PMID:39051504::lipid,PMID:39051504,PMID:39051504,lipid,unadjusted_mean_difference,-28.0,12.655471625828705,160.16096207215543,-52.80472438662426,-3.1952756133757383,mg/dL triglyceride change,-15.0,62.0,46.0,13.0,60.0,47.0,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,12 weeks,46.0,two_arm_mean_sd_and_arm_n,True,probiotic -15 +/- 62 vs placebo +13 +/- 60
PMID:38999741::weight,PMID:38999741,PMID:38999741,weight,unadjusted_mean_difference,-0.24999999999999994,0.260334813521435,0.06777421513124034,-0.7602562345020125,0.2602562345020127,kg change,-0.58,1.59,67.0,-0.33,1.32,58.0,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,12 weeks,67.0,two_arm_mean_sd_and_arm_n,True,BN-202M -0.58 +/- 1.59 vs placebo -0.33 +/- 1.32
PMID:38999741::BMI,PMID:38999741,PMID:38999741,BMI,unadjusted_mean_difference,-0.12000000000000001,0.10017586183245668,0.010035203293875451,-0.31634468919161507,0.07634468919161506,kg/m2 change,-0.23,0.6,67.0,-0.11,0.52,58.0,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,12 weeks,67.0,two_arm_mean_sd_and_arm_n,True,BN-202M -0.23 +/- 0.60 vs placebo -0.11 +/- 0.52
PMID:38999741::body_fat,PMID:38999741,PMID:38999741,body_fat,unadjusted_mean_difference,-0.58,0.21649027487342468,0.04686803911477097,-1.0043209387519123,-0.1556790612480876,percentage-point body fat change,-0.1,1.32,67.0,0.48,1.1,58.0,PMID:38999741::arm:intervention,PMID:38999741::arm:control,probiotic_vs_placebo_change,12 weeks,67.0,two_arm_mean_sd_and_arm_n,True,BN-202M -0.10 +/- 1.32 vs placebo +0.48 +/- 1.10
PMID:40066582::weight,PMID:40066582,PMID:40066582,weight,unadjusted_mean_difference,1.3600000000000003,1.1179184526013812,1.2497416666666668,-0.8311201670987067,3.5511201670987074,kg body weight change,-2.75,2.6,12.0,-4.11,2.87,12.0,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,8 weeks,12.0,two_arm_mean_sd_and_arm_n,True,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87
PMID:40066582::BMI,PMID:40066582,PMID:40066582,BMI,unadjusted_mean_difference,0.20999999999999996,0.46336630578121807,0.21470833333333328,-0.6981979593311874,1.1181979593311873,kg/m2 BMI change,-1.06,1.13,12.0,-1.27,1.14,12.0,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,8 weeks,12.0,two_arm_mean_sd_and_arm_n,True,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14
PMID:40066582::body_fat,PMID:40066582,PMID:40066582,body_fat,unadjusted_mean_difference,-0.41999999999999993,0.7904060138097804,0.6247416666666668,-1.9691957870671695,1.1291957870671696,percentage-point and kg fat mass change,-1.98,1.63,12.0,-1.56,2.2,12.0,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,8 weeks,12.0,two_arm_mean_sd_and_arm_n,True,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20; fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34
PMID:40066582::lipid,PMID:40066582,PMID:40066582,lipid,unadjusted_mean_difference,-10.59,7.862863134168537,61.824616666666664,-26.001211742970334,4.821211742970332,mg/dL change,-36.5,19.27,12.0,-25.91,19.25,12.0,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,8 weeks,12.0,two_arm_mean_sd_and_arm_n,True,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09
EUROPEPMC:41413231::weight,EUROPEPMC:41413231,EUROPEPMC:41413231,weight,adjusted_mean_difference,-1.16,0.09948979591836737,0.00989821949187839,-1.36,-0.97,kg,,,,,,,EUROPEPMC:41413231::arm:intervention,EUROPEPMC:41413231::arm:control,synbiotic_vs_placebo_adjusted,4 months,96.0,adjusted_difference_with_95ci,True,adjusted difference -1.16 (95% CI -1.36 to -0.97)
EUROPEPMC:41413231::BMI,EUROPEPMC:41413231,EUROPEPMC:41413231,BMI,adjusted_mean_difference,-0.44,0.03826530612244899,0.001464233652644732,-0.51,-0.36,kg/m2,,,,,,,EUROPEPMC:41413231::arm:intervention,EUROPEPMC:41413231::arm:control,synbiotic_vs_placebo_adjusted,4 months,96.0,adjusted_difference_with_95ci,True,adjusted difference -0.44 (95% CI -0.51 to -0.36)
EUROPEPMC:40676704::weight,EUROPEPMC:40676704,EUROPEPMC:40676704,weight,unadjusted_mean_difference,-0.24,,,,,kg change,-1.22,2.78,,-0.98,2.06,,EUROPEPMC:40676704::arm:intervention,EUROPEPMC:40676704::arm:control,BL21_vs_placebo_change,8 weeks,66.0,two_arm_mean_sd_missing_arm_n,False,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06
PMID:37545298::weight,PMID:37545298,PMID:37545298,weight,unadjusted_mean_difference,-0.14,0.41171092085702704,0.16950588235294117,-0.946953404879773,0.666953404879773,kg change at day 28,-0.98,1.4,17.0,-0.84,0.96,17.0,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,28 days,34.0,two_arm_mean_sd_and_arm_n,True,ILCD -0.98 +/- 1.40 vs ICR -0.84 +/- 0.96
PMID:37545298::waist,PMID:37545298,PMID:37545298,waist,unadjusted_mean_difference,0.9799999999999999,0.7364461563321996,0.5423529411764705,-0.4634344664111113,2.423434466411111,cm change at day 28,-0.17,2.46,17.0,-1.15,1.78,17.0,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,28 days,34.0,two_arm_mean_sd_and_arm_n,True,ILCD -0.17 +/- 2.46 vs ICR -1.15 +/- 1.78
