species,genus,category,source,obesity_signal,shap_importance,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism,safety_risk_class,safety_flags,recommended_action,needs_genome_confirmation,bsh_potential,butyrate_scfa_potential,propionate_potential,mucin_interaction,lactate_acetate,metabolic_guild,adverse_mechanism_flag,obesity_mechanism,functional_provenance
Limosilactobacillus_reuteri,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_020784875.1,Scaffold,Limosilactobacillus reuteri subsp. simiae,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Limosilactobacillus_fermentum,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_005341425.1,Chromosome,Limosilactobacillus fermentum,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Pediococcus_acidilactici,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_016127815.1,Complete Genome,Pediococcus acidilactici,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Pediococcus_pentosaceus,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000014505.1,Complete Genome,Pediococcus pentosaceus ATCC 25745,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacillus_coagulans,Bacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000832905.1,Complete Genome,Heyndrickxia coagulans DSM 1 = ATCC 7050,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacillus_subtilis,Bacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000009045.1,Complete Genome,Bacillus subtilis subsp. subtilis str. 168,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Saccharomyces_boulardii,Saccharomyces,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000146045.2,Complete Genome,Saccharomyces cerevisiae S288C,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium_adolescentis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0406,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000010425.1,Complete Genome,Bifidobacterium adolescentis ATCC 15703,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactococcus_lactis,Lactococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0169,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_003176835.1,Complete Genome,Lactococcus lactis subsp. lactis,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_rogosae,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0111,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_900112995.1,Contig,[Lactobacillus] rogosae,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus_ruminis,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0078,qps_gras_lower_barrier,screening_only,B_food_grade_screening,GCF_000224985.1,Complete Genome,Ligilactobacillus ruminis ATCC 27782,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Turicibacter_sanguinis,Turicibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.1435,requires_genome_safety_review,screening_only,B_protective_screening,GCF_013046825.1,Complete Genome,Turicibacter sanguinis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacteroides_intestinalis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.109,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000172175.1,Contig,Bacteroides intestinalis DSM 17393,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Eubacterium_eligens,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.1059,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000146185.1,Complete Genome,Lachnospira eligens ATCC 27750,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Roseburia_sp_CAG_303,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0985,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Anaerostipes_hadrus,Anaerostipes,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0868,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_030864025.1,Complete Genome,Anaerostipes hadrus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Phascolarctobacterium_faecium,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0694,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_003945365.1,Complete Genome,Phascolarctobacterium faecium,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Methanobrevibacter_smithii,Methanobrevibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0645,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000016525.1,Complete Genome,Methanobrevibacter smithii ATCC 35061,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,methanogen_h2_sink,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacteroides_plebeius,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0623,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000187895.1,Scaffold,Phocaeicola plebeius DSM 17135,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Gordonibacter_pamelaeae,Gordonibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0579,requires_genome_safety_review,screening_only,B_protective_screening,GCF_003340385.1,Scaffold,Gordonibacter pamelaeae,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Intestinimonas_butyriciproducens,Intestinimonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0544,requires_genome_safety_review,screening_only,B_protective_screening,GCF_004154955.1,Complete Genome,Intestinimonas butyriciproducens,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Parabacteroides_goldsteinii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0492,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_020091425.1,Complete Genome,Parabacteroides goldsteinii,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Alistipes_shahii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.047,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025145845.1,Complete Genome,Alistipes shahii WAL 8301,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Prevotella_stercorea,Prevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0458,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000235885.1,Scaffold,Leyella stercorea DSM 18206,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Blautia_obeum,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0404,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025147765.1,Complete Genome,Blautia obeum ATCC 29174,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacteroides_coprocola,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0402,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_041333015.1,Contig,Phocaeicola coprocola,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Parabacteroides_distasonis,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0395,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018279895.1,Complete Genome,Parabacteroides distasonis,moderate_lbp_precedent,,human-trial precedent; requires genome AMR/virulence confirmation before use,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Alistipes_indistinctus,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.039,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025144995.1,Complete Genome,Alistipes indistinctus YIT 12060,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Ruminococcaceae_bacterium_D5,Ruminococcaceae,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0388,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Adlercreutzia_equolifaciens,Adlercreutzia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0372,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000478885.1,Complete Genome,Adlercreutzia equolifaciens DSM 19450,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Olsenella_scatoligenes,Olsenella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0369,requires_genome_safety_review,screening_only,B_protective_screening,GCF_001494635.1,Contig,Tractidigestivibacter scatoligenes,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacteroides_xylanisolvens,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0368,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018289135.1,Complete Genome,Bacteroides xylanisolvens,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Roseburia_sp_CAG_471,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0338,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Eggerthella_lenta,Eggerthella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0326,requires_genome_safety_review,screening_only,B_protective_screening,GCF_021378605.1,Complete Genome,Eggerthella lenta,elevated_pathogen_or_amr_genus,species_opportunist_concern,strain-level review MANDATORY; exclude unless a documented safe strain,True,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Blautia_wexlerae,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0315,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_025148125.1,Complete Genome,Blautia wexlerae DSM 19850,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Faecalibacterium_prausnitzii,Faecalibacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.031,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000154385.1,Scaffold,Faecalibacterium prausnitzii M21/2,moderate_lbp_precedent,,human-trial precedent; requires genome AMR/virulence confirmation before use,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Coprococcus_catus,Coprococcus,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0274,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_019734885.1,Scaffold,Pseudocoprococcus catus,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Oscillibacter_sp_57_20,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0244,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Hungatella_hathewayi,Hungatella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0235,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025149285.1,Complete Genome,Hungatella hathewayi,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Megamonas_funiformis,Megamonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0227,requires_genome_safety_review,screening_only,B_protective_screening,GCF_010669225.1,Complete Genome,Megamonas funiformis,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium_catenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.022,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025195.1,Complete Genome,Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bacteroides_massiliensis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0217,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000382445.1,Scaffold,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Clostridium_sp_CAG_242,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,requires_genome_safety_lbp,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,genus_contains_pathogens_species_level_care,novel human commensal; genome-level AMR/virulence screening required,True,1,0,0,0,0,uncharacterized,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Rothia_mucilaginosa,Rothia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000175615.1,Contig,Rothia mucilaginosa ATCC 25296,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Firmicutes_bacterium_CAG_110,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium_pseudocatenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0188,qps_gras_lower_barrier,screening_only,B_protective_screening,GCF_001025215.1,Complete Genome,Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505,low_qps_history,,lower_barrier; strain-level genome QC still recommended,False,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Firmicutes_bacterium_CAG_95,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0175,requires_genome_safety_review,screening_only,B_protective_screening,,no_isolate_genome_MAG_or_unresolved,,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Alistipes_finegoldii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0172,requires_genome_safety_review,screening_only,B_protective_screening,GCF_027677115.1,Scaffold,Alistipes finegoldii,moderate_novel_commensal,,novel human commensal; genome-level AMR/virulence screening required,True,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
