species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier
Lacticaseibacillus_casei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Limosilactobacillus_reuteri,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Limosilactobacillus_fermentum,Limosilactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Pediococcus_acidilactici,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Pediococcus_pentosaceus,Pediococcus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Bacillus_coagulans,Bacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,1,0,0,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Bacillus_subtilis,Bacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,1,0,0,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Saccharomyces_boulardii,Saccharomyces,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Bifidobacterium_adolescentis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0406,1,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactococcus_lactis,Lactococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0169,,,,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactobacillus_rogosae,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0111,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactobacillus_ruminis,Lactobacillus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0078,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Turicibacter_sanguinis,Turicibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.1435,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_intestinalis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.109,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Eubacterium_eligens,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.1059,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Roseburia_sp_CAG_303,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0985,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Anaerostipes_hadrus,Anaerostipes,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0868,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Phascolarctobacterium_faecium,Phascolarctobacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0694,0,0,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Methanobrevibacter_smithii,Methanobrevibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0645,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_plebeius,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0623,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Gordonibacter_pamelaeae,Gordonibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0579,,,,requires_genome_safety_review,screening_only,B_protective_screening
Intestinimonas_butyriciproducens,Intestinimonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0544,,,,requires_genome_safety_review,screening_only,B_protective_screening
Parabacteroides_goldsteinii,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0492,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Alistipes_shahii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.047,,,,requires_genome_safety_review,screening_only,B_protective_screening
Prevotella_stercorea,Prevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0458,,,,requires_genome_safety_review,screening_only,B_protective_screening
Blautia_obeum,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0404,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Bacteroides_coprocola,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0402,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Parabacteroides_distasonis,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0395,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Alistipes_indistinctus,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.039,,,,requires_genome_safety_review,screening_only,B_protective_screening
Ruminococcaceae_bacterium_D5,Ruminococcaceae,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0388,,,,requires_genome_safety_review,screening_only,B_protective_screening
Adlercreutzia_equolifaciens,Adlercreutzia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0372,,,,requires_genome_safety_review,screening_only,B_protective_screening
Olsenella_scatoligenes,Olsenella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0369,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_xylanisolvens,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0368,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Roseburia_sp_CAG_471,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0338,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Eggerthella_lenta,Eggerthella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0326,,,,requires_genome_safety_review,screening_only,B_protective_screening
Blautia_wexlerae,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0315,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Faecalibacterium_prausnitzii,Faecalibacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.031,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Coprococcus_catus,Coprococcus,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0274,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Oscillibacter_sp_57_20,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0244,,,,requires_genome_safety_review,screening_only,B_protective_screening
Hungatella_hathewayi,Hungatella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0235,,,,requires_genome_safety_review,screening_only,B_protective_screening
Megamonas_funiformis,Megamonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0227,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bifidobacterium_catenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.022,1,0,1,qps_gras_lower_barrier,screening_only,B_protective_screening
Bacteroides_massiliensis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0217,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Clostridium_sp_CAG_242,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Rothia_mucilaginosa,Rothia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,,,,requires_genome_safety_review,screening_only,B_protective_screening
Firmicutes_bacterium_CAG_110,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0207,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bifidobacterium_pseudocatenulatum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0188,1,0,1,qps_gras_lower_barrier,screening_only,B_protective_screening
Firmicutes_bacterium_CAG_95,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0175,,,,requires_genome_safety_review,screening_only,B_protective_screening
Alistipes_finegoldii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0172,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_stercoris,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0168,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Alistipes_putredinis,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0139,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_caccae,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0138,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Bacteroides_dorei,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0131,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Clostridium_spiroforme,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.013,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Bacteroides_ovatus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0121,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Enorma_massiliensis,Enorma,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.012,,,,requires_genome_safety_review,screening_only,B_protective_screening
Ruminococcus_gnavus,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0119,,,,requires_genome_safety_review,screening_only,B_protective_screening
Dorea_formicigenerans,Dorea,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0116,,,,requires_genome_safety_review,screening_only,B_protective_screening
Roseburia_sp_CAG_309,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0101,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Erysipelatoclostridium_ramosum,Erysipelatoclostridium,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0092,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_thetaiotaomicron,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Bacteroides_galacturonicus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Victivallis_vadensis,Victivallis,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,,,,requires_genome_safety_review,screening_only,B_protective_screening
Coprococcus_eutactus,Coprococcus,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0084,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Parasutterella_excrementihominis,Parasutterella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0083,,,,requires_genome_safety_review,screening_only,B_protective_screening
Parabacteroides_merdae,Parabacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0074,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Prevotella_sp_CAG_279,Prevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0074,,,,requires_genome_safety_review,screening_only,B_protective_screening
Clostridium_aldenense,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0069,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Odoribacter_splanchnicus,Odoribacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0067,,,,requires_genome_safety_review,screening_only,B_protective_screening
Paraprevotella_clara,Paraprevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0062,,,,requires_genome_safety_review,screening_only,B_protective_screening
Butyrivibrio_crossotus,Butyrivibrio,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0061,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_cellulosilyticus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.006,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Desulfovibrio_piger,Desulfovibrio,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0059,,,,requires_genome_safety_review,screening_only,B_protective_screening
Mogibacterium_diversum,Mogibacterium,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0058,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_salyersiae,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0056,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Clostridium_citroniae,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0041,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Eubacterium_siraeum,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.004,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Agathobaculum_butyriciproducens,Agathobaculum,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.003,,,,requires_genome_safety_review,screening_only,B_protective_screening
Intestinibacter_bartlettii,Intestinibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.003,,,,requires_genome_safety_review,screening_only,B_protective_screening
Roseburia_hominis,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Ruminococcus_lactaris,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_faecis,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Oscillibacter_sp_PC13,Oscillibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0023,,,,requires_genome_safety_review,screening_only,B_protective_screening
Clostridium_sp_CAG_167,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0017,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Desulfovibrionaceae_bacterium,Desulfovibrionaceae,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0017,,,,requires_genome_safety_review,screening_only,B_protective_screening
Firmicutes_bacterium_CAG_94,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0014,,,,requires_genome_safety_review,screening_only,B_protective_screening
Clostridium_symbiosum,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0012,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Anaerotruncus_colihominis,Anaerotruncus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0011,,,,requires_genome_safety_review,screening_only,B_protective_screening
Firmicutes_bacterium_CAG_145,Firmicutes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0009,,,,requires_genome_safety_review,screening_only,B_protective_screening
Gemella_sanguinis,Gemella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0007,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bifidobacterium_bifidum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,1,0,1,qps_gras_lower_barrier,screening_only,B_protective_screening
Bifidobacterium_dentium,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,1,0,1,qps_gras_lower_barrier,screening_only,B_protective_screening
Alistipes_onderdonkii,Alistipes,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening
Bacteroides_nordii,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,1,1,requires_genome_safety_lbp,screening_only,B_protective_screening
Clostridium_asparagiforme,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Sellimonas_intestinalis,Sellimonas,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening
Roseburia_sp_CAG_182,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Blautia_hydrogenotrophica,Blautia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Eubacterium_sp_OM08_24,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Eubacterium_sp_CAG_251,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_lbp,screening_only,B_protective_screening
Clostridium_lavalense,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,2,0,requires_genome_safety_lbp,screening_only,B_protective_screening
Eisenbergiella_massiliensis,Eisenbergiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening
Monoglobus_pectinilyticus,Monoglobus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening
Faecalitalea_cylindroides,Faecalitalea,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_genome_safety_review,screening_only,B_protective_screening
Haemophilus_parainfluenzae,Haemophilus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.1456,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_salivarius,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0935,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_parasanguinis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0712,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_australis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0527,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Veillonella_atypica,Veillonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0513,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Haemophilus_sp_HMSC71H05,Haemophilus,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0407,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Klebsiella_variicola,Klebsiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0297,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_vestibularis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0284,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Klebsiella_quasipneumoniae,Klebsiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0269,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_gordonii,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0228,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_thermophilus,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,enriched_in_obesity,0.0179,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Klebsiella_pneumoniae,Klebsiella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0099,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Actinomyces_sp_ICM47,Actinomyces,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0084,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Escherichia_coli,Escherichia,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.007,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_mitis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0052,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Actinomyces_sp_HMSC035G02,Actinomyces,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0044,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Veillonella_dispar,Veillonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0031,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Actinomyces_odontolyticus,Actinomyces,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.003,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_oralis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0016,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Veillonella_parvula,Veillonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0013,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Veillonella_sp_T11011_6,Veillonella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0007,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Actinomyces_oris,Actinomyces,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_anginosus_group,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_sanguinis,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Streptococcus_sp_A12,Streptococcus,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,0,0,0,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Veillonella_infantium,Veillonella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0,,,,requires_strain_level_safety_review,screening_only,C_pathogen_genus_review
Roseburia_intestinalis,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1556,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Clostridium_sp_CAG_58,Clostridium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1424,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Allisonella_histaminiformans,Allisonella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.1276,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Coprococcus_comes,Coprococcus,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1233,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Eubacterium_hallii,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1085,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Eubacterium_sp_CAG_180,Eubacterium,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.1039,,,,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
Lawsonibacter_asaccharolyticus,Lawsonibacter,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.075,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Slackia_isoflavoniconvertens,Slackia,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0689,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Holdemania_filiformis,Holdemania,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0664,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Catenibacterium_mitsuokai,Catenibacterium,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.066,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Collinsella_massiliensis,Collinsella,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.066,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Gemmiger_formicilis,Gemmiger,human_derived_commensal,obesity_microbiome_signature,enriched_in_obesity,0.0638,,,,requires_genome_safety_review,screening_only,C_screening_hypothesis
Roseburia_faecis,Roseburia,human_derived_ngp,obesity_microbiome_signature,enriched_in_obesity,0.0622,0,2,0,requires_genome_safety_lbp,screening_only,C_screening_hypothesis
