rank,region,members,n_strains,axes,n_axes,n_universal_members,diversity_mean,effect_mean,culturability_mean,composite
15,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0,0.293,0.237,0.82,0.7339
16,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.265,0.315,0.917,0.7339
17,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.298,0.224,0.83,0.7335
18,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.269,0.271,0.86,0.7325
19,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.288,0.272,0.887,0.7314
20,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,4,propionate+mucin,2,0,0.319,0.223,0.837,0.7314
21,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.269,0.271,0.83,0.7297
22,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.289,0.266,0.887,0.7296
23,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.274,0.258,0.84,0.7292
24,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.302,0.241,0.87,0.7285
25,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.245,0.306,0.87,0.7283
26,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.269,0.251,0.86,0.7243
27,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.314,0.201,0.788,0.7243
28,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.277,0.261,0.825,0.7231
29,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.284,0.244,0.838,0.7225
30,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0,0.288,0.215,0.82,0.7218
31,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.263,0.255,0.86,0.7218
32,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.264,0.25,0.86,0.7204
33,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus,3,propionate+mucin,2,0,0.308,0.215,0.85,0.7201
34,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.266,0.28,0.917,0.7201
35,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.245,0.285,0.87,0.72
36,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.289,0.24,0.887,0.7193
37,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,1,0.284,0.244,0.8,0.7189
38,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,4,propionate+mucin,2,1,0.31,0.209,0.837,0.7187
39,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.295,0.23,0.87,0.7183
40,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.267,0.272,0.917,0.7178
41,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,1,0.247,0.303,0.837,0.7178
42,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.265,0.249,0.83,0.7175
43,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.239,0.289,0.87,0.7175
44,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.254,0.286,0.85,0.7172
45,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis,3,propionate+mucin,2,1,0.296,0.23,0.85,0.7169
46,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.28,0.251,0.887,0.7169
47,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.296,0.222,0.87,0.7163
48,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.282,0.245,0.887,0.7162
49,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,4,propionate+mucin,2,1,0.312,0.199,0.837,0.7161
50,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.24,0.284,0.87,0.7161
51,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis,3,propionate+mucin,2,0,0.299,0.221,0.85,0.7159
52,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.282,0.241,0.887,0.7143
53,西欧,Bacteroides_dorei; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.258,0.278,0.917,0.7136
54,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis,3,propionate+mucin,2,1,0.298,0.217,0.85,0.7135
55,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,5,propionate+mucin,2,0,0.319,0.261,0.84,0.7131
56,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,5,propionate+mucin,2,0,0.297,0.255,0.86,0.713
57,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.278,0.235,0.825,0.7128
58,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.275,0.255,0.87,0.7127
59,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.324,0.248,0.85,0.7126
60,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.284,0.218,0.838,0.7122
61,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.264,0.229,0.86,0.7121
62,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.295,0.296,0.88,0.7117
63,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus,4,propionate+mucin,2,1,0.286,0.24,0.837,0.7117
64,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.281,0.204,0.82,0.7116
65,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.273,0.289,0.9,0.7116
66,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,4,propionate+mucin,2,0,0.347,0.231,0.813,0.7115
67,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.292,0.223,0.85,0.7111
68,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.247,0.277,0.875,0.711
69,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens,4,propionate+mucin,2,0,0.31,0.291,0.85,0.7104
70,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.257,0.238,0.86,0.7102
71,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis,4,propionate+mucin,2,0,0.283,0.283,0.875,0.7102
72,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.255,0.283,0.887,0.7099
73,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,4,propionate+mucin,2,1,0.317,0.274,0.863,0.7098
74,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.271,0.24,0.825,0.7097
75,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.259,0.233,0.86,0.7096
76,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.283,0.196,0.82,0.7095
77,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.277,0.223,0.838,0.7091
78,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus,3,propionate+mucin,2,1,0.311,0.192,0.8,0.7091
79,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.259,0.23,0.86,0.7082
80,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.241,0.263,0.87,0.7079
81,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0,0.272,0.233,0.825,0.7079
82,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,1,0.241,0.282,0.875,0.7079
83,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus,3,propionate+mucin,2,1,0.263,0.272,0.85,0.7076
84,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,1,0.248,0.277,0.837,0.7074
85,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens,3,propionate+mucin,2,0,0.344,0.261,0.817,0.7074
86,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.258,0.238,0.83,0.7073
87,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.271,0.249,0.867,0.7068
88,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.254,0.26,0.85,0.7068
89,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0,0.3,0.22,0.783,0.7066
90,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.28,0.225,0.887,0.7066
91,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis,5,propionate+mucin,2,1,0.299,0.241,0.83,0.7064
92,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,1,0.262,0.229,0.82,0.706
93,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.233,0.272,0.87,0.706
94,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum,5,propionate+mucin,2,1,0.307,0.267,0.84,0.7059
95,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,0,0.311,0.222,0.8,0.7059
96,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.304,0.228,0.84,0.7059
97,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.217,0.32,0.887,0.7057
98,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.312,0.253,0.85,0.7055
99,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.267,0.215,0.83,0.7055
100,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.235,0.267,0.87,0.7054
101,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.259,0.23,0.83,0.7053
102,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.275,0.276,0.87,0.705
103,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens,5,propionate+butyrate+mucin,3,0,0.281,0.27,0.83,0.705
104,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0,0.259,0.263,0.85,0.7049
105,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.238,0.263,0.86,0.7046
106,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.283,0.301,0.88,0.7046
107,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,1,0.286,0.256,0.84,0.7045
108,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,1,0.241,0.282,0.837,0.7043
109,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.282,0.215,0.887,0.704
110,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.235,0.264,0.87,0.7039
111,西欧,Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.247,0.265,0.85,0.7037
112,西欧,Bacteroides_intestinalis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.274,0.23,0.887,0.7035
113,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.295,0.275,0.88,0.7034
114,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.273,0.268,0.9,0.7033
115,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus,3,propionate+mucin,2,1,0.296,0.195,0.85,0.7031
116,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Alistipes_putredinis,4,propionate+mucin,2,1,0.322,0.206,0.8,0.7031
117,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,5,propionate+mucin,2,1,0.29,0.243,0.86,0.7028
118,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum,4,propionate+mucin,2,1,0.332,0.238,0.813,0.7026
119,西欧,Bacteroides_cellulosilyticus; Alistipes_putredinis; Butyrivibrio_crossotus; Akkermansia_muciniphila,4,propionate+butyrate+mucin,3,2,0.211,0.325,0.887,0.7026
120,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,1,0.242,0.276,0.837,0.7026
121,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis,4,propionate+mucin,2,1,0.285,0.266,0.837,0.702
122,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.257,0.217,0.86,0.7019
123,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,2,0.238,0.263,0.83,0.7017
124,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.287,0.256,0.81,0.7016
125,西欧,Barnesiella_intestinihominis; Alistipes_indistinctus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.292,0.249,0.85,0.7014
126,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum,4,propionate+mucin,2,1,0.296,0.298,0.85,0.7014
127,西欧,Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.266,0.277,0.9,0.7014
128,西欧,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.243,0.249,0.84,0.7013
129,西欧,Bacteroides_salyersiae; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.275,0.22,0.887,0.7009
130,西欧,Bacteroides_cellulosilyticus; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.29,0.279,0.88,0.7009
131,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Akkermansia_muciniphila,4,propionate+mucin,2,2,0.302,0.281,0.863,0.7009
132,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,5,propionate+mucin,2,0,0.315,0.24,0.84,0.7009
133,西欧,Bacteroides_intestinalis; Barnesiella_intestinihominis; Akkermansia_muciniphila,3,propionate+mucin,2,2,0.256,0.252,0.917,0.7008
134,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,5,propionate+mucin,2,1,0.268,0.272,0.9,0.7008
135,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.258,0.304,0.84,0.7007
136,西欧,Bacteroides_cellulosilyticus; Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis,5,propionate+mucin,2,1,0.291,0.235,0.86,0.7007
137,西欧,Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Akkermansia_muciniphila,5,propionate+mucin,2,2,0.271,0.233,0.87,0.7006
138,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,1,0.235,0.297,0.86,0.7006
139,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Alistipes_indistinctus; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,3,0.214,0.297,0.87,0.7004
140,西欧,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.263,0.29,0.85,0.7002
141,西欧,Bacteroides_cellulosilyticus; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens,4,propionate+mucin,2,0,0.31,0.265,0.85,0.7
142,西欧,Bacteroides_cellulosilyticus; Bacteroides_dorei; Barnesiella_intestinihominis; Odoribacter_splanchnicus,4,propionate+mucin,2,0,0.283,0.257,0.875,0.6999
143,西欧,Bacteroides_salyersiae; Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,5,propionate+butyrate+mucin,3,2,0.259,0.209,0.86,0.6999
144,西欧,Bacteroides_dorei; Odoribacter_splanchnicus; Akkermansia_muciniphila,3,propionate+mucin,2,1,0.258,0.244,0.917,0.6998
