rank,members,n_strains,axes,n_axes,diversity_mean,effect_mean_g,propionate_frac,culturability_mean,genus_diversity,spore_frac,composite_v2
12,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,4,propionate+mucin,2,0.318,0.179,1.0,0.85,1.0,0.0,0.7452
13,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,5,propionate+mucin,2,0.296,0.205,1.0,0.87,1.0,0.0,0.745
14,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.284,0.217,1.0,0.887,1.0,0.0,0.7434
15,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.261,0.219,0.8,0.86,1.0,0.2,0.7433
16,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,0.308,0.186,1.0,0.867,1.0,0.0,0.743
17,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.268,0.23,0.75,0.825,1.0,0.25,0.743
18,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.256,0.222,0.8,0.86,1.0,0.2,0.7412
19,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.287,0.207,1.0,0.887,1.0,0.0,0.7404
20,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.262,0.234,0.75,0.825,1.0,0.25,0.7403
21,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.274,0.199,0.8,0.84,1.0,0.2,0.7401
22,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.271,0.206,0.8,0.82,1.0,0.2,0.7399
23,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.277,0.197,0.8,0.82,1.0,0.2,0.7393
24,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila,3,propionate+mucin,2,0.313,0.173,1.0,0.867,1.0,0.0,0.7391
25,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.284,0.204,0.75,0.8,1.0,0.25,0.739
26,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.247,0.229,0.8,0.87,1.0,0.2,0.7387
27,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.253,0.228,0.8,0.82,1.0,0.2,0.7379
28,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.281,0.21,1.0,0.887,1.0,0.0,0.7377
29,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.25,0.243,0.75,0.837,1.0,0.25,0.7371
30,Barnesiella_intestinihominis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.267,0.224,1.0,0.917,1.0,0.0,0.7367
31,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.249,0.221,0.8,0.87,1.0,0.2,0.7363
32,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis,4,propionate+mucin,2,0.299,0.191,1.0,0.838,1.0,0.0,0.7361
33,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.269,0.202,0.8,0.82,1.0,0.2,0.736
34,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila,3,propionate+mucin,2,0.305,0.177,1.0,0.867,1.0,0.0,0.7355
35,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei,4,propionate+mucin,2,0.307,0.179,1.0,0.838,1.0,0.0,0.7354
36,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.253,0.233,0.75,0.837,1.0,0.25,0.7342
37,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.245,0.224,0.8,0.87,1.0,0.2,0.7341
38,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.302,0.216,0.6,0.8,1.0,0.4,0.7337
39,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus,4,propionate+mucin,2,0.277,0.218,1.0,0.837,1.0,0.0,0.7337
40,Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.259,0.228,1.0,0.917,1.0,0.0,0.7331
41,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.259,0.208,0.8,0.83,1.0,0.2,0.7329
42,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.271,0.206,0.75,0.838,1.0,0.25,0.7327
43,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.274,0.246,0.6,0.83,1.0,0.4,0.7323
44,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.266,0.199,0.8,0.83,1.0,0.2,0.7323
45,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus,5,propionate+mucin,2,0.312,0.225,0.8,0.84,1.0,0.2,0.7316
46,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.247,0.236,0.75,0.837,1.0,0.25,0.7315
47,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_salyersiae,4,propionate+mucin,2,0.297,0.185,1.0,0.838,1.0,0.0,0.7313
48,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_intestinalis,3,propionate+mucin,2,0.283,0.202,1.0,0.85,1.0,0.0,0.731
49,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.241,0.23,0.8,0.83,1.0,0.2,0.7309
50,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus,3,propionate+mucin,2,0.3,0.187,1.0,0.8,1.0,0.0,0.7301
51,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_dorei,3,propionate+mucin,2,0.294,0.186,1.0,0.85,1.0,0.0,0.73
52,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.277,0.238,0.6,0.83,1.0,0.4,0.7299
53,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.274,0.196,0.75,0.838,1.0,0.25,0.7297
54,Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.264,0.215,1.0,0.917,1.0,0.0,0.7292
55,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_salyersiae; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.258,0.204,0.8,0.83,1.0,0.2,0.729
56,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.283,0.217,0.67,0.783,1.0,0.33,0.7286
57,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,4,propionate+mucin,2,0.338,0.203,0.75,0.813,1.0,0.25,0.7285
58,Barnesiella_intestinihominis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.239,0.235,0.75,0.875,1.0,0.25,0.7279
59,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.272,0.241,0.6,0.83,1.0,0.4,0.7278
60,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.248,0.21,0.8,0.86,1.0,0.2,0.7278
61,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Alistipes_indistinctus,3,propionate+mucin,2,0.253,0.238,1.0,0.85,1.0,0.0,0.7277
62,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.258,0.201,0.8,0.83,1.0,0.2,0.7273
63,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_intestinalis,5,propionate+mucin,2,0.286,0.188,1.0,0.87,1.0,0.0,0.7272
64,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.254,0.2,0.8,0.86,1.0,0.2,0.7272
65,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.268,0.199,0.75,0.838,1.0,0.25,0.727
66,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_intestinalis,3,propionate+mucin,2,0.288,0.189,1.0,0.85,1.0,0.0,0.727
67,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.29,0.218,0.6,0.81,1.0,0.4,0.7267
68,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.304,0.241,0.75,0.85,1.0,0.25,0.7266
69,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_dorei,5,propionate+mucin,2,0.293,0.178,1.0,0.87,1.0,0.0,0.7266
70,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_dorei,3,propionate+mucin,2,0.298,0.173,1.0,0.85,1.0,0.0,0.7261
71,Barnesiella_intestinihominis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.23,0.231,0.8,0.86,1.0,0.2,0.7259
72,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.278,0.205,0.8,0.79,0.8,0.2,0.7257
73,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.251,0.202,0.8,0.86,1.0,0.2,0.7255
74,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.263,0.248,0.6,0.84,1.0,0.4,0.7253
75,Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.234,0.238,0.75,0.875,1.0,0.25,0.7252
76,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Alistipes_indistinctus,5,propionate+mucin,2,0.268,0.209,1.0,0.87,1.0,0.0,0.7252
77,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.257,0.192,0.8,0.86,1.0,0.2,0.7249
78,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.287,0.203,0.67,0.783,1.0,0.33,0.7247
79,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_salyersiae,3,propionate+mucin,2,0.281,0.195,1.0,0.85,1.0,0.0,0.7245
80,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.25,0.236,0.8,0.82,0.8,0.2,0.7243
81,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.247,0.205,0.8,0.86,1.0,0.2,0.7239
82,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.256,0.209,0.75,0.85,1.0,0.25,0.7239
83,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.307,0.231,0.75,0.85,1.0,0.25,0.7237
84,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus,5,propionate+mucin,2,0.288,0.214,1.0,0.83,0.8,0.0,0.7236
85,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.252,0.218,0.75,0.825,1.0,0.25,0.7236
86,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis,3,propionate+mucin,2,0.28,0.193,1.0,0.85,1.0,0.0,0.7235
87,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_salyersiae,5,propionate+mucin,2,0.285,0.183,1.0,0.87,1.0,0.0,0.7233
88,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.246,0.204,0.8,0.86,1.0,0.2,0.7233
89,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.264,0.207,0.75,0.788,1.0,0.25,0.723
90,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_dorei; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.26,0.206,0.75,0.825,1.0,0.25,0.7229
91,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.265,0.24,0.6,0.84,1.0,0.4,0.7229
92,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.253,0.195,0.8,0.86,1.0,0.2,0.7227
93,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei,3,propionate+mucin,2,0.291,0.177,1.0,0.85,1.0,0.0,0.7225
94,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.243,0.237,0.8,0.85,0.8,0.2,0.7224
95,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.241,0.254,0.67,0.833,1.0,0.33,0.7223
96,Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.237,0.228,0.75,0.875,1.0,0.25,0.7222
97,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.249,0.227,0.8,0.85,0.8,0.2,0.7218
98,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis,5,propionate+mucin,2,0.281,0.215,1.0,0.86,0.8,0.0,0.7218
99,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.279,0.219,0.6,0.84,1.0,0.4,0.7217
100,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.249,0.197,0.8,0.86,1.0,0.2,0.7216
101,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.288,0.214,0.6,0.8,1.0,0.4,0.7215
102,Odoribacter_splanchnicus; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.228,0.226,0.8,0.86,1.0,0.2,0.7213
103,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei,5,propionate+mucin,2,0.288,0.206,1.0,0.86,0.8,0.0,0.7212
104,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.229,0.245,0.75,0.825,1.0,0.25,0.7211
105,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_intestinalis,4,propionate+mucin,2,0.271,0.196,1.0,0.887,1.0,0.0,0.7211
106,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.301,0.234,0.75,0.85,1.0,0.25,0.721
107,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila,5,propionate+mucin,2,0.317,0.197,0.8,0.85,1.0,0.2,0.721
108,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.26,0.199,0.75,0.85,1.0,0.25,0.7209
109,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.261,0.243,0.6,0.84,1.0,0.4,0.7208
110,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.237,0.212,0.8,0.87,1.0,0.2,0.7208
111,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.255,0.208,0.75,0.825,1.0,0.25,0.7207
112,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens,3,propionate+mucin,2,0.335,0.218,0.67,0.817,1.0,0.33,0.7207
113,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_salyersiae,3,propionate+mucin,2,0.285,0.181,1.0,0.85,1.0,0.0,0.7205
114,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Alistipes_indistinctus,4,propionate+mucin,2,0.283,0.184,1.0,0.85,1.0,0.0,0.7204
115,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_dorei,4,propionate+mucin,2,0.279,0.183,1.0,0.887,1.0,0.0,0.7203
116,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Akkermansia_muciniphila; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.246,0.203,0.8,0.84,1.0,0.2,0.7203
117,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus,3,propionate+mucin,2,0.25,0.229,1.0,0.85,1.0,0.0,0.7202
118,Barnesiella_intestinihominis; Alistipes_putredinis; Akkermansia_muciniphila; Bacteroides_dorei; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.243,0.202,0.8,0.87,1.0,0.2,0.7202
119,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.243,0.21,0.8,0.82,1.0,0.2,0.7201
120,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.246,0.229,0.8,0.85,0.8,0.2,0.7201
121,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.26,0.244,0.6,0.83,1.0,0.4,0.7201
122,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_dorei; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.263,0.196,0.75,0.825,1.0,0.25,0.7199
123,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.248,0.23,0.8,0.82,0.8,0.2,0.7198
124,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Akkermansia_muciniphila; Bacteroides_cellulosilyticus,5,propionate+mucin,2,0.29,0.228,0.8,0.88,1.0,0.2,0.7196
125,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.249,0.201,0.8,0.82,1.0,0.2,0.7195
126,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.252,0.219,0.8,0.85,0.8,0.2,0.7195
127,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_cellulosilyticus,5,propionate+mucin,2,0.298,0.223,0.8,0.84,1.0,0.2,0.7194
128,Odoribacter_splanchnicus; Alistipes_putredinis; Akkermansia_muciniphila; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.245,0.2,0.8,0.86,1.0,0.2,0.7194
129,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Akkermansia_muciniphila; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.282,0.211,0.6,0.84,1.0,0.4,0.7193
130,Barnesiella_intestinihominis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.225,0.237,0.75,0.887,1.0,0.25,0.7191
131,Barnesiella_intestinihominis; Akkermansia_muciniphila; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.219,0.233,0.8,0.87,1.0,0.2,0.7188
132,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,4,propionate+butyrate+mucin,3,0.25,0.213,0.75,0.825,1.0,0.25,0.7187
