hypothesis_id,members,n_strains,mechanisms_covered,n_mechanisms,lactate_to_butyrate_crossfeeding,includes_qps_deliverable_anchor,includes_depleted_protective_taxon,design_complementarity_score,predicted_response_score,ranking_type,combination_safety_gate,rationale
MECHCOMBO_011,Bifidobacterium_longum; Anaerostipes_hadrus; Roseburia_intestinalis; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_012,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Roseburia_intestinalis; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_013,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_014,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_015,Lactobacillus_acidophilus; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_016,Lactobacillus_acidophilus; Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_017,Lactobacillus_acidophilus; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_018,Lactobacillus_acidophilus; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_019,Lactobacillus_acidophilus; Anaerostipes_hadrus; Roseburia_intestinalis; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_020,Lactobacillus_acidophilus; Anaerostipes_hadrus; Roseburia_intestinalis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_021,Lactobacillus_acidophilus; Anaerostipes_hadrus; Phascolarctobacterium_faecium; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_022,Lactobacillus_acidophilus; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_023,Lactobacillus_acidophilus; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_024,Lactobacillus_acidophilus; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_025,Lactobacillus_acidophilus; Anaerostipes_hadrus; Roseburia_intestinalis; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_026,Bifidobacterium_longum; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_027,Bifidobacterium_longum; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_028,Lactobacillus_acidophilus; Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_029,Lactobacillus_acidophilus; Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_030,Bifidobacterium_longum; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_031,Bifidobacterium_longum; Anaerostipes_hadrus; Phascolarctobacterium_faecium; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_032,Bifidobacterium_longum; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_033,Bifidobacterium_longum; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_034,Bifidobacterium_longum; Anaerostipes_hadrus; Roseburia_intestinalis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_035,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_036,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_037,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Phascolarctobacterium_faecium; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_038,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Faecalibacterium_prausnitzii; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_039,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Intestinimonas_butyriciproducens; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_040,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Roseburia_intestinalis; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_041,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Roseburia_intestinalis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_042,Bifidobacterium_longum; Lactobacillus_acidophilus; Anaerostipes_hadrus; Phascolarctobacterium_faecium,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_043,Bifidobacterium_longum; Anaerostipes_hadrus; Roseburia_intestinalis; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_044,Bifidobacterium_longum; Lactobacillus_acidophilus; Anaerostipes_hadrus; Parabacteroides_distasonis,4,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_045,Bifidobacterium_longum; Lactobacillus_acidophilus; Anaerostipes_hadrus; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.5,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_046,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Parabacteroides_distasonis,3,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_047,Lactobacillus_acidophilus; Anaerostipes_hadrus; Akkermansia_muciniphila,3,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_048,Bifidobacterium_longum; Anaerostipes_hadrus; Parabacteroides_distasonis,3,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_049,Bifidobacterium_longum; Anaerostipes_hadrus; Phascolarctobacterium_faecium,3,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_050,Lactobacillus_acidophilus; Anaerostipes_hadrus; Parabacteroides_distasonis,3,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_051,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Akkermansia_muciniphila,3,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_052,Lactobacillus_acidophilus; Anaerostipes_hadrus; Phascolarctobacterium_faecium,3,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_053,Lacticaseibacillus_rhamnosus; Anaerostipes_hadrus; Phascolarctobacterium_faecium,3,butyrate; lactate/BSH; propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_054,Bifidobacterium_longum; Anaerostipes_hadrus; Akkermansia_muciniphila,3,butyrate; lactate/BSH; mucin+propionate,3,yes,yes,yes,6.25,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 3 SCFA/bile niches; lactate->butyrate cross-feeding; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_055,Bifidobacterium_longum; Roseburia_intestinalis; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_056,Lactobacillus_acidophilus; Intestinimonas_butyriciproducens; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_057,Lacticaseibacillus_rhamnosus; Faecalibacterium_prausnitzii; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_058,Lactobacillus_acidophilus; Intestinimonas_butyriciproducens; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_059,Lactobacillus_acidophilus; Roseburia_intestinalis; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_060,Lacticaseibacillus_rhamnosus; Intestinimonas_butyriciproducens; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_061,Lacticaseibacillus_rhamnosus; Intestinimonas_butyriciproducens; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_062,Lacticaseibacillus_rhamnosus; Roseburia_intestinalis; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_063,Lactobacillus_acidophilus; Faecalibacterium_prausnitzii; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_064,Lacticaseibacillus_rhamnosus; Faecalibacterium_prausnitzii; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_065,Bifidobacterium_longum; Intestinimonas_butyriciproducens; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_066,Lactobacillus_acidophilus; Faecalibacterium_prausnitzii; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_067,Bifidobacterium_longum; Roseburia_intestinalis; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_068,Bifidobacterium_longum; Faecalibacterium_prausnitzii; Parabacteroides_distasonis; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_069,Bifidobacterium_longum; Faecalibacterium_prausnitzii; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_070,Bifidobacterium_longum; Intestinimonas_butyriciproducens; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_071,Lacticaseibacillus_rhamnosus; Roseburia_intestinalis; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
MECHCOMBO_072,Lactobacillus_acidophilus; Roseburia_intestinalis; Phascolarctobacterium_faecium; Akkermansia_muciniphila,4,butyrate; lactate/BSH; mucin+propionate; propionate,4,no,yes,yes,6.0,,preclinical_mechanism_hypothesis_not_efficacy,pending_all_members_need_genome_screen,covers 4 SCFA/bile niches; includes QPS deliverable strain; restores depleted protective taxon
