robust_rank,combination_id,strains,source_strain_ids,total_strain_count,retained_formulations,partial_formulations,evidence_pmid_list,functional_modules,posterior_score_mean,posterior_score_p10,posterior_score_p90,top10_probability,rank_mean,rank_p90,clinical_evidence_mean,clinical_evidence_p10,module_coverage_score,formulation_integrity_score,evidence_independence_score,genus_diversity_score,split_evidence_penalty,complexity_penalty,safety_gate,prediction_scope,recommended_prebiotic,validation_recommendation
17,ROBUST_017,Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_IDCC4301; BL_B420; BB_BBr60; LP_BEPC22; LPL_BELP53,5,FORM_IDCC4301; FORM_B420_LU; FORM_BBR60; FORM_BN202M,,27810310; 38999741; 39051504; 39456659,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; glucose; lipid; lipid_metabolism; waist; weight,7.012,6.300,7.688,0.2338,27.84,59.00,5.466,4.068,10.000,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
18,ROBUST_018,Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420; Bacillus coagulans BC99,BL_IDCC4301; BL_B420; BC_BC99,3,FORM_IDCC4301; FORM_B420_LU; FORM_BC99,,27810310; 39051504; 40416368,SCFA_network; barrier; bifidobacterium_niche; body_fat; fiber_response; lipid; microbiome_shift; spore_former; waist; weight_subgroup,6.895,6.072,7.699,0.2030,42.02,100.00,5.272,3.574,7.600,10.000,10.000,5.000,0.000,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
19,ROBUST_019,Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_IDCC4301; BL_B420; LP_BEPC22; LPL_BELP53,4,FORM_IDCC4301; FORM_B420_LU; FORM_BN202M,,27810310; 38999741; 39051504,SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; lipid; lipid_metabolism; waist,6.860,6.065,7.618,0.1868,46.23,112.00,5.415,3.772,7.600,10.000,10.000,7.500,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
20,ROBUST_020,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bifidobacterium animalis subsp. lactis B420; Bacillus coagulans BC99,BL_BB536; BB_MCC1274; BL_B420; BC_BC99,4,FORM_BB536_MCC1274; FORM_B420_LU; FORM_BC99,,27810310; 38542727; 40416368,SCFA_network; barrier; bifidobacterium_niche; body_fat; fiber_response; lipid; microbiome_shift; spore_former; visceral_fat; waist; weight_subgroup,6.818,6.000,7.612,0.1718,50.07,119.00,5.349,3.673,8.800,10.000,10.000,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
21,ROBUST_021,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bifidobacterium animalis subsp. lactis B420; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_BB536; BB_MCC1274; BL_B420; LP_BEPC22; LPL_BELP53,5,FORM_BB536_MCC1274; FORM_B420_LU; FORM_BN202M,,27810310; 38542727; 38999741,SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; lipid; lipid_metabolism; visceral_fat; waist,6.783,6.009,7.522,0.1584,55.00,130.00,5.492,3.891,8.800,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
22,ROBUST_022,Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53; Bacillus coagulans BC99,BB_BBr60; LP_BEPC22; LPL_BELP53; BC_BC99,4,FORM_BBR60; FORM_BN202M; FORM_BC99,,38999741; 39456659; 40416368,amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid_metabolism; microbiome_shift; spore_former; weight; weight_subgroup,6.742,5.906,7.553,0.1282,59.40,139.10,4.598,2.915,7.600,10.000,10.000,10.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
23,ROBUST_023,Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BB_BBr60; LP_BEPC22; LPL_BELP53,3,FORM_BBR60; FORM_BN202M,,38999741; 39456659,amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid_metabolism; weight,6.509,5.588,7.435,0.0976,103.06,253.10,4.960,2.972,6.800,10.000,6.667,7.500,0.000,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
24,ROBUST_024,Bifidobacterium animalis subsp. lactis B420; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_B420; LP_BEPC22; LPL_BELP53,3,FORM_B420_LU; FORM_BN202M,,27810310; 38999741,SCFA_network; barrier; body_fat; carbohydrate_utilization; cross_feeding; fiber_response; lipid_metabolism; waist,6.466,5.508,7.397,0.0922,111.62,272.00,5.040,2.977,6.400,10.000,6.667,7.500,0.000,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
25,ROBUST_025,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bacillus coagulans BC99,LF_K7; LF_K8; LF_K11; BC_BC99,4,FORM_LF_K7_K8_K11; FORM_BC99,,37447365; 40416368,BMI; SCFA_network; body_fat; carbohydrate_utilization; microbiome_shift; spore_former; waist; weight; weight_subgroup,6.514,5.699,7.398,0.0886,99.92,236.10,6.127,4.390,7.200,10.000,6.667,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
26,ROBUST_026,Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53; Bacillus coagulans BC99,BL_IDCC4301; BB_BBr60; LP_BEPC22; LPL_BELP53; BC_BC99,5,FORM_IDCC4301; FORM_BBR60; FORM_BN202M; FORM_BC99,,38999741; 39051504; 39456659; 40416368,SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid; lipid_metabolism; microbiome_shift; spore_former; weight; weight_subgroup,6.809,6.085,7.506,0.0884,44.71,94.00,4.989,3.576,8.800,10.000,10.000,10.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
27,ROBUST_027,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,LF_K7; LF_K8; LF_K11; LP_BEPC22; LPL_BELP53,5,FORM_LF_K7_K8_K11; FORM_BN202M,,37447365; 38999741,BMI; SCFA_network; body_fat; carbohydrate_utilization; cross_feeding; lipid_metabolism; waist; weight,6.511,5.751,7.280,0.0776,103.35,253.00,6.341,4.731,7.200,10.000,6.667,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; acacia gum optional; probiotic arm strongest without synbiotic advantage,complete strain-resolved genome AMR/virulence/MGE screening before validation
28,ROBUST_028,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bifidobacterium breve BBr60; Bacillus coagulans BC99,BL_BB536; BB_MCC1274; BB_BBr60; BC_BC99,4,FORM_BB536_MCC1274; FORM_BBR60; FORM_BC99,,38542727; 39456659; 40416368,amino_acid_metabolism; barrier; bifidobacterium_niche; glucose; lipid; microbiome_shift; spore_former; visceral_fat; weight; weight_subgroup,6.634,5.806,7.398,0.0746,69.95,159.00,5.295,3.621,8.000,10.000,10.000,5.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
29,ROBUST_029,Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_IDCC4301; BL_BB536; BB_MCC1274; LP_BEPC22; LPL_BELP53,5,FORM_IDCC4301; FORM_BB536_MCC1274; FORM_BN202M,,38542727; 38999741; 39051504,SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat,6.602,5.846,7.316,0.0716,76.42,176.00,5.620,4.061,7.600,10.000,10.000,7.500,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
30,ROBUST_030,Bifidobacterium lactis IDCC 4301; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53; Bacillus coagulans BC99,BL_IDCC4301; LP_BEPC22; LPL_BELP53; BC_BC99,4,FORM_IDCC4301; FORM_BN202M; FORM_BC99,,38999741; 39051504; 40416368,SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; microbiome_shift; spore_former; weight_subgroup,6.585,5.767,7.389,0.0712,79.40,183.00,4.780,3.134,6.400,10.000,10.000,10.000,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
31,ROBUST_031,Bifidobacterium lactis IDCC 4301; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_IDCC4301; LP_BEPC22; LPL_BELP53,3,FORM_IDCC4301; FORM_BN202M,,38999741; 39051504,SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism,6.394,5.458,7.319,0.0710,123.61,297.00,5.233,3.226,5.600,10.000,6.667,7.500,0.000,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
32,ROBUST_032,Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Bifidobacterium breve BBr60; Bacillus coagulans BC99,BL_IDCC4301; BL_BB536; BB_MCC1274; BB_BBr60; BC_BC99,5,FORM_IDCC4301; FORM_BB536_MCC1274; FORM_BBR60; FORM_BC99,,38542727; 39051504; 39456659; 40416368,SCFA_network; amino_acid_metabolism; barrier; bifidobacterium_niche; body_fat; glucose; lipid; microbiome_shift; spore_former; visceral_fat; weight; weight_subgroup,6.782,6.066,7.466,0.0702,45.97,95.00,5.512,4.110,10.000,10.000,10.000,5.000,0.000,0.700,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,inulin/FOS optional; none specified,complete strain-resolved genome AMR/virulence/MGE screening before validation
33,ROBUST_033,Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,BL_BB536; BB_MCC1274; LP_BEPC22; LPL_BELP53,4,FORM_BB536_MCC1274; FORM_BN202M,,38542727; 38999741,barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat,6.334,5.457,7.212,0.0686,137.63,324.00,5.348,3.461,6.800,10.000,6.667,7.500,0.000,0.350,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,FOS/GOS optional; inulin/FOS optional,complete strain-resolved genome AMR/virulence/MGE screening before validation
34,ROBUST_034,Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,LF_K11; BL_IDCC4301; BL_B420,3,FORM_IDCC4301; FORM_B420_LU,FORM_LF_K7_K8_K11,27810310; 37447365; 39051504,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,6.475,5.560,7.349,0.0668,97.80,236.00,6.068,4.098,10.000,6.944,10.000,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
35,ROBUST_035,Lactobacillus fermentum K8; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,LF_K8; BL_IDCC4301; BL_B420,3,FORM_IDCC4301; FORM_B420_LU,FORM_LF_K7_K8_K11,27810310; 37447365; 39051504,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,6.475,5.560,7.349,0.0650,97.82,235.00,6.068,4.098,10.000,6.944,10.000,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
36,ROBUST_036,Lactobacillus fermentum K7; Bifidobacterium lactis IDCC 4301; Bifidobacterium animalis subsp. lactis B420,LF_K7; BL_IDCC4301; BL_B420,3,FORM_IDCC4301; FORM_B420_LU,FORM_LF_K7_K8_K11,27810310; 37447365; 39051504,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; waist; weight,6.475,5.560,7.349,0.0626,97.92,236.00,6.068,4.098,10.000,6.944,10.000,5.000,0.800,0.000,pending_genome_safety_gate,preclinical_validation_priority_not_response_probability,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,complete strain-resolved genome AMR/virulence/MGE screening before validation
