rank,members,n_strains,axes,n_axes,diversity_mean,effect_mean_g,propionate_frac,culturability_mean,genus_diversity,spore_frac,composite_v2
12,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.271,0.206,0.8,0.82,1.0,0.2,0.7399
13,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.277,0.197,0.8,0.82,1.0,0.2,0.7393
14,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.284,0.204,0.75,0.8,1.0,0.25,0.739
15,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.253,0.228,0.8,0.82,1.0,0.2,0.7379
16,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.25,0.243,0.75,0.837,1.0,0.25,0.7371
17,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis,4,propionate+mucin,2,0.299,0.191,1.0,0.838,1.0,0.0,0.7361
18,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.269,0.202,0.8,0.82,1.0,0.2,0.736
19,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei,4,propionate+mucin,2,0.307,0.179,1.0,0.838,1.0,0.0,0.7354
20,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.253,0.233,0.75,0.837,1.0,0.25,0.7342
21,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.302,0.216,0.6,0.8,1.0,0.4,0.7337
22,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus,4,propionate+mucin,2,0.277,0.218,1.0,0.837,1.0,0.0,0.7337
23,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.259,0.208,0.8,0.83,1.0,0.2,0.7329
24,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.274,0.246,0.6,0.83,1.0,0.4,0.7323
25,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.266,0.199,0.8,0.83,1.0,0.2,0.7323
26,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus,5,propionate+mucin,2,0.312,0.225,0.8,0.84,1.0,0.2,0.7316
27,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.247,0.236,0.75,0.837,1.0,0.25,0.7315
28,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_salyersiae,4,propionate+mucin,2,0.297,0.185,1.0,0.838,1.0,0.0,0.7313
29,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_intestinalis,3,propionate+mucin,2,0.283,0.202,1.0,0.85,1.0,0.0,0.731
30,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.241,0.23,0.8,0.83,1.0,0.2,0.7309
31,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus,3,propionate+mucin,2,0.3,0.187,1.0,0.8,1.0,0.0,0.7301
32,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_dorei,3,propionate+mucin,2,0.294,0.186,1.0,0.85,1.0,0.0,0.73
33,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.277,0.238,0.6,0.83,1.0,0.4,0.7299
34,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_salyersiae; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.258,0.204,0.8,0.83,1.0,0.2,0.729
35,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.283,0.217,0.67,0.783,1.0,0.33,0.7286
36,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens,4,propionate+mucin,2,0.338,0.203,0.75,0.813,1.0,0.25,0.7285
37,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.272,0.241,0.6,0.83,1.0,0.4,0.7278
38,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Alistipes_indistinctus,3,propionate+mucin,2,0.253,0.238,1.0,0.85,1.0,0.0,0.7277
39,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_intestinalis,3,propionate+mucin,2,0.288,0.189,1.0,0.85,1.0,0.0,0.727
40,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.29,0.218,0.6,0.81,1.0,0.4,0.7267
41,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.304,0.241,0.75,0.85,1.0,0.25,0.7266
42,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_dorei,3,propionate+mucin,2,0.298,0.173,1.0,0.85,1.0,0.0,0.7261
43,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.278,0.205,0.8,0.79,0.8,0.2,0.7257
44,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.263,0.248,0.6,0.84,1.0,0.4,0.7253
45,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.287,0.203,0.67,0.783,1.0,0.33,0.7247
46,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_salyersiae,3,propionate+mucin,2,0.281,0.195,1.0,0.85,1.0,0.0,0.7245
47,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.25,0.236,0.8,0.82,0.8,0.2,0.7243
48,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.307,0.231,0.75,0.85,1.0,0.25,0.7237
49,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus,5,propionate+mucin,2,0.288,0.214,1.0,0.83,0.8,0.0,0.7236
50,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.252,0.218,0.75,0.825,1.0,0.25,0.7236
51,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis,3,propionate+mucin,2,0.28,0.193,1.0,0.85,1.0,0.0,0.7235
52,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.264,0.207,0.75,0.788,1.0,0.25,0.723
53,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_dorei; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.26,0.206,0.75,0.825,1.0,0.25,0.7229
54,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.265,0.24,0.6,0.84,1.0,0.4,0.7229
55,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei,3,propionate+mucin,2,0.291,0.177,1.0,0.85,1.0,0.0,0.7225
56,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.243,0.237,0.8,0.85,0.8,0.2,0.7224
57,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.241,0.254,0.67,0.833,1.0,0.33,0.7223
58,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis,5,propionate+mucin,2,0.281,0.215,1.0,0.86,0.8,0.0,0.7218
59,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.249,0.227,0.8,0.85,0.8,0.2,0.7218
60,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.288,0.214,0.6,0.8,1.0,0.4,0.7215
61,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei,5,propionate+mucin,2,0.288,0.206,1.0,0.86,0.8,0.0,0.7212
62,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.229,0.245,0.75,0.825,1.0,0.25,0.7211
63,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus,4,propionate+mucin,2,0.301,0.234,0.75,0.85,1.0,0.25,0.721
64,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.261,0.243,0.6,0.84,1.0,0.4,0.7208
65,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.255,0.208,0.75,0.825,1.0,0.25,0.7207
66,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens,3,propionate+mucin,2,0.335,0.218,0.67,0.817,1.0,0.33,0.7207
67,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_salyersiae,3,propionate+mucin,2,0.285,0.181,1.0,0.85,1.0,0.0,0.7205
68,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus,3,propionate+mucin,2,0.25,0.229,1.0,0.85,1.0,0.0,0.7202
69,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.26,0.244,0.6,0.83,1.0,0.4,0.7201
70,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.246,0.229,0.8,0.85,0.8,0.2,0.7201
71,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.243,0.21,0.8,0.82,1.0,0.2,0.7201
72,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_dorei; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.263,0.196,0.75,0.825,1.0,0.25,0.7199
73,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.248,0.23,0.8,0.82,0.8,0.2,0.7198
74,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.249,0.201,0.8,0.82,1.0,0.2,0.7195
75,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.252,0.219,0.8,0.85,0.8,0.2,0.7195
76,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_cellulosilyticus,5,propionate+mucin,2,0.298,0.223,0.8,0.84,1.0,0.2,0.7194
77,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.266,0.207,0.8,0.8,0.8,0.2,0.7187
78,Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.233,0.259,0.67,0.833,1.0,0.33,0.7187
79,Barnesiella_intestinihominis; Alistipes_putredinis; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,4,propionate+butyrate+mucin,3,0.25,0.213,0.75,0.825,1.0,0.25,0.7187
80,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.247,0.204,0.8,0.81,1.0,0.2,0.7185
81,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.242,0.232,0.8,0.85,0.8,0.2,0.7185
82,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Alistipes_indistinctus,4,propionate+mucin,2,0.308,0.19,1.0,0.8,0.75,0.0,0.7185
83,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.249,0.212,0.75,0.825,1.0,0.25,0.718
84,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_salyersiae,5,propionate+mucin,2,0.28,0.211,1.0,0.86,0.8,0.0,0.7179
85,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.241,0.232,0.8,0.85,0.8,0.2,0.7179
86,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.263,0.236,0.6,0.83,1.0,0.4,0.7177
87,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.239,0.238,0.8,0.83,0.8,0.2,0.7173
88,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.248,0.222,0.8,0.85,0.8,0.2,0.7173
89,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_dorei; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.257,0.2,0.75,0.825,1.0,0.25,0.7172
90,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.219,0.235,0.8,0.84,1.0,0.2,0.7171
91,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_salyersiae,3,propionate+mucin,2,0.278,0.186,1.0,0.85,1.0,0.0,0.717
92,Barnesiella_intestinihominis; Alistipes_putredinis; Butyrivibrio_crossotus,3,propionate+butyrate+mucin,3,0.263,0.22,0.67,0.8,1.0,0.33,0.7169
93,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens,3,propionate+mucin,2,0.34,0.205,0.67,0.817,1.0,0.33,0.7168
94,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus,4,propionate+mucin,2,0.274,0.228,1.0,0.837,0.75,0.0,0.7166
95,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Parabacteroides_goldsteinii,5,propionate+mucin,2,0.257,0.213,1.0,0.85,1.0,0.0,0.7164
96,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.241,0.206,0.8,0.82,1.0,0.2,0.7162
97,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.244,0.224,0.8,0.85,0.8,0.2,0.7162
98,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.291,0.23,0.5,0.8,1.0,0.5,0.7159
99,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,4,propionate+butyrate+mucin,3,0.253,0.203,0.75,0.825,1.0,0.25,0.7158
100,Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.258,0.239,0.6,0.83,1.0,0.4,0.7156
101,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.227,0.238,0.75,0.825,1.0,0.25,0.7155
102,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.232,0.239,0.8,0.86,0.8,0.2,0.7154
103,Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens,3,propionate+butyrate+mucin,3,0.238,0.245,0.67,0.833,1.0,0.33,0.7148
104,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_intestinalis; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.237,0.221,0.75,0.837,1.0,0.25,0.7148
105,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.238,0.229,0.8,0.86,0.8,0.2,0.7148
106,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.222,0.227,0.8,0.84,1.0,0.2,0.7147
107,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.276,0.216,0.6,0.81,1.0,0.4,0.7145
108,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.264,0.229,0.6,0.83,1.0,0.4,0.7144
109,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_intestinalis,4,propionate+mucin,2,0.265,0.229,1.0,0.875,0.75,0.0,0.7143
110,Barnesiella_intestinihominis; Eubacterium_eligens; Bacteroides_cellulosilyticus,3,propionate+mucin,2,0.293,0.256,0.67,0.867,1.0,0.33,0.7143
111,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.249,0.209,0.75,0.8,1.0,0.25,0.7142
112,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_dorei; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.245,0.209,0.75,0.837,1.0,0.25,0.7141
113,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,5,propionate+butyrate+mucin,3,0.24,0.227,0.8,0.85,0.8,0.2,0.714
114,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.274,0.22,0.6,0.8,1.0,0.4,0.7139
115,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_intestinalis,5,propionate+mucin,2,0.302,0.207,0.8,0.84,1.0,0.2,0.7138
116,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_dorei; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.27,0.219,0.6,0.83,1.0,0.4,0.7138
117,Barnesiella_intestinihominis; Alistipes_putredinis; Bacteroides_cellulosilyticus; Bacteroides_dorei,4,propionate+mucin,2,0.273,0.217,1.0,0.875,0.75,0.0,0.7136
118,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_siraeum,4,propionate+mucin,2,0.321,0.2,0.75,0.813,1.0,0.25,0.7132
119,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_putredinis; Eubacterium_eligens; Bacteroides_dorei,5,propionate+mucin,2,0.309,0.198,0.8,0.84,1.0,0.2,0.7132
120,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.231,0.212,0.8,0.83,1.0,0.2,0.7131
121,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_intestinalis; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.234,0.231,0.8,0.86,0.8,0.2,0.7131
122,Odoribacter_splanchnicus; Alistipes_putredinis; Intestinimonas_butyriciproducens; Bacteroides_salyersiae,4,propionate+butyrate+mucin,3,0.247,0.206,0.75,0.825,1.0,0.25,0.7131
123,Barnesiella_intestinihominis; Alistipes_putredinis; Eubacterium_siraeum; Bacteroides_cellulosilyticus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.249,0.246,0.6,0.84,1.0,0.4,0.7131
124,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Butyrivibrio_crossotus,3,propionate+butyrate+mucin,3,0.268,0.207,0.67,0.8,1.0,0.33,0.713
125,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Intestinimonas_butyriciproducens,4,propionate+butyrate+mucin,3,0.294,0.22,0.5,0.8,1.0,0.5,0.713
126,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.237,0.232,0.8,0.83,0.8,0.2,0.7127
127,Odoribacter_splanchnicus; Alistipes_putredinis; Bacteroides_cellulosilyticus; Intestinimonas_butyriciproducens; Parabacteroides_goldsteinii,5,propionate+butyrate+mucin,3,0.217,0.229,0.8,0.84,1.0,0.2,0.7126
128,Barnesiella_intestinihominis; Eubacterium_eligens; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.246,0.25,0.6,0.83,1.0,0.4,0.7125
129,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Alistipes_indistinctus; Bacteroides_dorei; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.238,0.203,0.8,0.83,1.0,0.2,0.7125
130,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Bacteroides_cellulosilyticus; Bacteroides_dorei; Butyrivibrio_crossotus,5,propionate+butyrate+mucin,3,0.241,0.221,0.8,0.86,0.8,0.2,0.7125
131,Barnesiella_intestinihominis; Bacteroides_cellulosilyticus; Alistipes_indistinctus; Butyrivibrio_crossotus,4,propionate+butyrate+mucin,3,0.215,0.248,0.75,0.837,1.0,0.25,0.7124
132,Barnesiella_intestinihominis; Odoribacter_splanchnicus; Eubacterium_eligens; Bacteroides_intestinalis; Intestinimonas_butyriciproducens,5,propionate+butyrate+mucin,3,0.267,0.221,0.6,0.83,1.0,0.4,0.7121
