combination_id,formulation_blocks,strains,total_strain_count,target_population,source_strain_ids,evidence_summary,evidence_doi_list,evidence_pmid_list,safety_gate,functional_modules,clinical_evidence_score,combination_design_score,synergy_score,split_evidence_penalty,original_formulation_recovery_score,complementarity_score,microbiome_matching_score,predicted_response_score,literature_evidence_score,ranking_type,hypothesis_priority,safety_eligible_for_validation,validation_priority,recommended_prebiotic,notes,predicted_response_probability,response_model_level,response_model_source,response_model_pmids_used
MR3TO5_011,FORM_BBR60; FORM_BN202M; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve BBr60; Lactiplantibacillus plantarum BELP53,5,overweight/obesity; lipid-risk subgroup; glucose-risk subgroup,LF_K7; LF_K8; LF_K11; BB_BBr60; LPL_BELP53,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38999741; 39456659,,37447365; 38999741; 39456659,pending_genome_safety_gate,BMI; SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid_metabolism; waist; weight,5.01,8.64,8.80,0.45,7.50,9.50,10.00,,5.01,preclinical_hypothesis_not_response_probability,7.01,no,,FOS/GOS optional; acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_012,FORM_BC99; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bacillus coagulans BC99,5,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BC_BC99,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 39051504; 40416368,,37447365; 39051504; 40416368,pending_genome_safety_gate,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; microbiome_shift; spore_former; waist; weight; weight_subgroup,5.32,8.35,7.50,0.00,7.50,8.50,10.00,,5.32,preclinical_hypothesis_not_response_probability,6.99,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_013,FORM_BN202M; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Lacticaseibacillus paracasei BEPC22,5,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; LP_BEPC22,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38999741; 39051504,,37447365; 38999741; 39051504,pending_genome_safety_gate,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; waist; weight,5.26,8.35,9.00,0.45,7.50,8.50,10.00,,5.26,preclinical_hypothesis_not_response_probability,6.96,no,,FOS/GOS optional; acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_014,FORM_BN202M; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Lactiplantibacillus plantarum BELP53,5,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; LPL_BELP53,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38999741; 39051504,,37447365; 38999741; 39051504,pending_genome_safety_gate,BMI; SCFA_network; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; waist; weight,5.26,8.35,9.00,0.45,7.50,8.50,10.00,,5.26,preclinical_hypothesis_not_response_probability,6.96,no,,FOS/GOS optional; acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_015,FORM_BB536_MCC1274; FORM_BN202M; FORM_IDCC4301,Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536; Bifidobacterium breve MCC1274; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,BL_IDCC4301; BL_BB536; BB_MCC1274; LP_BEPC22; LPL_BELP53,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 38542727; 38999741; 39051504,,38542727; 38999741; 39051504,pending_genome_safety_gate,SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; lipid; lipid_metabolism; visceral_fat,3.55,9.73,9.70,0.00,10.00,9.50,10.00,,3.55,preclinical_hypothesis_not_response_probability,6.95,no,,FOS/GOS optional; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_016,FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536,4,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727,,37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.37,8.18,9.00,0.45,7.50,8.00,10.00,,5.37,preclinical_hypothesis_not_response_probability,6.91,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_017,FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274,4,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BB_MCC1274,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727,,37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.37,8.18,9.00,0.45,7.50,8.00,10.00,,5.37,preclinical_hypothesis_not_response_probability,6.91,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_018,FORM_BB536_MCC1274; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium longum BB536,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BL_BB536,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.32,8.18,9.00,0.45,7.50,8.00,10.00,,5.32,preclinical_hypothesis_not_response_probability,6.89,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_019,FORM_BB536_MCC1274; FORM_IDCC4301; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium lactis IDCC 4301; Bifidobacterium breve MCC1274,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_IDCC4301; BB_MCC1274,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 39051504,,37447365; 38542727; 39051504,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; visceral_fat; waist; weight,5.32,8.18,9.00,0.45,7.50,8.00,10.00,,5.32,preclinical_hypothesis_not_response_probability,6.89,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_020,FORM_BB536_MCC1274; FORM_BC99; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bacillus coagulans BC99,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536; BC_BC99,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 40416368,,37447365; 38542727; 40416368,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; microbiome_shift; spore_former; visceral_fat; waist; weight; weight_subgroup,4.59,8.70,9.00,0.45,7.50,9.50,10.00,,4.59,preclinical_hypothesis_not_response_probability,6.85,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_021,FORM_BB536_MCC1274; FORM_BC99; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Bacillus coagulans BC99,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BB_MCC1274; BC_BC99,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38542727; 40416368,,37447365; 38542727; 40416368,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; lipid; microbiome_shift; spore_former; visceral_fat; waist; weight; weight_subgroup,4.59,8.70,9.00,0.45,7.50,9.50,10.00,,4.59,preclinical_hypothesis_not_response_probability,6.85,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; none specified,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_022,FORM_BN202M; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,5,overweight/obesity; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; LP_BEPC22; LPL_BELP53,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 37447365; 38999741,,37447365; 38999741,pending_genome_safety_gate,BMI; SCFA_network; body_fat; carbohydrate_utilization; cross_feeding; lipid_metabolism; waist; weight,5.13,8.20,6.90,0.00,10.00,7.50,10.00,,5.13,preclinical_hypothesis_not_response_probability,6.82,no,,FOS/GOS optional; acacia gum optional; probiotic arm strongest without synbiotic advantage,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_023,FORM_BBR60; FORM_BN202M; FORM_IDCC4301,Bifidobacterium lactis IDCC 4301; Bifidobacterium breve BBr60; Lacticaseibacillus paracasei BEPC22; Lactiplantibacillus plantarum BELP53,4,overweight/obesity; lipid-risk subgroup; glucose-risk subgroup,BL_IDCC4301; BB_BBr60; LP_BEPC22; LPL_BELP53,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 38999741; 39051504; 39456659,,38999741; 39051504; 39456659,pending_genome_safety_gate,SCFA_network; amino_acid_metabolism; bifidobacterium_niche; body_fat; carbohydrate_utilization; cross_feeding; glucose; lipid; lipid_metabolism; weight,3.66,9.39,9.80,0.00,7.50,9.50,10.00,,3.66,preclinical_hypothesis_not_response_probability,6.81,no,,FOS/GOS optional; inulin/FOS optional,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_024,FORM_B420_LU; FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium longum BB536; Bifidobacterium animalis subsp. lactis B420,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BL_BB536; BL_B420,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,4.93,8.33,9.00,0.45,7.50,9.00,10.00,,4.93,preclinical_hypothesis_not_response_probability,6.80,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_025,FORM_B420_LU; FORM_BB536_MCC1274; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium breve MCC1274; Bifidobacterium animalis subsp. lactis B420,5,overweight/obesity; visceral fat accumulation; lipid-risk subgroup,LF_K7; LF_K8; LF_K11; BB_MCC1274; BL_B420,5-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 27810310; 37447365; 38542727,,27810310; 37447365; 38542727,pending_genome_safety_gate,BMI; SCFA_network; barrier; bifidobacterium_niche; body_fat; carbohydrate_utilization; fiber_response; lipid; visceral_fat; waist; weight,4.93,8.33,9.00,0.45,7.50,9.00,10.00,,4.93,preclinical_hypothesis_not_response_probability,6.80,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; inulin/FOS optional; polydextrose/Litesse Ultra,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
MR3TO5_026,FORM_B420_LU; FORM_LF_K7_K8_K11,Lactobacillus fermentum K7; Lactobacillus fermentum K8; Lactobacillus fermentum K11; Bifidobacterium animalis subsp. lactis B420,4,overweight/obesity,LF_K7; LF_K8; LF_K11; BL_B420,4-strain recombined candidate; combination evidence is discounted unless original tested companions are retained; PMIDs 27810310; 37447365,,27810310; 37447365,pending_genome_safety_gate,BMI; SCFA_network; barrier; body_fat; carbohydrate_utilization; fiber_response; waist; weight,5.80,7.58,6.20,0.00,7.50,8.00,10.00,,5.80,preclinical_hypothesis_not_response_probability,6.78,no,,acacia gum optional; probiotic arm strongest without synbiotic advantage; polydextrose/Litesse Ultra,"Recombination allowed: split members carry discounted evidence; synergy favors complementary functions, cross-feeding, fiber response, and retained tested companions. Genome AMR/virulence/MGE safety gate still required.",,no_matching_model_evidence,,
