evidence_id,source_database,source_accession,title,sample_size_hint,duration_hint,cfu_hint,dose_hint,bmi_hint,p_value_hint,intervention_hint,primary_outcome_hint,body_weight_effect_hint,bmi_effect_hint,waist_effect_hint,body_fat_effect_hint,glucose_effect_hint,lipid_effect_hint,microbiome_effect_hint,manual_extraction_note
EUROPEPMC:38072119,PubMed,38072119,Effect of Probiotic Supplementation on Intestinal Permeability in Overweight and Obesity: A Systematic Review of Randomized Controlled Trials and Animal Studies.,n = 13; n = 1,,,,,,,,"Overweight and obesity are associated with increased intestinal permeability, characterized by loss of gut epithelial integrity, resulting in unregulated passage of lipopolysaccharide (LPS) and other inflammatory triggers into circulation, i.e., metabolic endotoxemia.",,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT06305650,ClinicalTrials.gov,NCT06305650,Probiotic Influence on Obesity-Related Lipidemia,72,,,,,,Probiotic,Effect on body mass index (BMI) values.,,,,,,,,Review source text before entering numeric values into final tables.
PMID:38999802,PubMed,38999802,"Preoperative Multistrain Probiotic Supplementation Does Not Affect Body Weight Changes or Cardiometabolic Risk Factors in Bariatrics: Randomized, Double-Blind, Placebo-Controlled Clinical Trial.",48 patients,12-week; 6 months,,,,,,,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT05908474,ClinicalTrials.gov,NCT05908474,"The Effects of io Fibrewater Supplementation on Gut Health, Immunity and Metabolism in Overweight Adults",30,,,,,,Enriched fibre water,Anthropometric measurements,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT06030999,ClinicalTrials.gov,NCT06030999,The Prevention And Treatment On Obesity And Weight Management By Oral Supplementation Of Probiotics And Prebiotics,150,,,,,,Study product A (Wonderlab wonder4shape); Study product B (Wonderlab wonder4shape); Study product C (placebo),Change of Weight,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT06035718,ClinicalTrials.gov,NCT06035718,Effect of Transcranial Direct Current Stimulation (tDCS) and Probiotic Supplementation in Overweight Adults,60,,,,,,Probiotic Blend Capsule; tDCS; Sham tDCS,"Body analysis test; Impulsive Behavior Scale Questionnaire measuring Urgency, Premeditation (lack of), Perseverance (lack of), and Sensation seeking (UPPS); Eating attitudes Test (EAT-26); Balloon analogue risk task (BART); Tangney self-control questionnaire (Form 36)",,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07448220,ClinicalTrials.gov,NCT07448220,Study on the Efficacy of Probiotics in the Treatment of Childhood Obesity and Their Effects on Gut Microbiota,60,,,,,,Probiotic; Placebo,Body Mass Index (BMI) percentile in children upon administration of probiotics or placebo as assessed anthropometrically,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07452757,ClinicalTrials.gov,NCT07452757,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers,140,,,,,,Arm II; Arm III; Arm IV,Change in Body Weight,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,,Review source text before entering numeric values into final tables.
NCT:NCT05002153,ClinicalTrials.gov,NCT05002153,The Role of Microbiome in Recurrent Obesity,300,,,,,,Fecal microbiota transplantation (FMT); Placebo,Microbiome Profiling; Reaching Target Weight,,,,,,,,Review source text before entering numeric values into final tables.
PMID:36435795,PubMed,36435795,"The effect of ""moderately restricted carbohydrate"" diet on gut microbiota composition and metabolic parameters in women with metabolic syndrome: a study protocol for a randomized controlled trial.",,3 months; 6 months,,,,,,,"After following up study subjects in this duration, all dependent variables will be examined again to assess their stability over this period.; To the best of our knowledge, this is the first randomized controlled trial investigating the effects of a moderately restricted carbohydrate diet on gut microbiota composition and several metabolic parameters during the weight loss and maintenance phases in women with MetS.; Iranian Registry of Clinical Trials ( www.irct.ir , IRCT20210307050621N1).",,,,,,"After following up study subjects in this duration, all dependent variables will be examined again to assess their stability over this period.; To the best of our knowledge, this is the first randomized controlled trial investigating the effects of a moderately restricted carbohydrate diet on gut microbiota composition and several metabolic parameters during the weight loss and maintenance phases in women with MetS.; Iranian Registry of Clinical Trials ( www.irct.ir , IRCT20210307050621N1).",Review source text before entering numeric values into final tables.
EUROPEPMC:35126309,PubMed,35126309,Efficacy and Safety of,81 adults,12 weeks; 12-week,,34.4 mg; 30.9 mg; 37.5 mg; 30.7 mg; 115.8 mg; 65.9 mg,,P = 0.037,,,"Changes in body fat, anthropometric parameters, and biomarkers of obesity were compared using a linear mixed-effect model.; After 12 weeks of treatment, body weight, fat mass, and abdominal fat area did not change significantly in the two groups.",,,"Changes in body fat, anthropometric parameters, and biomarkers of obesity were compared using a linear mixed-effect model.; After 12 weeks of treatment, body weight, fat mass, and abdominal fat area did not change significantly in the two groups.",,"However, total cholesterol levels decreased from 209.4 ± 34.4 mg/dL to 203.5 ± 30.9 mg/dL in the LPK group, but increased from 194.7 ± 37.5 mg/dL to 199.9 ± 30.7 mg/dL in the placebo group (P = 0.037).","It also changed the distribution of gut microbiota significantly, with an increase in L.",Review source text before entering numeric values into final tables.
NCT:NCT05459909,ClinicalTrials.gov,NCT05459909,The Effect of Synbiotic and Diet Modification Among Overweight or Obese Hong Kong Chinese,100,,,,,,Synbiotic supplementation; Dietary intervention,Change in body weight at week 8 compared with baseline; Change in Body Mass Index (BMI) at week 8 compared with baseline; Change in body fat percentage at week 8 compared with baseline,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT03749291,ClinicalTrials.gov,NCT03749291,Motivational Intervention on the Gut Microbiota of Obese Children,219,,,,,,Obemat2.0 therapy; Usual Clinical Practice,Fecal microbial diversity (diversity index like Gini-Simpson),,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT05664321,ClinicalTrials.gov,NCT05664321,Influence of Adiposity and Other Factors on the Gut Microbiota Composition,92,,,,,,"Observational, case-control study",Correlations between gut flora by type of meat intake in total participants,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT04201938,ClinicalTrials.gov,NCT04201938,Effect of Probiotic Co-administration With Omega-3 Fatty Acids on Obesity Parameters and Insulin Resistance,56,,,,,,Symbiter-Omega; Placebo,HOMA-2IR; insulin sensitivity (%S),,,,,,,,Review source text before entering numeric values into final tables.
PMID:29688793,PubMed,29688793,"Lactobacillus gasseri BNR17 Supplementation Reduces the Visceral Fat Accumulation and Waist Circumference in Obese Adults: A Randomized, Double-Blind, Placebo-Controlled Trial.",,12 weeks; 12-week,109 CFU/day; 1010 CFU/day,,,P = .038; P = .012; P = .045,,,Animal studies reported that BNR17 inhibited increases in body weight and adipose tissue weights.,"Body weight, BMI, waist and hip circumferences, waist-to-hip ratio, abdominal adipose tissue areas, body fat mass, lean body mass, and biochemical parameters were assessed at the beginning and end of the trial.","Lactobacillus gasseri BNR17 Supplementation Reduces the Visceral Fat Accumulation and Waist Circumference in Obese Adults: A Randomized, Double-Blind, Placebo-Controlled Trial.","Lactobacillus gasseri BNR17 Supplementation Reduces the Visceral Fat Accumulation and Waist Circumference in Obese Adults: A Randomized, Double-Blind, Placebo-Controlled Trial.",,,,Review source text before entering numeric values into final tables.
NCT:NCT02958644,ClinicalTrials.gov,NCT02958644,Effect of Synbiotic Supplement on the Body Mass Index of Participants With Severe Obesity,180,,,,,,Synbiotics; Placebo,Body mass index,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT03135041,ClinicalTrials.gov,NCT03135041,The Effect of Prebiotic Fibres on Weight Loss in an Overweight and Obese Population,117,,,,,,Fiber-containing dietary supplement; Placebo,Weight loss,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT03266055,ClinicalTrials.gov,NCT03266055,Effects of Blueberry on Gut Microbiota and Metabolic Syndrome,59,8 weeks,,50 g; 50g,,,"50 g of blueberry powder, taken daily for 8 weeks; 50g of placebo blueberry powder, taken daily for 8 weeks",Changes in plasma insulin/glucose of overweight/obese men and women taking either blueberry powder or placebo blueberry powder; Changes in plasma lipids/lipoproteins of overweight/obese men and women taking either blueberry powder or placebo blueberry powder,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT03287726,ClinicalTrials.gov,NCT03287726,What is the Impact of Probiotics on Weight Loss Maintenance in Individuals With Obesity?,76,,,,,,probiotics; placebo,body composition,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT03883191,ClinicalTrials.gov,NCT03883191,Effect of a Three Combined Probiotics Supplementation on Weight Loss in Obese/Overweight Children,82,,,,,,"L. rhamnosus bv-77, B. animalis subsp. lactis CP-9 and L. salivarius AP-32 mix probiotics powder; Placebo",Change in the body mass index (BMI) after intervention; Change in the waist circumference after intervention; Change in the body fat after intervention; Change in the blood pressure after intervention; Change in the blood sugar and blood lipids after intervention; Change in the liver function after intervention,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT02127125,ClinicalTrials.gov,NCT02127125,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),69,,,,,,Maltodextrin; Synbiotic; Sevelamer,Insulin Sensitivity,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT01870544,ClinicalTrials.gov,NCT01870544,"Does Weight Loss Surgery and Probiotic Supplementation Lead to a ""Lean"" Gut Microbiota?",18,,,,,,Lactobacillus Rhamnosus GG; Placebo,Weight Loss,,,,,,,,Review source text before entering numeric values into final tables.
PMID:23560206,PubMed,23560206,"Effect of Lactobacillus gasseri BNR17 on Overweight and Obese Adults: A Randomized, Double-Blind Clinical Trial.",57 participants,12 weeks,,100 mg,,,,,"The subjects assumed usual daily activities without having to make behavioral or dietary modifications during the course of the study.; At the 12th week, a slight reduction in body weight was noted in the BNR17 group, but there were no significant weight changes between groups.",,Decrease of waist and hip circumferences in the BNR17 group was more pronounced than those in the placebo group.,,,,,Review source text before entering numeric values into final tables.
NCT:NCT01650025,ClinicalTrials.gov,NCT01650025,"Effects of VSL#3 on Metabolic, Endocrine, Lipidomic and Inflammatory Parameters of Pediatric Patients With BMI>90°",48,,,,BMI>90,,VSL#3 active probiotic; VSL#3 placebo,"Evaluate the effects of VSL#3 on metabolic, endocrine, lipidomic, metabolomic and inflammatory markers and microbiota variation of pediatric patients with BMI>90°",,,,,,,,Review source text before entering numeric values into final tables.
