candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date,file
ASSEMBLY:GCF_052377865.1,Akkermansia muciniphila,NCBI Genome,GCF_052377865.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052377865.1/,Akkermansia muciniphila (verrucomicrobia),ASM5237786v1,Complete Genome,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057596325.1,Akkermansia muciniphila,NCBI Genome,GCA_057596325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057596325.1/,Akkermansia muciniphila (verrucomicrobia),ASM5759632v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057445035.1,Akkermansia muciniphila,NCBI Genome,GCA_057445035.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057445035.1/,Akkermansia muciniphila (verrucomicrobia),ASM5744503v1,Contig,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057436535.1,Akkermansia muciniphila,NCBI Genome,GCA_057436535.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057436535.1/,Akkermansia muciniphila (verrucomicrobia),ASM5743653v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057433575.1,Akkermansia muciniphila,NCBI Genome,GCA_057433575.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057433575.1/,Akkermansia muciniphila (verrucomicrobia),ASM5743357v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057431835.1,Akkermansia muciniphila,NCBI Genome,GCA_057431835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057431835.1/,Akkermansia muciniphila (verrucomicrobia),ASM5743183v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057429295.1,Akkermansia muciniphila,NCBI Genome,GCA_057429295.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057429295.1/,Akkermansia muciniphila (verrucomicrobia),ASM5742929v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057424765.1,Akkermansia muciniphila,NCBI Genome,GCA_057424765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057424765.1/,Akkermansia muciniphila (verrucomicrobia),ASM5742476v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057423575.1,Akkermansia muciniphila,NCBI Genome,GCA_057423575.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057423575.1/,Akkermansia muciniphila (verrucomicrobia),ASM5742357v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057422655.1,Akkermansia muciniphila,NCBI Genome,GCA_057422655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057422655.1/,Akkermansia muciniphila (verrucomicrobia),ASM5742265v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057422315.1,Akkermansia muciniphila,NCBI Genome,GCA_057422315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057422315.1/,Akkermansia muciniphila (verrucomicrobia),ASM5742231v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057421395.1,Akkermansia muciniphila,NCBI Genome,GCA_057421395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057421395.1/,Akkermansia muciniphila (verrucomicrobia),ASM5742139v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057054205.1,Akkermansia muciniphila,NCBI Genome,GCA_057054205.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057054205.1/,Akkermansia muciniphila (verrucomicrobia),ASM5705420v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057053365.1,Akkermansia muciniphila,NCBI Genome,GCA_057053365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057053365.1/,Akkermansia muciniphila (verrucomicrobia),ASM5705336v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057052385.1,Akkermansia muciniphila,NCBI Genome,GCA_057052385.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057052385.1/,Akkermansia muciniphila (verrucomicrobia),ASM5705238v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057050965.1,Akkermansia muciniphila,NCBI Genome,GCA_057050965.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057050965.1/,Akkermansia muciniphila (verrucomicrobia),ASM5705096v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057050765.1,Akkermansia muciniphila,NCBI Genome,GCA_057050765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057050765.1/,Akkermansia muciniphila (verrucomicrobia),ASM5705076v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057047785.1,Akkermansia muciniphila,NCBI Genome,GCA_057047785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057047785.1/,Akkermansia muciniphila (verrucomicrobia),ASM5704778v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057046025.1,Akkermansia muciniphila,NCBI Genome,GCA_057046025.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057046025.1/,Akkermansia muciniphila (verrucomicrobia),ASM5704602v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056980815.1,Akkermansia muciniphila,NCBI Genome,GCA_056980815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056980815.1/,Akkermansia muciniphila (verrucomicrobia),ASM5698081v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056979515.1,Akkermansia muciniphila,NCBI Genome,GCA_056979515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056979515.1/,Akkermansia muciniphila (verrucomicrobia),ASM5697951v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056974775.1,Akkermansia muciniphila,NCBI Genome,GCA_056974775.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056974775.1/,Akkermansia muciniphila (verrucomicrobia),ASM5697477v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056973855.1,Akkermansia muciniphila,NCBI Genome,GCA_056973855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056973855.1/,Akkermansia muciniphila (verrucomicrobia),ASM5697385v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056967315.1,Akkermansia muciniphila,NCBI Genome,GCA_056967315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056967315.1/,Akkermansia muciniphila (verrucomicrobia),ASM5696731v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056966435.1,Akkermansia muciniphila,NCBI Genome,GCA_056966435.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056966435.1/,Akkermansia muciniphila (verrucomicrobia),ASM5696643v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056962835.1,Akkermansia muciniphila,NCBI Genome,GCA_056962835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056962835.1/,Akkermansia muciniphila (verrucomicrobia),ASM5696283v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056960975.1,Akkermansia muciniphila,NCBI Genome,GCA_056960975.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056960975.1/,Akkermansia muciniphila (verrucomicrobia),ASM5696097v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056959015.1,Akkermansia muciniphila,NCBI Genome,GCA_056959015.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056959015.1/,Akkermansia muciniphila (verrucomicrobia),ASM5695901v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056880275.1,Akkermansia muciniphila,NCBI Genome,GCA_056880275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056880275.1/,Akkermansia muciniphila (verrucomicrobia),ASM5688027v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056877155.1,Akkermansia muciniphila,NCBI Genome,GCA_056877155.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056877155.1/,Akkermansia muciniphila (verrucomicrobia),ASM5687715v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056875815.1,Akkermansia muciniphila,NCBI Genome,GCA_056875815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056875815.1/,Akkermansia muciniphila (verrucomicrobia),ASM5687581v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056874655.1,Akkermansia muciniphila,NCBI Genome,GCA_056874655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056874655.1/,Akkermansia muciniphila (verrucomicrobia),ASM5687465v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056821325.1,Akkermansia muciniphila,NCBI Genome,GCA_056821325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056821325.1/,Akkermansia muciniphila (verrucomicrobia),ASM5682132v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056819105.1,Akkermansia muciniphila,NCBI Genome,GCA_056819105.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056819105.1/,Akkermansia muciniphila (verrucomicrobia),ASM5681910v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056817605.1,Akkermansia muciniphila,NCBI Genome,GCA_056817605.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056817605.1/,Akkermansia muciniphila (verrucomicrobia),ASM5681760v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056817105.1,Akkermansia muciniphila,NCBI Genome,GCA_056817105.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056817105.1/,Akkermansia muciniphila (verrucomicrobia),ASM5681710v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056815615.1,Akkermansia muciniphila,NCBI Genome,GCA_056815615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056815615.1/,Akkermansia muciniphila (verrucomicrobia),ASM5681561v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056814055.1,Akkermansia muciniphila,NCBI Genome,GCA_056814055.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056814055.1/,Akkermansia muciniphila (verrucomicrobia),ASM5681405v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056811005.1,Akkermansia muciniphila,NCBI Genome,GCA_056811005.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056811005.1/,Akkermansia muciniphila (verrucomicrobia),ASM5681100v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_056804315.1,Akkermansia muciniphila,NCBI Genome,GCA_056804315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056804315.1/,Akkermansia muciniphila (verrucomicrobia),ASM5680431v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCF_047716595.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716595.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716595.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771659v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716585.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716585.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716585.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771658v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716195.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716195.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716195.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771619v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716185.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716185.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771618v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716175.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716175.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716175.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771617v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716145.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716145.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771614v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716135.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716135.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771613v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716125.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716125.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771612v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716085.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716085.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771608v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716095.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716095.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716095.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771609v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
ASSEMBLY:GCF_047716075.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716075.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771607v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_bifidobacterium_animalis_lactis_candidates.csv
