candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCF_056530455.1,Lactobacillus fermentum,NCBI Genome,GCF_056530455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056530455.1/,Limosilactobacillus fermentum (firmicutes),ASM5653045v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_050847325.1,Lactobacillus fermentum,NCBI Genome,GCF_050847325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050847325.1/,Limosilactobacillus fermentum (firmicutes),ASM5084732v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_050032855.1,Lactobacillus fermentum,NCBI Genome,GCF_050032855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050032855.1/,Limosilactobacillus fermentum (firmicutes),ASM5003285v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049532745.1,Lactobacillus fermentum,NCBI Genome,GCF_049532745.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049532745.1/,Limosilactobacillus fermentum (firmicutes),ASM4953274v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_048833695.1,Lactobacillus fermentum,NCBI Genome,GCF_048833695.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_048833695.1/,Limosilactobacillus fermentum (firmicutes),ASM4883369v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_046603985.1,Lactobacillus fermentum,NCBI Genome,GCF_046603985.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_046603985.1/,Limosilactobacillus fermentum (firmicutes),ASM4660398v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_046603855.1,Lactobacillus fermentum,NCBI Genome,GCF_046603855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_046603855.1/,Limosilactobacillus fermentum (firmicutes),ASM4660385v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_045786175.1,Lactobacillus fermentum,NCBI Genome,GCF_045786175.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_045786175.1/,Limosilactobacillus fermentum (firmicutes),ASM4578617v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_045272275.1,Lactobacillus fermentum,NCBI Genome,GCF_045272275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_045272275.1/,Limosilactobacillus fermentum (firmicutes),ASM4527227v1,Chromosome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_963237045.1,Lactobacillus fermentum,NCBI Genome,GCF_963237045.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_963237045.1/,Limosilactobacillus fermentum (firmicutes),LfIMDOTC9L10_assembly,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_044341635.1,Lactobacillus fermentum,NCBI Genome,GCF_044341635.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_044341635.1/,Limosilactobacillus fermentum (firmicutes),ASM4434163v1,Chromosome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_044336565.1,Lactobacillus fermentum,NCBI Genome,GCA_044336565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_044336565.1/,Limosilactobacillus fermentum (firmicutes),ASM4433656v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_043950145.1,Lactobacillus fermentum,NCBI Genome,GCF_043950145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_043950145.1/,Limosilactobacillus fermentum (firmicutes),ASM4395014v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_042434925.1,Lactobacillus fermentum,NCBI Genome,GCA_042434925.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_042434925.1/,Limosilactobacillus fermentum (firmicutes),ASM4243492v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_041200135.1,Lactobacillus fermentum,NCBI Genome,GCF_041200135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_041200135.1/,Limosilactobacillus fermentum (firmicutes),ASM4120013v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040790835.1,Lactobacillus fermentum,NCBI Genome,GCF_040790835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040790835.1/,Limosilactobacillus fermentum (firmicutes),ASM4079083v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040267735.1,Lactobacillus fermentum,NCBI Genome,GCF_040267735.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040267735.1/,Limosilactobacillus fermentum (firmicutes),ASM4026773v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040235315.1,Lactobacillus fermentum,NCBI Genome,GCF_040235315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040235315.1/,Limosilactobacillus fermentum (firmicutes),ASM4023531v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_036784755.1,Lactobacillus fermentum,NCBI Genome,GCF_036784755.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036784755.1/,Limosilactobacillus fermentum (firmicutes),ASM3678475v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057658285.1,Lactobacillus fermentum,NCBI Genome,GCF_057658285.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057658285.1/,Limosilactobacillus fermentum (firmicutes),ASM5765828v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057368655.1,Lactobacillus fermentum,NCBI Genome,GCF_057368655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057368655.1/,Limosilactobacillus fermentum (firmicutes),ASM5736865v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_057269615.1,Lactobacillus fermentum,NCBI Genome,GCA_057269615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057269615.1/,Limosilactobacillus fermentum (firmicutes),ASM5726961v1,Scaffold,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056783175.1,Lactobacillus fermentum,NCBI Genome,GCF_056783175.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056783175.1/,Limosilactobacillus fermentum (firmicutes),ASM5678317v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056782515.1,Lactobacillus fermentum,NCBI Genome,GCF_056782515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056782515.1/,Limosilactobacillus fermentum (firmicutes),ASM5678251v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982400935.1,Lactobacillus fermentum,NCBI Genome,GCA_982400935.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982400935.1/,Limosilactobacillus fermentum (firmicutes),DRR127685_bin_14095,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982395445.1,Lactobacillus fermentum,NCBI Genome,GCA_982395445.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982395445.1/,Limosilactobacillus fermentum (firmicutes),DRR127537_bin_55,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056585915.1,Lactobacillus fermentum,NCBI Genome,GCF_056585915.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056585915.1/,Limosilactobacillus fermentum (firmicutes),ASM5658591v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056585895.1,Lactobacillus fermentum,NCBI Genome,GCF_056585895.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056585895.1/,Limosilactobacillus fermentum (firmicutes),ASM5658589v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056585875.1,Lactobacillus fermentum,NCBI Genome,GCF_056585875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056585875.1/,Limosilactobacillus fermentum (firmicutes),ASM5658587v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056270405.1,Lactobacillus fermentum,NCBI Genome,GCF_056270405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056270405.1/,Limosilactobacillus fermentum (firmicutes),ASM5627040v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982338185.1,Lactobacillus fermentum,NCBI Genome,GCA_982338185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982338185.1/,Limosilactobacillus fermentum (firmicutes),ERR14205122_bin_25,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982254185.1,Lactobacillus fermentum,NCBI Genome,GCA_982254185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982254185.1/,Limosilactobacillus fermentum (firmicutes),ERR14134543_bin_12816,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982253795.1,Lactobacillus fermentum,NCBI Genome,GCA_982253795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982253795.1/,Limosilactobacillus fermentum (firmicutes),ERR14141080_bin_27377,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982247125.1,Lactobacillus fermentum,NCBI Genome,GCA_982247125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982247125.1/,Limosilactobacillus fermentum (firmicutes),ERR14129702_bin_8213,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055793385.1,Lactobacillus fermentum,NCBI Genome,GCF_055793385.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055793385.1/,Limosilactobacillus fermentum (firmicutes),ASM5579338v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055764335.1,Lactobacillus fermentum,NCBI Genome,GCF_055764335.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055764335.1/,Limosilactobacillus fermentum (firmicutes),ASM5576433v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055754795.1,Lactobacillus fermentum,NCBI Genome,GCF_055754795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055754795.1/,Limosilactobacillus fermentum (firmicutes),ASM5575479v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055700135.1,Lactobacillus fermentum,NCBI Genome,GCF_055700135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055700135.1/,Limosilactobacillus fermentum (firmicutes),ASM5570013v1,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_981819685.1,Lactobacillus fermentum,NCBI Genome,GCA_981819685.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_981819685.1/,Limosilactobacillus fermentum (firmicutes),ERR14205987_bin_10577,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_981436545.1,Lactobacillus fermentum,NCBI Genome,GCA_981436545.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_981436545.1/,Limosilactobacillus fermentum (firmicutes),SRR30861113_bin_27973,Contig,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
