genus,bsh_potential,butyrate_scfa_potential,propionate_potential,mucin_interaction,lactate_acetate,metabolic_guild,adverse_mechanism_flag,obesity_mechanism,functional_provenance
Asaccharobacter,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacillus,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Bacteroides,1,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Barnesiella,0,0,2,1,0,propionate_producer; mucin_interaction,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bifidobacterium,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Bilophila,0,0,0,0,0,uncharacterized,sulfate_reducer_H2S_proinflammatory,PRO-INFLAMMATORY metabolite producer (unfavorable - do not supplement),genus-level comparative-genomics prior (NOT de-novo annotation)
Blautia,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Butyricimonas,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Butyrivibrio,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Catenibacterium,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Clostridium,1,0,0,0,0,uncharacterized,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Collinsella,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Coprobacillus,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Coprobacter,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Coprococcus,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Desulfovibrio,0,0,0,0,0,uncharacterized,sulfate_reducer_H2S_proinflammatory,PRO-INFLAMMATORY metabolite producer (unfavorable - do not supplement),genus-level comparative-genomics prior (NOT de-novo annotation)
Desulfovibrionaceae,0,0,0,0,0,uncharacterized,sulfate_reducer_H2S_proinflammatory,PRO-INFLAMMATORY metabolite producer (unfavorable - do not supplement),genus-level comparative-genomics prior (NOT de-novo annotation)
Dialister,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Dielma,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Dorea,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Eggerthella,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Eisenbergiella,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Enorma,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Enterorhabdus,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Erysipelatoclostridium,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Escherichia,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Eubacterium,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Faecalibacterium,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Faecalitalea,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Firmicutes,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Flavonifractor,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Fretibacterium,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Fusicatenibacter,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Gemella,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Gemmiger,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Gordonibacter,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Haemophilus,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Holdemanella,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Holdemania,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Hungatella,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Intestinibacter,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Intestinimonas,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Klebsiella,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Lachnospira,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Lacticaseibacillus,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactiplantibacillus,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactobacillus,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lactococcus,1,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Lawsonibacter,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Limosilactobacillus,2,0,0,0,2,lactate_acetate,,bile salt hydrolase -> cholesterol/lipid lowering (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Megamonas,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Methanobrevibacter,0,0,0,0,0,methanogen_h2_sink,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Mogibacterium,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Monoglobus,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Odoribacter,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Olsenella,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Oscillibacter,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Parabacteroides,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Paraprevotella,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Parasutterella,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Pediococcus,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Phascolarctobacterium,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Prevotella,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Proteobacteria,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Pseudoflavonifractor,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Romboutsia,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Roseburia,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Rothia,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Ruminococcaceae,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Ruminococcus,0,0,0,1,0,mucin_interaction,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Ruthenibacterium,0,2,0,0,0,butyrate_producer,,"SCFA/butyrate -> barrier, GLP-1, energy regulation (favorable)",genus-level comparative-genomics prior (NOT de-novo annotation)
Saccharomyces,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Sellimonas,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Slackia,0,0,0,0,0,polyphenol_equol_metabolism,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Streptococcus,0,0,0,0,2,lactate_acetate,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Turicibacter,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
Turicimonas,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Veillonella,0,0,2,0,0,propionate_producer,,propionate -> satiety/lipogenesis modulation (favorable),genus-level comparative-genomics prior (NOT de-novo annotation)
Victivallis,0,0,0,0,0,uncharacterized,,no characterized obesity-relevant SCFA/bile mechanism,genus-level comparative-genomics prior (NOT de-novo annotation)
