candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCA_056826305.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056826305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056826305.1/,Lactobacillus gasseri (firmicutes),ASM5682630v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057524205.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_057524205.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057524205.1/,Lactobacillus gasseri (firmicutes),ASM5752420v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_057269395.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_057269395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057269395.1/,Lactobacillus gasseri (firmicutes),ASM5726939v1,Scaffold,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057004745.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_057004745.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057004745.1/,Lactobacillus gasseri (firmicutes),ASM5700474v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_056584235.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056584235.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056584235.1/,Lactobacillus gasseri (firmicutes),ASM5658423v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_056584215.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056584215.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056584215.1/,Lactobacillus gasseri (firmicutes),ASM5658421v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_056584185.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056584185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056584185.1/,Lactobacillus gasseri (firmicutes),ASM5658418v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_056584275.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056584275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056584275.1/,Lactobacillus gasseri (firmicutes),ASM5658427v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_056584255.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056584255.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056584255.1/,Lactobacillus gasseri (firmicutes),ASM5658425v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056322395.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_056322395.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056322395.1/,Lactobacillus gasseri (firmicutes),ASM5632239v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982343125.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_982343125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982343125.1/,Lactobacillus gasseri (firmicutes),ERR3261729_bin_9638,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982343825.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_982343825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982343825.1/,Lactobacillus gasseri (firmicutes),ERR3261741_bin_3419,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982325835.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_982325835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982325835.1/,Lactobacillus gasseri (firmicutes),ERR14651432_bin_1126,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982242305.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_982242305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982242305.1/,Lactobacillus gasseri (firmicutes),ERR14132106_bin_12441,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982206095.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_982206095.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982206095.1/,Lactobacillus gasseri (firmicutes),SRR18329101_bin_361,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982206555.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_982206555.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982206555.1/,Lactobacillus gasseri (firmicutes),SRR18329107_bin_14,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_981455835.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_981455835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_981455835.1/,Lactobacillus gasseri (firmicutes),SRR30861103_bin_14336,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042075.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042075.1/,Lactobacillus gasseri (firmicutes),AMBV-2955,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978044065.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978044065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978044065.1/,Lactobacillus gasseri (firmicutes),AMBV-2030,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042955.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042955.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042955.1/,Lactobacillus gasseri (firmicutes),AMBV-1829,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978041995.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978041995.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978041995.1/,Lactobacillus gasseri (firmicutes),AMBV-1828,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042935.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042935.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042935.1/,Lactobacillus gasseri (firmicutes),AMBV-1826,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042235.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042235.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042235.1/,Lactobacillus gasseri (firmicutes),AMBV-1821,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042905.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042905.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042905.1/,Lactobacillus gasseri (firmicutes),AMBV-1787,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042325.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042325.1/,Lactobacillus gasseri (firmicutes),AMBV-1732,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042755.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042755.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042755.1/,Lactobacillus gasseri (firmicutes),AMBV-1527,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978043335.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978043335.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978043335.1/,Lactobacillus gasseri (firmicutes),AMBV-1416,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042265.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042265.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042265.1/,Lactobacillus gasseri (firmicutes),AMBV-1034,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978043165.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978043165.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978043165.1/,Lactobacillus gasseri (firmicutes),AMBV-0897,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978043635.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978043635.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978043635.1/,Lactobacillus gasseri (firmicutes),AMBV-0753,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042595.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042595.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042595.1/,Lactobacillus gasseri (firmicutes),AMBV-0752,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978044255.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978044255.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978044255.1/,Lactobacillus gasseri (firmicutes),AMBV-0040,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978044295.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978044295.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978044295.1/,Lactobacillus gasseri (firmicutes),AMBV-0032,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978044305.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978044305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978044305.1/,Lactobacillus gasseri (firmicutes),AMBV-0026,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978041915.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978041915.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978041915.1/,Lactobacillus gasseri (firmicutes),AMBV-0021,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978043145.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978043145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978043145.1/,Lactobacillus gasseri (firmicutes),AMBV-0014,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978043135.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978043135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978043135.1/,Lactobacillus gasseri (firmicutes),AMBV-0009,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_978042315.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_978042315.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_978042315.1/,Lactobacillus gasseri (firmicutes),AMBV-0008,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055451575.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_055451575.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055451575.1/,Lactobacillus gasseri (firmicutes),ASM5545157v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055451555.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_055451555.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055451555.1/,Lactobacillus gasseri (firmicutes),ASM5545155v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
